@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L4344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","18","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","false"
"L2345","0","0","0","0","0","0","0","0","8","2","1","15","18","10","10","10","19","1","0.287879","19","18","9","0","0.22093","19","0","0","0","0","0","47","69","0","0","0","0","9","0","8","0","9","23","0","8","0","67","93","5","0","5","0","11","0","9","0","11","32","0","9","0","0","1","16","0","6","0","1","2","0","0","0","1","0","0","0","1","0","3","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
"L2694","0","0","0","0","0","0","0","0","1","3","2","9","8","2","2","9","13","0.333333","0.163636","9","9","1","2","0.163636","9","0","0","0","0","0","46","54","12","0","12","0","4","0","2","1","4","24","0","2","1","46","54","12","0","12","0","4","0","2","1","4","24","0","2","1","0","0","13","0","7","0","0","6","0","0","0","0","0","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","false"
"L2277","0","0","0","0","0","0","0","0","2","3","3","33","4","15","14","2","26","0.0869565","0.282353","48","48","2","21","0.362998","155","0","0","0","0","0","122","166","19","11","19","11","24","0","22","0","24","48","0","22","0","272","445","38","11","38","11","51","0","48","0","51","125","0","48","0","0","0","84","0","38","0","0","6","0","0","0","2","0","0","2","0","0","1","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","0","16","0","0","0","0","0","false"
"L1846","0","0","0","0","0","0","0","0","1","3","3","62","22","10","10","46","84","1","0.622112","377","377","37","0","0.622112","377","0","0","0","0","0","229","650","12","5","12","5","38","1","36","0","38","107","1","36","0","229","650","12","5","12","5","38","1","36","0","38","107","1","36","0","0","1","20","0","17","0","0","6","0","0","0","0","0","1","3","3","0","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","false"
"L3346","0","0","0","0","0","0","0","0","1","1","1","5","13","8","3","7","10","1","0.326733","33","33","2","0","0.410309","199","0","0","0","0","0","68","108","24","1","24","1","3","0","1","0","3","34","0","1","0","286","534","57","1","57","1","25","3","22","0","25","140","3","22","0","0","0","30","0","65","0","0","6","0","0","0","1","0","0","25","2","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","21","0","16","0","0","0","0","0","false"
"L2706","0","0","0","0","0","0","0","0","4","1","1","25","5","5","17","2","20","1","0.306569","42","42","1","0","0.285714","42","0","0","0","0","0","95","157","10","4","10","4","18","0","0","0","18","36","0","0","0","105","167","10","4","10","4","19","0","1","0","19","41","0","1","0","0","0","32","0","17","0","0","0","0","0","0","1","0","0","16","0","0","1","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","false"
"L2714","0","0","0","0","0","0","0","0","0","0","0","1","5","4","1","0","1","0.5","0.3125","10","10","1","1","0.3125","10","0","0","0","0","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","0","0","5","0","8","0","0","0","0","0","0","0","0","0","8","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","false"
"L3441","0","0","0","0","0","0","0","0","1","4","4","94","25","6","2","39","65","0.25","0.0943878","37","31","1","3","0.105769","44","1","1","0","0","1","355","436","38","3","38","3","26","0","3","0","26","206","0","3","0","372","453","38","3","38","3","29","0","6","0","29","211","0","6","0","0","0","76","2","29","0","0","16","0","0","0","0","0","4","6","3","0","7","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","1","0","false"
"L3427","0","0","0","0","0","0","0","0","1","1","1","4","8","2","1","7","9","0.333333","0.205882","7","7","1","2","0.205882","7","0","0","0","0","0","27","31","5","0","5","0","2","0","2","0","2","13","0","2","0","27","31","5","0","5","0","2","0","2","0","2","13","0","2","0","0","0","7","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L4187","0.203791","1","8","2","0.127168","0.247191","22","22","4","3","3","26","3","3","7","5","10","1","0.453988","74","69","5","0","0.453988","74","0","0","0","0","0","89","173","2","0","2","0","5","0","4","0","5","56","0","4","0","89","173","2","0","2","0","5","0","4","0","5","56","0","4","0","0","0","15","1","7","0","0","4","0","11","0","1","0","1","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","true"
