"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L112","R.java","library/test-gen/com/nostra13/universalimageloader/R.java","L111","1","0","19","1","932","1","0","0"
"L1588","DefaultConfigurationFactory.java","library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java","L1587","9","0","103","1","932","26","2","1"
"L1589","DisplayBitmapTask.java","library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java","L1587","3","0","50","1","932","27","3","0"
"L1590","DisplayImageOptions.java","library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","L1587","10","0","278","3","932","35","2","0"
"L1591","ImageLoader.java","library/src/com/nostra13/universalimageloader/core/ImageLoader.java","L1587","25","0","280","3","932","63","6","0"
"L1592","ImageLoaderConfiguration.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java","L1587","44","0","344","2","932","39","2","0"
"L1593","ImageLoaderEngine.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderEngine.java","L1587","10","0","124","1","932","29","3","0"
"L1594","ImageLoadingInfo.java","library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java","L1587","1","0","28","1","932","17","1","0"
"L1595","LoadAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java","L1587","67","0","369","4","932","78","9","2"
"L1596","ProcessAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/ProcessAndDisplayImageTask.java","L1587","1","0","30","1","932","20","2","0"
"L4744","DiskCacheUtils.java","library/src/com/nostra13/universalimageloader/utils/DiskCacheUtils.java","L4743","5","0","15","1","932","1","0","0"
"L4745","ImageSizeUtils.java","library/src/com/nostra13/universalimageloader/utils/ImageSizeUtils.java","L4743","22","0","96","2","932","9","1","1"
"L4746","IoUtils.java","library/src/com/nostra13/universalimageloader/utils/IoUtils.java","L4743","10","0","59","1","932","20","0","0"
"L4747","L.java","library/src/com/nostra13/universalimageloader/utils/L.java","L4743","6","0","59","1","932","7","0","0"
"L4748","MemoryCacheUtils.java","library/src/com/nostra13/universalimageloader/utils/MemoryCacheUtils.java","L4743","8","0","56","1","932","3","0","0"
"L4749","StorageUtils.java","library/src/com/nostra13/universalimageloader/utils/StorageUtils.java","L4743","16","0","72","2","932","16","5","1"
"L121","DiscCacheAware.java","library/src/com/nostra13/universalimageloader/cache/disc/DiscCacheAware.java","L120","1","0","16","1","932","14","0","0"
"L122","DiskCache.java","library/src/com/nostra13/universalimageloader/cache/disc/DiskCache.java","L120","1","0","3","1","932","1","0","0"
"L1172","BaseMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/BaseMemoryCache.java","L1171","2","0","36","1","932","8","2","0"
"L1173","LimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/LimitedMemoryCache.java","L1171","7","0","62","1","932","9","1","0"
"L1174","MemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/MemoryCache.java","L1171","1","0","4","1","932","1","0","0"
"L1175","MemoryCacheAware.java","library/src/com/nostra13/universalimageloader/cache/memory/MemoryCacheAware.java","L1171","1","0","10","1","932","6","0","0"
"L1599","ContentLengthInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/ContentLengthInputStream.java","L1598","1","0","47","1","932","5","0","0"
"L1600","FailReason.java","library/src/com/nostra13/universalimageloader/core/assist/FailReason.java","L1598","1","0","22","1","932","8","0","0"
"L1601","FlushedInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/FlushedInputStream.java","L1598","4","0","26","1","932","3","0","0"
"L1602","ImageScaleType.java","library/src/com/nostra13/universalimageloader/core/assist/ImageScaleType.java","L1598","1","0","8","1","932","6","0","0"
"L1603","ImageSize.java","library/src/com/nostra13/universalimageloader/core/assist/ImageSize.java","L1598","2","0","36","1","932","8","0","0"
"L1604","LoadedFrom.java","library/src/com/nostra13/universalimageloader/core/assist/LoadedFrom.java","L1598","1","0","4","1","932","2","0","0"
"L1605","QueueProcessingType.java","library/src/com/nostra13/universalimageloader/core/assist/QueueProcessingType.java","L1598","1","0","4","1","932","5","0","0"
