"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L112","R.java","library/test-gen/com/nostra13/universalimageloader/R.java","L111","1","0","19","1","932","1","0","0"
"L1561","DefaultConfigurationFactory.java","library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java","L1560","11","0","125","1","932","31","3","0"
"L1562","DisplayBitmapTask.java","library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java","L1560","3","0","50","1","932","28","3","0"
"L1563","DisplayImageOptions.java","library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","L1560","10","0","278","3","932","36","2","0"
"L1564","ImageLoader.java","library/src/com/nostra13/universalimageloader/core/ImageLoader.java","L1560","26","0","283","3","932","65","6","0"
"L1565","ImageLoaderConfiguration.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java","L1560","44","0","344","2","932","42","2","0"
"L1566","ImageLoaderEngine.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderEngine.java","L1560","10","0","124","1","932","30","3","0"
"L1567","ImageLoadingInfo.java","library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java","L1560","1","0","28","1","932","17","1","0"
"L1568","LoadAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java","L1560","69","0","379","4","932","83","11","0"
"L1569","ProcessAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/ProcessAndDisplayImageTask.java","L1560","1","0","30","1","932","21","2","0"
"L4807","DiskCacheUtils.java","library/src/com/nostra13/universalimageloader/utils/DiskCacheUtils.java","L4806","5","0","15","1","932","2","0","0"
"L4808","ImageSizeUtils.java","library/src/com/nostra13/universalimageloader/utils/ImageSizeUtils.java","L4806","25","0","107","2","932","12","2","0"
"L4809","IoUtils.java","library/src/com/nostra13/universalimageloader/utils/IoUtils.java","L4806","12","0","64","1","932","24","0","0"
"L4810","L.java","library/src/com/nostra13/universalimageloader/utils/L.java","L4806","6","0","59","1","932","8","0","0"
"L4811","MemoryCacheUtils.java","library/src/com/nostra13/universalimageloader/utils/MemoryCacheUtils.java","L4806","8","0","56","1","932","4","0","0"
"L4812","StorageUtils.java","library/src/com/nostra13/universalimageloader/utils/StorageUtils.java","L4806","24","0","92","2","932","20","6","0"
"L121","DiskCache.java","library/src/com/nostra13/universalimageloader/cache/disc/DiskCache.java","L120","1","0","15","1","932","2","0","0"
"L1162","BaseMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/BaseMemoryCache.java","L1161","3","0","37","1","932","10","2","0"
"L1163","LimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/LimitedMemoryCache.java","L1161","7","0","62","1","932","11","1","0"
"L1164","MemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/MemoryCache.java","L1161","1","0","10","1","932","2","0","0"
"L1572","ContentLengthInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/ContentLengthInputStream.java","L1571","1","0","47","1","932","6","0","0"
"L1573","FailReason.java","library/src/com/nostra13/universalimageloader/core/assist/FailReason.java","L1571","1","0","22","1","932","9","0","0"
"L1574","FlushedInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/FlushedInputStream.java","L1571","4","0","26","1","932","3","0","0"
"L1575","ImageScaleType.java","library/src/com/nostra13/universalimageloader/core/assist/ImageScaleType.java","L1571","1","0","9","1","932","8","0","0"
"L1576","ImageSize.java","library/src/com/nostra13/universalimageloader/core/assist/ImageSize.java","L1571","2","0","36","1","932","8","0","0"
"L1577","LoadedFrom.java","library/src/com/nostra13/universalimageloader/core/assist/LoadedFrom.java","L1571","1","0","4","1","932","2","0","0"
"L1578","QueueProcessingType.java","library/src/com/nostra13/universalimageloader/core/assist/QueueProcessingType.java","L1571","1","0","4","1","932","5","0","0"
"L1579","ViewScaleType.java","library/src/com/nostra13/universalimageloader/core/assist/ViewScaleType.java","L1571","9","0","22","1","932","8","0","0"
"L2481","BaseImageDecoder.java","library/src/com/nostra13/universalimageloader/core/decode/BaseImageDecoder.java","L2480","29","0","182","1","932","22","4","0"
"L2482","ImageDecoder.java","library/src/com/nostra13/universalimageloader/core/decode/ImageDecoder.java","L2480","1","0","6","1","932","3","0","0"
"L2483","ImageDecodingInfo.java","library/src/com/nostra13/universalimageloader/core/decode/ImageDecodingInfo.java","L2480","3","0","89","2","932","13","0","0"
"L2933","BitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/BitmapDisplayer.java","L2932","1","0","7","1","932","14","1","0"
"L2934","FadeInBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/FadeInBitmapDisplayer.java","L2932","8","0","41","2","932","16","1","0"
"L2935","RoundedBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/RoundedBitmapDisplayer.java","L2932","2","0","65","1","932","23","5","0"
"L2936","RoundedVignetteBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/RoundedVignetteBitmapDisplayer.java","L2932","2","0","34","1","932","3","0","0"
"L2937","SimpleBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/SimpleBitmapDisplayer.java","L2932","1","0","10","1","932","10","1","0"
"L3417","BaseImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/BaseImageDownloader.java","L3416","21","0","164","4","932","39","2","0"
"L3418","ImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/ImageDownloader.java","L3416","5","0","39","3","932","21","2","0"
"L3666","ImageAware.java","library/src/com/nostra13/universalimageloader/core/imageaware/ImageAware.java","L3665","1","0","15","1","932","12","1","0"
"L3667","ImageViewAware.java","library/src/com/nostra13/universalimageloader/core/imageaware/ImageViewAware.java","L3665","10","0","76","2","932","17","1","0"
"L3668","NonViewAware.java","library/src/com/nostra13/universalimageloader/core/imageaware/NonViewAware.java","L3665","4","0","54","1","932","2","0","0"
"L3669","ViewAware.java","library/src/com/nostra13/universalimageloader/core/imageaware/ViewAware.java","L3665","19","0","97","1","932","2","0","0"
"L4474","ImageLoadingListener.java","library/src/com/nostra13/universalimageloader/core/listener/ImageLoadingListener.java","L4473","1","0","10","1","932","2","0","0"
"L4475","ImageLoadingProgressListener.java","library/src/com/nostra13/universalimageloader/core/listener/ImageLoadingProgressListener.java","L4473","1","0","5","1","932","2","0","0"
"L4476","PauseOnScrollListener.java","library/src/com/nostra13/universalimageloader/core/listener/PauseOnScrollListener.java","L4473","8","0","49","1","932","2","0","0"
"L4477","SimpleImageLoadingListener.java","library/src/com/nostra13/universalimageloader/core/listener/SimpleImageLoadingListener.java","L4473","1","0","18","1","932","2","0","0"
"L4786","BitmapProcessor.java","library/src/com/nostra13/universalimageloader/core/process/BitmapProcessor.java","L4785","1","0","6","1","932","7","0","0"
"L174","BaseDiskCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/BaseDiskCache.java","L173","16","0","127","1","932","1","0","0"
"L175","LimitedAgeDiskCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/LimitedAgeDiskCache.java","L173","6","0","74","1","932","1","0","0"
"L176","UnlimitedDiskCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/UnlimitedDiskCache.java","L173","1","0","14","1","932","1","0","0"
"L1110","FileNameGenerator.java","library/src/com/nostra13/universalimageloader/cache/disc/naming/FileNameGenerator.java","L1109","1","0","4","1","932","8","0","0"
"L1111","HashCodeFileNameGenerator.java","library/src/com/nostra13/universalimageloader/cache/disc/naming/HashCodeFileNameGenerator.java","L1109","1","0","7","1","932","5","0","0"
"L1112","Md5FileNameGenerator.java","library/src/com/nostra13/universalimageloader/cache/disc/naming/Md5FileNameGenerator.java","L1109","2","0","26","1","932","5","0","0"
"L1219","FIFOLimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/FIFOLimitedMemoryCache.java","L1218","3","0","48","1","932","9","0","0"
"L1220","FuzzyKeyMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/FuzzyKeyMemoryCache.java","L1218","4","0","45","1","932","10","0","0"
"L1221","LargestLimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/LargestLimitedMemoryCache.java","L1218","6","0","68","2","932","12","0","0"
"L1222","LimitedAgeMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/LimitedAgeMemoryCache.java","L1218","4","0","47","1","932","8","0","0"
"L1223","LRULimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/LRULimitedMemoryCache.java","L1218","3","0","63","1","932","9","0","0"
"L1224","LruMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/LruMemoryCache.java","L1218","15","0","95","1","932","7","1","0"
