"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L42462","CommonSetupBaseTest.java","BroadleafCommerce/integration/src/test/java/org/broadleafcommerce/test/CommonSetupBaseTest.java","L42460","2","0","180","0","1","1","2597","0"
"L140","ProductDaoTest.java","BroadleafCommerce/integration/src/test/java/org/broadleafcommerce/catalog/dao/ProductDaoTest.java","L138","5","0","107","0","1","1","2597","0"
"L8189","CartTest.java","BroadleafCommerce/integration/src/test/java/org/broadleafcommerce/order/service/CartTest.java","L8188","1","0","126","0","1","1","2597","0"
"L8190","OrderBaseTest.java","BroadleafCommerce/integration/src/test/java/org/broadleafcommerce/order/service/OrderBaseTest.java","L8188","1","0","115","0","1","1","2597","0"
"L8191","OrderTest.java","BroadleafCommerce/integration/src/test/java/org/broadleafcommerce/order/service/OrderTest.java","L8188","9","0","567","0","1","1","2597","0"
"L19266","CustomerAddressTest.java","BroadleafCommerce/integration/src/test/java/org/broadleafcommerce/profile/service/CustomerAddressTest.java","L19264","5","0","79","0","1","1","2597","0"
"L20705","CustomerAddressDataProvider.java","BroadleafCommerce/integration/src/test/java/org/broadleafcommerce/profile/dataprovider/CustomerAddressDataProvider.java","L20703","1","0","26","0","1","1","2597","0"
"L20707","CustomerPhoneDataProvider.java","BroadleafCommerce/integration/src/test/java/org/broadleafcommerce/profile/dataprovider/CustomerPhoneDataProvider.java","L20703","1","0","22","0","1","1","2597","0"
"L128","BasePriceDao.java","BroadleafCommerce/core/BroadleafCommerceFramework/src/main/java/org/broadleafcommerce/catalog/dao/BasePriceDao.java","L127","1","0","6","0","1","1","2597","0"
"L129","BasePriceDaoImpl.java","BroadleafCommerce/core/BroadleafCommerceFramework/src/main/java/org/broadleafcommerce/catalog/dao/BasePriceDaoImpl.java","L127","1","0","21","0","1","1","2597","0"
"L130","CategoryDao.java","BroadleafCommerce/core/BroadleafCommerceFramework/src/main/java/org/broadleafcommerce/catalog/dao/CategoryDao.java","L127","1","0","13","0","1","1","2597","0"
"L131","CategoryDaoImpl.java","BroadleafCommerce/core/BroadleafCommerceFramework/src/main/java/org/broadleafcommerce/catalog/dao/CategoryDaoImpl.java","L127","2","0","60","0","1","1","2597","0"
"L132","CategoryXrefDao.java","BroadleafCommerce/core/BroadleafCommerceFramework/src/main/java/org/broadleafcommerce/catalog/dao/CategoryXrefDao.java","L127","1","0","10","0","1","1","2597","0"
"L133","CategoryXrefDaoImpl.java","BroadleafCommerce/core/BroadleafCommerceFramework/src/main/java/org/broadleafcommerce/catalog/dao/CategoryXrefDaoImpl.java","L127","2","0","51","0","1","1","2597","0"
