"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L120","AdminMessages.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/AdminMessages.java","L119","1","0","137","0","1","7","2597","0"
"L121","AdminModule.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/AdminModule.java","L119","1","0","107","0","1","6","2597","0"
"L323","CeilingEntities.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/datasource/CeilingEntities.java","L322","1","0","24","0","1","5","2597","0"
"L324","EntityImplementations.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/datasource/EntityImplementations.java","L322","1","0","25","0","1","4","2597","0"
"L1602","CategorySelectionChangedEvent.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/event/CategorySelectionChangedEvent.java","L1601","1","0","27","0","1","2","2597","0"
"L1603","CategorySelectionChangedEventHandler.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/event/CategorySelectionChangedEventHandler.java","L1601","1","0","5","0","1","2","2597","0"
"L1604","ProductSelectionChangedEvent.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/event/ProductSelectionChangedEvent.java","L1601","1","0","27","0","1","2","2597","0"
"L1605","ProductSelectionChangedEventHandler.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/event/ProductSelectionChangedEventHandler.java","L1601","1","0","5","0","1","2","2597","0"
"L1122","ChallengeQuestionListDataSourceFactory.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/datasource/customer/ChallengeQuestionListDataSourceFactory.java","L1121","3","0","31","0","1","4","2597","0"
"L1123","CustomerListDataSourceFactory.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/datasource/customer/CustomerListDataSourceFactory.java","L1121","3","0","35","0","1","4","2597","0"
"L1167","BundledOrderItemListDataSourceFactory.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/datasource/order/BundledOrderItemListDataSourceFactory.java","L1166","3","0","53","0","1","4","2597","0"
"L1168","CountryListDataSourceFactory.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/datasource/order/CountryListDataSourceFactory.java","L1166","3","0","35","0","1","4","2597","0"
"L1169","FulfillmentGroupAdjustmentListDataSourceFactory.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/datasource/order/FulfillmentGroupAdjustmentListDataSourceFactory.java","L1166","3","0","45","0","1","4","2597","0"
"L1170","FulfillmentGroupListDataSourceFactory.java","BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/datasource/order/FulfillmentGroupListDataSourceFactory.java","L1166","3","0","36","0","1","4","2597","0"
