@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L120","1","0","137","0","1","7","2597","false"
"L121","1","0","107","0","1","6","2597","false"
"L323","1","0","24","0","1","5","2597","false"
"L324","1","0","25","0","1","4","2597","false"
"L1602","1","0","27","0","1","2","2597","false"
"L1603","1","0","5","0","1","2","2597","false"
"L1604","1","0","27","0","1","2","2597","false"
"L1605","1","0","5","0","1","2","2597","false"
"L1122","3","0","31","0","1","4","2597","false"
"L1123","3","0","35","0","1","4","2597","false"
"L1167","3","0","53","0","1","4","2597","false"
"L1168","3","0","35","0","1","4","2597","false"
"L1169","3","0","45","0","1","4","2597","false"
"L1170","3","0","36","0","1","4","2597","false"
"L1171","3","0","37","0","1","5","2597","false"
"L1172","3","0","45","0","1","4","2597","false"
"L1173","3","0","45","0","1","4","2597","false"
"L1174","3","0","42","0","1","1","2597","false"
"L1175","3","0","53","0","1","3","2597","false"
"L1176","3","0","33","0","1","4","2597","false"
"L1177","3","0","43","0","1","4","2597","false"
"L1178","3","0","36","0","1","4","2597","false"
"L1179","3","0","35","0","1","4","2597","false"
"L1380","3","0","33","0","1","2","2597","false"
"L1381","3","0","34","0","1","2","2597","false"
"L1382","3","0","36","0","1","3","2597","false"
"L1383","1","0","34","0","1","1","2597","false"
"L1384","3","0","36","0","1","2","2597","false"
"L1385","3","0","53","0","1","2","2597","false"
"L1386","3","0","50","0","1","2","2597","false"
"L1561","3","0","36","0","1","4","2597","false"
"L1562","3","0","36","0","1","6","2597","false"
"L1563","3","0","32","0","1","5","2597","false"
"L2180","2","0","83","0","1","5","2597","false"
"L2233","7","0","121","0","1","4","2597","false"
"L2234","7","0","253","0","1","7","2597","false"
"L2517","20","0","506","0","1","3","2597","false"
"L2518","40","0","232","0","1","4","2597","false"
"L2519","69","0","409","0","1","3","2597","false"
"L3512","1","0","77","0","1","5","2597","false"
"L3513","8","0","123","0","1","3","2597","false"
"L3776","1","0","10","0","1","2","2597","false"
"L3777","1","0","59","0","1","3","2597","false"
"L3778","2","0","123","0","1","3","2597","false"
"L3847","1","0","20","0","1","3","2597","false"
"L3848","1","0","10","0","1","2","2597","false"
"L3849","3","0","153","0","1","3","2597","false"
"L3850","1","0","119","0","1","4","2597","false"
"L3961","1","0","25","0","1","1","2597","false"
"L3962","9","0","166","0","1","2","2597","false"
"L3963","1","0","87","0","1","2","2597","false"
