"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L117","CustomerCareMessages.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/CustomerCareMessages.java","L116","1","0","66","0","2","4","2597","0"
"L118","CustomerCareModule.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/CustomerCareModule.java","L116","1","0","41","0","1","1","592","0"
"L119","MerchandisingMessages.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/MerchandisingMessages.java","L116","1","0","51","0","1","1","592","0"
"L120","MerchandisingModule.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/MerchandisingModule.java","L116","1","0","55","0","1","1","592","0"
"L121","PromotionMessages.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/PromotionMessages.java","L116","1","0","59","0","1","1","592","0"
"L233","CeilingEntities.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/CeilingEntities.java","L232","1","0","24","0","2","4","2597","0"
"L234","EntityImplementations.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/EntityImplementations.java","L232","1","0","26","0","2","3","592","0"
"L1517","CategorySelectionChangedEvent.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/CategorySelectionChangedEvent.java","L1516","1","0","27","0","1","1","592","0"
"L1518","CategorySelectionChangedEventHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/CategorySelectionChangedEventHandler.java","L1516","1","0","5","0","1","1","592","0"
"L1519","ProductSelectionChangedEvent.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/ProductSelectionChangedEvent.java","L1516","1","0","27","0","1","1","592","0"
"L1520","ProductSelectionChangedEventHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/ProductSelectionChangedEventHandler.java","L1516","1","0","5","0","1","1","592","0"
"L237","StaticAssetsTileGridDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/catalog/StaticAssetsTileGridDataSourceFactory.java","L236","3","0","32","0","1","1","592","0"
"L1036","ChallengeQuestionListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/customer/ChallengeQuestionListDataSourceFactory.java","L1035","3","0","31","0","1","1","592","0"
"L1037","CustomerAddressDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/customer/CustomerAddressDataSourceFactory.java","L1035","3","0","35","0","2","2","592","0"
"L1038","CustomerListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/customer/CustomerListDataSourceFactory.java","L1035","3","0","34","0","2","3","592","0"
"L1039","LocaleListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/customer/LocaleListDataSourceFactory.java","L1035","3","0","31","0","1","1","592","0"
"L1113","BundledOrderItemListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/BundledOrderItemListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1114","CountryListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/CountryListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1115","DiscreteOrderItemFeePriceDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/DiscreteOrderItemFeePriceDataSourceFactory.java","L1112","3","0","31","0","1","1","592","0"
"L1116","FulfillmentGroupAdjustmentListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/FulfillmentGroupAdjustmentListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1117","FulfillmentGroupListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/FulfillmentGroupListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1118","OfferCodeListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/OfferCodeListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1119","OrderAdjustmentListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/OrderAdjustmentListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1120","OrderItemAdjustmentListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/OrderItemAdjustmentListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1121","OrderItemListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/OrderItemListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1122","OrderListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/OrderListDataSourceFactory.java","L1112","3","0","31","0","1","1","592","0"
"L1123","PaymentAdditionalAttributesDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/PaymentAdditionalAttributesDataSourceFactory.java","L1112","3","0","43","0","1","1","592","0"
"L1124","PaymentInfoListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/PaymentInfoListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1125","PaymentLogListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/PaymentLogListDataSourceFactory.java","L1112","3","0","33","0","1","1","2597","0"
"L1126","PaymentResponseItemListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/PaymentResponseItemListDataSourceFactory.java","L1112","3","0","31","0","1","1","2597","0"
"L1127","StateListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/order/StateListDataSourceFactory.java","L1112","3","0","35","0","1","1","592","0"
"L1339","CustomerListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/promotion/CustomerListDataSourceFactory.java","L1338","3","0","32","0","1","1","592","0"
"L1340","FulfillmentGroupListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/promotion/FulfillmentGroupListDataSourceFactory.java","L1338","3","0","33","0","1","1","592","0"
"L1341","OfferItemCriteriaListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/promotion/OfferItemCriteriaListDataSourceFactory.java","L1338","3","0","35","0","1","1","592","0"
"L1342","OfferListDataSource.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/promotion/OfferListDataSource.java","L1338","1","0","34","0","1","1","592","0"
"L1343","OfferListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/promotion/OfferListDataSourceFactory.java","L1338","3","0","31","0","1","1","592","0"
"L1344","OrderItemListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/promotion/OrderItemListDataSourceFactory.java","L1338","3","0","33","0","1","1","592","0"
"L1345","OrderListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/promotion/OrderListDataSourceFactory.java","L1338","3","0","32","0","1","1","592","0"
"L2186","CustomerPresenter.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/presenter/customer/CustomerPresenter.java","L2185","4","0","158","0","3","10","1464","0"
"L2289","OrderItemPresenter.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/presenter/order/OrderItemPresenter.java","L2288","16","0","153","0","2","4","2597","0"
"L2290","OrderPresenter.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/presenter/order/OrderPresenter.java","L2288","7","0","271","0","2","5","2597","0"
"L2291","PaymentInfoPresenter.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/presenter/order/PaymentInfoPresenter.java","L2288","1","0","15","0","1","1","2597","0"
"L2623","FilterType.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/presenter/promotion/FilterType.java","L2622","1","0","7","0","1","1","592","0"
"L2624","OfferPresenter.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/presenter/promotion/OfferPresenter.java","L2622","20","0","510","0","2","2","2597","0"
"L2625","OfferPresenterExtractor.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/presenter/promotion/OfferPresenterExtractor.java","L2622","48","0","265","0","2","3","2597","0"
"L2626","OfferPresenterInitializer.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/presenter/promotion/OfferPresenterInitializer.java","L2622","69","0","420","0","1","1","592","0"
"L3420","CustomerDisplay.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/view/customer/CustomerDisplay.java","L3419","1","0","8","0","2","5","592","0"
"L3421","CustomerView.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/view/customer/CustomerView.java","L3419","1","0","68","0","2","3","592","0"
"L3446","OrderDisplay.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/view/order/OrderDisplay.java","L3445","1","0","22","0","2","2","2597","0"
"L3447","OrderItemDisplay.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/view/order/OrderItemDisplay.java","L3445","1","0","10","0","1","1","592","0"
"L3448","OrderItemView.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/view/order/OrderItemView.java","L3445","3","0","160","0","1","1","592","0"
"L3449","OrderView.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/view/order/OrderView.java","L3445","1","0","146","0","2","2","2597","0"
