"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L117","CustomerCareMessages.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/CustomerCareMessages.java","L116","1","0","69","0","6","11","219","0"
"L118","CustomerCareModule.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/CustomerCareModule.java","L116","1","0","52","0","6","8","219","0"
"L119","MerchandisingMessages.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/MerchandisingMessages.java","L116","1","0","127","0","8","55","219","0"
"L120","MerchandisingModule.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/MerchandisingModule.java","L116","1","0","77","0","7","11","219","0"
"L121","PromotionMessages.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/PromotionMessages.java","L116","1","0","60","0","4","6","219","0"
"L253","CeilingEntities.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/CeilingEntities.java","L252","1","0","28","0","8","20","219","0"
"L254","EntityImplementations.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/EntityImplementations.java","L252","1","0","31","0","6","11","219","0"
"L1523","AdminExporterDTO.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/dto/AdminExporterDTO.java","L1522","1","0","29","0","3","3","2597","0"
"L1524","AdminExporterType.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/dto/AdminExporterType.java","L1522","1","0","6","0","3","4","2597","0"
"L1571","CategorySelectionChangedEvent.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/CategorySelectionChangedEvent.java","L1570","1","0","27","0","4","5","219","0"
"L1572","CategorySelectionChangedEventHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/CategorySelectionChangedEventHandler.java","L1570","1","0","5","0","4","5","219","0"
"L1573","ProductSelectionChangedEvent.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/ProductSelectionChangedEvent.java","L1570","1","0","27","0","4","5","219","0"
"L1574","ProductSelectionChangedEventHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/ProductSelectionChangedEventHandler.java","L1570","1","0","5","0","4","5","219","0"
"L3925","AdminCatalogService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/service/AdminCatalogService.java","L3924","1","0","10","0","4","7","1464","0"
"L3926","AdminCatalogServiceAsync.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/service/AdminCatalogServiceAsync.java","L3924","1","0","6","0","4","6","1464","0"
