@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L117","1","0","69","0","6","11","219","false"
"L118","1","0","52","0","6","8","219","false"
"L119","1","0","127","0","8","55","219","false"
"L120","1","0","77","0","7","11","219","false"
"L121","1","0","60","0","4","6","219","false"
"L253","1","0","28","0","8","20","219","false"
"L254","1","0","31","0","6","11","219","false"
"L1523","1","0","29","0","3","3","2597","false"
"L1524","1","0","6","0","3","4","2597","false"
"L1571","1","0","27","0","4","5","219","false"
"L1572","1","0","5","0","4","5","219","false"
"L1573","1","0","27","0","4","5","219","false"
"L1574","1","0","5","0","4","5","219","false"
"L3925","1","0","10","0","4","7","1464","false"
"L3926","1","0","6","0","4","6","1464","false"
"L3927","1","0","11","0","3","3","2597","false"
"L3928","1","0","8","0","3","3","2597","false"
"L3929","1","0","13","0","3","4","2597","false"
"L4657","9","0","90","0","5","14","219","false"
"L4658","7","0","54","0","3","5","2597","false"
"L5484","4","0","39","0","3","3","2597","false"
"L1043","3","0","31","0","5","10","219","false"
"L1044","3","0","35","0","5","11","219","false"
"L1045","3","0","34","0","5","13","219","false"
"L1046","3","0","31","0","5","10","219","false"
"L1123","3","0","35","0","5","10","219","false"
"L1124","3","0","35","0","5","10","219","false"
"L1125","3","0","33","0","5","10","219","false"
"L1126","3","0","35","0","5","10","219","false"
"L1127","3","0","35","0","5","10","219","false"
"L1128","3","0","35","0","5","10","219","false"
"L1129","3","0","35","0","5","10","219","false"
"L1130","3","0","35","0","5","10","219","false"
"L1131","3","0","35","0","5","10","219","false"
"L1132","3","0","31","0","5","10","219","false"
"L1133","3","0","42","0","5","11","219","false"
"L1134","3","0","35","0","5","10","219","false"
"L1135","3","0","31","0","4","10","219","false"
"L1136","3","0","31","0","4","10","219","false"
"L1137","3","0","35","0","5","10","219","false"
"L1342","3","0","32","0","5","10","219","false"
"L1343","3","0","33","0","5","10","219","false"
"L1344","3","0","35","0","5","12","219","false"
"L1345","3","0","35","0","4","11","219","false"
"L1346","1","0","34","0","4","5","219","false"
"L1347","3","0","31","0","5","10","219","false"
"L1348","3","0","33","0","5","10","219","false"
"L1349","3","0","32","0","5","10","219","false"
"L2587","4","0","175","0","7","19","219","false"
"L2705","16","0","190","0","6","16","219","false"
"L2706","12","0","348","0","7","17","219","false"
"L2707","1","0","15","0","3","5","219","false"
"L3067","1","0","5","0","4","6","219","false"
"L3068","1","0","7","0","4","5","219","false"
"L3069","24","0","632","0","6","17","219","false"
"L3070","61","0","345","0","5","12","219","false"
"L3071","77","0","460","0","5","12","219","false"
"L3072","1","0","4","0","4","6","219","false"
"L3073","5","0","36","0","4","6","219","false"
"L4121","1","0","8","0","4","9","219","false"
"L4122","1","0","75","0","7","13","219","false"
"L4147","10","0","135","0","5","9","219","false"
"L4148","2","0","105","0","3","3","2597","false"
"L4247","1","0","26","0","6","9","219","false"
"L4248","1","0","10","0","4","5","219","false"
"L4249","3","0","160","0","4","6","219","false"
"L4250","1","0","169","0","6","13","219","false"
"L4349","1","0","101","0","5","8","219","false"
"L4350","5","0","966","0","6","16","219","false"
"L4351","1","0","27","0","4","5","219","false"
"L4812","1","0","15","0","3","3","2597","false"
"L4833","6","0","105","0","6","11","219","false"
"L4834","6","0","60","0","6","16","219","false"
"L4835","6","0","46","0","6","15","219","false"
"L4836","3","0","40","0","6","8","219","false"
"L4837","4","0","35","0","6","9","219","false"
"L4838","2","0","42","0","5","9","343","false"
"L4839","41","0","324","0","7","33","219","false"
"L4840","6","0","57","0","6","13","219","false"
"L4841","10","0","76","0","7","10","219","false"
"L4842","33","0","255","0","8","38","219","false"
"L259","3","0","41","0","5","10","219","false"
"L260","1","0","36","0","5","12","219","false"
"L261","3","0","41","0","5","10","219","false"
"L262","8","0","76","0","6","16","219","false"
"L263","3","0","40","0","5","10","219","false"
"L264","3","0","43","0","5","10","219","false"
"L265","3","0","44","0","5","11","219","false"
"L266","1","0","39","0","4","5","219","false"
"L267","3","0","35","0","5","11","219","false"
"L764","1","0","29","0","5","8","343","false"
"L765","3","0","43","0","4","11","219","false"
"L766","3","0","43","0","4","11","219","false"
"L767","3","0","32","0","7","14","219","false"
"L768","3","0","44","0","5","10","219","false"
"L769","1","0","24","0","5","11","219","false"
"L770","3","0","34","0","7","14","219","false"
"L771","3","0","31","0","4","6","343","false"
"L772","3","0","34","0","6","14","219","false"
"L773","1","0","30","0","6","14","219","false"
"L774","3","0","42","0","6","15","219","false"
"L1202","2","0","24","0","4","5","219","false"
"L1373","5","0","63","0","4","5","219","false"
"L1755","7","0","99","0","5","10","219","false"
"L1756","19","0","377","0","7","29","219","false"
"L2222","1","0","16","0","3","5","343","false"
"L2223","2","0","33","0","6","11","219","false"
"L2224","6","0","281","0","8","75","219","false"
"L2225","1","0","56","0","4","8","219","false"
"L2226","4","0","51","0","5","16","219","false"
"L3965","1","0","21","0","5","7","219","false"
