"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L117","CustomerCareMessages.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/CustomerCareMessages.java","L116","1","0","70","0","7","19","1283","0"
"L118","CustomerCareModule.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/CustomerCareModule.java","L116","1","0","52","0","6","14","1283","0"
"L119","MerchandisingMessages.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/MerchandisingMessages.java","L116","1","0","129","0","9","72","1283","0"
"L120","MerchandisingModule.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/MerchandisingModule.java","L116","1","0","77","0","8","23","1283","0"
"L121","PromotionMessages.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/PromotionMessages.java","L116","1","0","60","0","5","11","1283","0"
"L254","CeilingEntities.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/CeilingEntities.java","L253","1","0","28","0","9","33","1283","0"
"L255","EntityImplementations.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/EntityImplementations.java","L253","1","0","31","0","8","25","1283","0"
"L1524","AdminExporterDTO.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/dto/AdminExporterDTO.java","L1523","1","0","29","0","3","3","2597","0"
"L1525","AdminExporterType.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/dto/AdminExporterType.java","L1523","1","0","6","0","3","4","2597","0"
"L1572","CategorySelectionChangedEvent.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/CategorySelectionChangedEvent.java","L1571","1","0","27","0","5","10","1283","0"
"L1573","CategorySelectionChangedEventHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/CategorySelectionChangedEventHandler.java","L1571","1","0","5","0","4","5","219","0"
"L1574","ProductSelectionChangedEvent.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/ProductSelectionChangedEvent.java","L1571","1","0","27","0","5","10","1283","0"
"L1575","ProductSelectionChangedEventHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/event/ProductSelectionChangedEventHandler.java","L1571","1","0","5","0","4","5","219","0"
"L3896","AdminCatalogService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/service/AdminCatalogService.java","L3895","1","0","10","0","4","7","1464","0"
"L3897","AdminCatalogServiceAsync.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/service/AdminCatalogServiceAsync.java","L3895","1","0","6","0","4","6","1464","0"
"L3898","AdminExporterService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/service/AdminExporterService.java","L3895","1","0","11","0","3","3","2597","0"
"L3899","AdminExporterServiceAsync.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/service/AdminExporterServiceAsync.java","L3895","1","0","8","0","3","3","2597","0"
"L3900","AppServices.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/service/AppServices.java","L3895","1","0","13","0","3","8","2597","0"
"L4628","AdminCatalogRemoteService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogRemoteService.java","L4627","9","0","90","0","6","15","343","0"
"L4629","AdminExporterRemoteService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminExporterRemoteService.java","L4627","7","0","54","0","3","5","2597","0"
"L5459","BroadleafAdminExportController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/BroadleafAdminExportController.java","L5458","4","0","39","0","3","3","2597","0"
"L1044","ChallengeQuestionListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/customer/ChallengeQuestionListDataSourceFactory.java","L1043","3","0","31","0","6","15","1283","0"
"L1045","CustomerAddressDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/customer/CustomerAddressDataSourceFactory.java","L1043","3","0","35","0","6","16","1283","0"
"L1046","CustomerListDataSourceFactory.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/client/datasource/customer/CustomerListDataSourceFactory.java","L1043","3","0","34","0","6","18","1283","0"
