@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L117","1","0","70","0","7","19","1283","false"
"L118","1","0","52","0","6","14","1283","false"
"L119","1","0","129","0","9","72","1283","false"
"L120","1","0","77","0","8","23","1283","false"
"L121","1","0","60","0","5","11","1283","false"
"L254","1","0","28","0","9","33","1283","false"
"L255","1","0","31","0","8","25","1283","false"
"L1524","1","0","29","0","3","3","2597","false"
"L1525","1","0","6","0","3","4","2597","false"
"L1572","1","0","27","0","5","10","1283","false"
"L1573","1","0","5","0","4","5","219","false"
"L1574","1","0","27","0","5","10","1283","false"
"L1575","1","0","5","0","4","5","219","false"
"L3896","1","0","10","0","4","7","1464","false"
"L3897","1","0","6","0","4","6","1464","false"
"L3898","1","0","11","0","3","3","2597","false"
"L3899","1","0","8","0","3","3","2597","false"
"L3900","1","0","13","0","3","8","2597","false"
"L4628","9","0","90","0","6","15","343","false"
"L4629","7","0","54","0","3","5","2597","false"
"L5459","4","0","39","0","3","3","2597","false"
"L1044","3","0","31","0","6","15","1283","false"
"L1045","3","0","35","0","6","16","1283","false"
"L1046","3","0","34","0","6","18","1283","false"
"L1047","3","0","31","0","6","13","1283","false"
"L1124","3","0","35","0","6","15","1283","false"
"L1125","3","0","35","0","6","15","1283","false"
"L1126","3","0","33","0","6","15","1283","false"
"L1127","3","0","35","0","6","15","1283","false"
"L1128","3","0","35","0","6","15","1283","false"
"L1129","3","0","35","0","6","15","1283","false"
"L1130","3","0","35","0","6","15","1283","false"
"L1131","3","0","35","0","6","15","1283","false"
"L1132","3","0","35","0","6","15","1283","false"
"L1133","3","0","31","0","6","15","1283","false"
"L1134","3","0","42","0","6","16","1283","false"
"L1135","3","0","35","0","6","15","1283","false"
"L1136","3","0","31","0","5","15","1283","false"
"L1137","3","0","31","0","5","15","1283","false"
"L1138","3","0","35","0","6","15","1283","false"
"L1343","3","0","32","0","6","15","1283","false"
"L1344","3","0","33","0","6","15","1283","false"
"L1345","3","0","35","0","6","17","1283","false"
