"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L119","AdminCatalogService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogService.java","L118","1","0","5","0","1","3","2597","0"
"L120","AdminCatalogServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogServiceImpl.java","L118","18","0","137","0","4","6","2597","0"
"L1270","AdminProductTranslationExtensionListener.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/AdminProductTranslationExtensionListener.java","L1269","3","0","24","0","2","2","1464","0"
"L302","CategoryCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CategoryCustomPersistenceHandler.java","L301","6","0","64","1","7","27","1464","0"
"L303","ChildCategoriesCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ChildCategoriesCustomPersistenceHandler.java","L301","6","0","50","0","6","20","2597","0"
"L304","CustomerCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerCustomPersistenceHandler.java","L301","4","0","47","0","7","20","1464","0"
"L305","CustomerPasswordCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerPasswordCustomPersistenceHandler.java","L301","4","0","35","0","6","16","2597","0"
"L306","ProductCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ProductCustomPersistenceHandler.java","L301","13","0","97","1","7","25","1464","1"
"L307","SkuCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuCustomPersistenceHandler.java","L301","50","0","411","3","8","90","2597","1"
"L308","SkuRestrictionFactoryImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuRestrictionFactoryImpl.java","L301","16","0","132","0","1","4","2597","1"
"L1273","AdminCatalogActionsController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/action/AdminCatalogActionsController.java","L1272","3","0","42","0","3","6","592","0"
"L1348","AdminCategoryController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminCategoryController.java","L1347","2","0","49","0","2","4","592","1"
"L1349","AdminOfferController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminOfferController.java","L1347","2","0","40","0","3","11","592","1"
"L1350","AdminOrderController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminOrderController.java","L1347","7","0","41","0","2","4","1283","0"
"L1351","AdminProductController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminProductController.java","L1347","12","0","163","0","4","26","2597","2"
"L1606","CustomerFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/CustomerFieldServiceImpl.java","L1605","1","0","76","0","3","5","1464","0"
"L1607","FulfillmentGroupFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/FulfillmentGroupFieldServiceImpl.java","L1605","1","0","153","0","3","5","1464","0"
"L1608","LocaleFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/LocaleFieldServiceImpl.java","L1605","1","0","34","0","3","6","592","0"
"L1609","OrderFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/OrderFieldServiceImpl.java","L1605","1","0","69","0","3","5","1464","0"
"L1610","OrderItemFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/OrderItemFieldServiceImpl.java","L1605","1","0","209","0","3","7","1464","0"
"L1611","ProductFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/ProductFieldServiceImpl.java","L1605","1","0","118","0","3","5","1464","0"
"L1612","RequestFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/RequestFieldServiceImpl.java","L1605","1","0","41","0","3","5","1464","0"
"L1613","SkuFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/SkuFieldServiceImpl.java","L1605","1","0","111","0","4","7","1464","0"
"L1614","TimeFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/TimeFieldServiceImpl.java","L1605","1","0","62","0","3","5","1464","0"
