@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L119","1","0","5","0","1","3","2597","false"
"L120","18","0","137","0","4","6","2597","false"
"L1270","3","0","24","0","2","2","1464","false"
"L302","6","0","64","1","7","27","1464","false"
"L303","6","0","50","0","6","20","2597","false"
"L304","4","0","47","0","7","20","1464","false"
"L305","4","0","35","0","6","16","2597","false"
"L306","13","0","97","1","7","25","1464","true"
"L307","50","0","411","3","8","90","2597","true"
"L308","16","0","132","0","1","4","2597","true"
"L1273","3","0","42","0","3","6","592","false"
"L1348","2","0","49","0","2","4","592","true"
"L1349","2","0","40","0","3","11","592","true"
"L1350","7","0","41","0","2","4","1283","false"
"L1351","12","0","163","0","4","26","2597","true"
"L1606","1","0","76","0","3","5","1464","false"
"L1607","1","0","153","0","3","5","1464","false"
"L1608","1","0","34","0","3","6","592","false"
"L1609","1","0","69","0","3","5","1464","false"
"L1610","1","0","209","0","3","7","1464","false"
"L1611","1","0","118","0","3","5","1464","false"
"L1612","1","0","41","0","3","5","1464","false"
"L1613","1","0","111","0","4","7","1464","false"
"L1614","1","0","62","0","3","5","1464","false"
"L1102","9","0","47","0","1","1","1283","false"
"L1103","6","0","45","0","1","8","1464","false"
"L1104","15","0","96","0","2","8","1464","true"
"L1674","1","0","18","0","3","3","1464","false"
"L1675","1","0","18","0","3","3","1464","false"
"L1676","1","0","25","0","3","3","1464","false"
"L1601","1","0","126","0","2","4","2597","false"
"L1602","1","0","209","0","2","5","2597","false"
"L2827","8","0","66","0","4","7","2597","false"
"L2828","1","0","16","0","1","1","1283","false"
"L6717","2","0","18","0","4","7","2597","false"
"L6718","66","0","385","0","6","16","1283","false"
"L6719","1","0","14","0","4","8","2597","false"
"L6720","7","0","48","0","6","18","2597","false"
"L6721","6","0","68","0","5","20","2597","false"
"L6722","1","0","16","0","5","12","2597","false"
"L6723","1","0","9","0","4","10","2597","false"
"L6724","11","0","59","0","6","18","2597","false"
"L6725","1","0","7","0","4","10","2597","false"
"L2907","1","0","35","0","5","9","1464","false"
"L2908","3","0","185","0","6","15","1464","false"
"L2909","1","0","11","0","5","7","1464","false"
"L2910","1","0","69","1","5","11","1464","false"
"L2911","1","0","14","0","5","7","1464","false"
"L2912","1","0","82","0","6","14","1464","false"
"L2913","1","0","13","0","4","6","2597","false"
"L2914","1","0","79","1","5","9","1464","false"
"L3140","9","0","63","0","5","11","2597","false"
"L3141","9","0","56","0","3","4","2597","false"
"L3223","1","0","11","0","5","8","1464","false"
"L3224","6","0","78","0","6","14","2597","false"
"L3225","1","0","13","0","4","6","2597","false"
"L3226","3","0","57","0","6","11","2597","false"
"L3324","1","0","7","0","4","6","2597","false"
"L3325","2","0","67","0","6","16","592","false"
"L3326","1","0","47","0","5","11","592","false"
"L3327","1","0","14","0","4","6","2597","false"
"L3328","1","0","86","0","7","23","1464","false"
"L3329","4","0","370","0","7","43","1464","false"
"L3330","1","0","10","0","4","6","2597","false"
"L3331","1","0","61","1","6","8","263","false"
