@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L2439","0","0","0","0","0","0","0","0","1","0","0","11","1","4","3","0","10","0.363636","0.240741","13","12","4","7","0.240741","13","1","1","0","0","1","41","67","4","4","4","4","10","0","10","3","10","12","0","10","3","41","67","4","4","4","4","10","0","10","3","10","12","0","10","3","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","true"
"L2624","0","0","0","0","0","0","0","0","0","1","1","21","6","6","5","11","26","0.3125","0.164948","16","16","5","11","0.164948","16","0","0","0","0","0","81","117","7","6","7","6","15","0","15","7","15","29","0","15","7","81","117","7","6","7","6","15","0","15","7","15","29","0","15","7","0","0","28","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","25","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","false"
"L23274","0","0","0","0","0","0","0","0","0","3","3","5","2","32","5","2","4","0","0.166667","6","0","0","2","0.166667","6","0","0","29","43","0","30","48","3","2","3","2","2","0","1","0","2","14","0","1","0","30","48","3","2","3","2","2","0","1","0","2","14","0","1","0","0","1","8","2","7","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","false"
"L48509","0.567532","5","6","5","0.413953","0.519737","89","79","3","1","1","12","34","8","30","60","71","0.333333","0.141243","25","16","4","8","0.141243","25","1","1","6","8","1","152","215","11","2","8","0","11","0","11","0","13","111","0","12","0","152","215","11","2","8","0","11","0","11","0","13","111","0","12","0","0","0","59","0","1","0","0","0","0","32","0","1","0","0","0","6","0","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","false"
"L64225","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","12","14","0","0","0","0","1","0","0","0","1","6","0","0","0","12","14","0","0","0","0","1","0","0","0","1","6","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","false"
"L64229","0","0","0","0","0","0","0","0","1","3","3","55","2","0","0","4","18","1","0.433168","175","174","3","0","0.413953","178","0","0","0","0","0","229","392","5","3","5","3","14","0","2","0","14","121","0","2","0","252","421","8","4","8","4","18","0","6","0","18","128","0","6","0","0","0","17","11","11","0","0","0","0","0","0","0","0","0","0","0","0","3","17","0","0","0","0","0","0","4","2","0","0","0","0","0","0","1","1","0","0","1","1","9","0","0","false"
"L2940","0","0","0","0","0","0","0","0","1","1","1","10","3","3","6","4","7","0.333333","0.263889","19","6","1","2","0.263889","19","0","0","3","3","0","53","73","1","0","1","0","3","0","2","0","3","36","0","2","0","53","73","1","0","1","0","3","0","2","0","3","36","0","2","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","false"
"L2991","0","0","0","0","0","0","0","0","0","0","0","4","0","2","1","0","4","0.2","0.3","6","5","1","4","0.3","6","0","0","0","0","0","14","20","1","0","1","0","4","0","4","0","4","3","0","4","0","14","20","1","0","1","0","4","0","4","0","4","3","0","4","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L6844","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","1","2","0.5","0.35","7","7","1","1","0.35","7","0","0","0","0","0","13","15","1","0","1","0","1","0","1","1","1","5","0","1","1","13","15","1","0","1","0","1","0","1","1","1","5","0","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L6867","0.153086","3","14","3","0.109312","0.136232","54","47","1","4","4","86","13","3","2","22","44","0.166667","0.21709","94","81","2","10","0.214123","94","0","0","0","0","0","339","488","29","6","29","6","22","4","11","6","22","186","4","11","6","345","494","29","6","29","6","23","4","12","6","23","189","4","12","6","0","6","82","3","51","0","1","0","0","23","0","0","0","5","0","2","0","34","41","0","0","0","0","0","0","3","0","0","0","0","0","0","0","21","0","0","11","0","0","1","0","0","true"
"L6966","0","0","0","0","0","0","0","0","2","0","0","3","1","1","1","0","3","0.75","0.666667","26","26","3","1","0.666667","26","1","1","0","0","1","13","33","1","1","1","1","3","0","3","0","3","3","0","3","0","13","33","1","1","1","1","3","0","3","0","3","3","0","3","0","0","0","4","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
