"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L119","AdminCatalogService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogService.java","L118","1","0","5","0","2","5","219","0"
"L120","AdminCatalogServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogServiceImpl.java","L118","18","0","137","0","5","8","219","0"
"L1310","AdminProductTranslationExtensionListener.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/AdminProductTranslationExtensionListener.java","L1309","3","0","24","0","3","3","2597","1"
"L302","CategoryCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CategoryCustomPersistenceHandler.java","L301","6","0","66","1","7","31","219","0"
"L303","ChildCategoriesCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ChildCategoriesCustomPersistenceHandler.java","L301","6","0","52","0","7","24","219","0"
"L304","CustomerCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerCustomPersistenceHandler.java","L301","4","0","49","0","7","26","219","1"
"L305","CustomerPasswordCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerPasswordCustomPersistenceHandler.java","L301","4","0","39","0","7","20","219","0"
"L306","ProductCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ProductCustomPersistenceHandler.java","L301","14","0","101","2","7","31","219","1"
"L307","SkuCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuCustomPersistenceHandler.java","L301","48","0","401","4","8","102","592","1"
"L308","SkuRestrictionFactoryImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuRestrictionFactoryImpl.java","L301","17","0","145","4","4","12","1464","1"
"L1313","AdminCatalogActionsController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/action/AdminCatalogActionsController.java","L1312","3","0","42","0","4","8","219","0"
"L1388","AdminCategoryController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminCategoryController.java","L1387","2","0","49","1","4","7","1283","0"
"L1389","AdminOfferController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminOfferController.java","L1387","3","0","62","1","5","15","219","0"
"L1390","AdminOrderController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminOrderController.java","L1387","7","0","41","0","3","6","219","0"
"L1391","AdminProductController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminProductController.java","L1387","17","0","200","2","6","39","56","0"
"L1693","CategoryFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/CategoryFieldServiceImpl.java","L1692","1","0","48","0","5","6","219","0"
"L1694","CustomerFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/CustomerFieldServiceImpl.java","L1692","1","0","76","0","5","9","219","0"
"L1695","FulfillmentGroupFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/FulfillmentGroupFieldServiceImpl.java","L1692","1","0","153","0","5","9","219","0"
"L1696","LocaleFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/LocaleFieldServiceImpl.java","L1692","1","0","34","0","5","10","219","0"
"L1697","OrderFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/OrderFieldServiceImpl.java","L1692","1","0","69","0","5","9","219","0"
"L1698","OrderItemFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/OrderItemFieldServiceImpl.java","L1692","1","0","209","0","5","11","219","0"
"L1699","ProductFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/ProductFieldServiceImpl.java","L1692","1","0","118","0","4","9","219","0"
"L1700","RequestFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/RequestFieldServiceImpl.java","L1692","1","0","41","0","4","9","219","0"
"L1701","SkuFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/SkuFieldServiceImpl.java","L1692","1","0","111","0","5","11","219","0"
"L1702","TimeFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/TimeFieldServiceImpl.java","L1692","1","0","62","0","4","9","219","0"
"L1268","TargetItemRulesValidator.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/validation/TargetItemRulesValidator.java","L1267","2","0","25","1","4","5","219","0"
"L1102","ForeignSkuFieldPersistenceProvider.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/module/provider/ForeignSkuFieldPersistenceProvider.java","L1101","9","0","47","0","3","3","219","0"
"L1103","SkuFieldsPersistenceProvider.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/module/provider/SkuFieldsPersistenceProvider.java","L1101","6","0","45","0","3","10","219","0"
"L1104","SkuPricingPersistenceProvider.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/module/provider/SkuPricingPersistenceProvider.java","L1101","15","0","97","1","4","12","219","0"
"L1770","FulfillmentTypeEnumOptionsExtensionListener.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/options/FulfillmentTypeEnumOptionsExtensionListener.java","L1769","1","0","18","0","4","5","219","0"
"L1771","InventoryTypeEnumOptionsExtensionListener.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/options/InventoryTypeEnumOptionsExtensionListener.java","L1769","1","0","18","0","5","8","592","0"
"L1772","TimeEnumOptionsExtensionListener.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/options/TimeEnumOptionsExtensionListener.java","L1769","1","0","25","0","4","5","219","0"
"L1688","DataDTOToMVELTranslatorTest.java","admin/broadleaf-admin-module/src/test/java/org/broadleafcommerce/admin/web/rulebuilder/DataDTOToMVELTranslatorTest.java","L1687","1","0","126","0","3","6","219","0"
"L1689","MVELToDataWrapperTranslatorTest.java","admin/broadleaf-admin-module/src/test/java/org/broadleafcommerce/admin/web/rulebuilder/MVELToDataWrapperTranslatorTest.java","L1687","1","0","209","0","3","7","219","0"
"L2938","AbstractContentService.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/common/AbstractContentService.java","L2937","8","0","66","0","4","11","219","0"
"L2939","AssetNotFoundException.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/common/AssetNotFoundException.java","L2937","1","0","16","0","3","3","219","0"
"L6833","BroadleafCmsSimpleUrlHandlerMapping.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/BroadleafCmsSimpleUrlHandlerMapping.java","L6832","2","0","18","0","4","9","219","0"
"L6834","BroadleafProcessURLFilter.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/BroadleafProcessURLFilter.java","L6832","66","0","385","0","6","20","219","1"
"L6835","NullURLProcessor.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/NullURLProcessor.java","L6832","1","0","14","0","4","10","219","0"
"L6836","PageHandlerMapping.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/PageHandlerMapping.java","L6832","7","0","48","0","6","25","592","0"
"L6837","PageURLProcessor.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/PageURLProcessor.java","L6832","6","0","68","0","5","26","219","0"
"L6838","PreviewTemplateController.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/PreviewTemplateController.java","L6832","1","0","16","0","5","14","219","0"
"L6839","ProcessURLAction.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/ProcessURLAction.java","L6832","1","0","9","0","4","12","219","0"
"L6840","URLHandlerFilter.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/URLHandlerFilter.java","L6832","11","0","59","0","7","22","1464","0"
"L6841","URLProcessor.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/URLProcessor.java","L6832","1","0","7","0","4","12","219","0"
"L3018","FieldDefinition.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldDefinition.java","L3017","1","0","35","0","6","12","1283","0"
"L3019","FieldDefinitionImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldDefinitionImpl.java","L3017","3","0","185","0","6","18","1283","0"
"L3020","FieldEnumeration.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldEnumeration.java","L3017","1","0","11","0","5","9","219","0"
"L3021","FieldEnumerationImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldEnumerationImpl.java","L3017","1","0","69","1","5","13","219","0"
"L3022","FieldEnumerationItem.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldEnumerationItem.java","L3017","1","0","14","0","5","9","219","0"
"L3023","FieldEnumerationItemImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldEnumerationItemImpl.java","L3017","1","0","82","0","6","16","219","0"
"L3024","FieldGroup.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldGroup.java","L3017","1","0","13","0","4","8","219","0"
"L3025","FieldGroupImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldGroupImpl.java","L3017","1","0","79","1","5","12","219","0"
"L3251","FieldType.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/type/FieldType.java","L3250","9","0","63","0","5","13","219","1"
"L3252","StorageType.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/type/StorageType.java","L3250","9","0","56","0","4","6","219","1"
"L3334","StaticAssetDao.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/dao/StaticAssetDao.java","L3333","1","0","11","0","5","11","219","0"
"L3335","StaticAssetDaoImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/dao/StaticAssetDaoImpl.java","L3333","6","0","78","0","6","19","219","0"
"L3336","StaticAssetStorageDao.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/dao/StaticAssetStorageDao.java","L3333","1","0","13","0","4","9","219","0"
"L3337","StaticAssetStorageDaoImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/dao/StaticAssetStorageDaoImpl.java","L3333","3","0","57","0","6","13","219","0"
"L3435","ImageStaticAsset.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/domain/ImageStaticAsset.java","L3434","1","0","7","0","5","10","219","0"
"L3436","ImageStaticAssetImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/domain/ImageStaticAssetImpl.java","L3434","2","0","67","0","6","19","219","0"
"L3437","StaticAsset.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/domain/StaticAsset.java","L3434","1","0","47","0","5","14","219","0"
"L3438","StaticAssetDescription.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/domain/StaticAssetDescription.java","L3434","1","0","14","0","4","8","219","0"
"L3439","StaticAssetDescriptionImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/domain/StaticAssetDescriptionImpl.java","L3434","1","0","86","0","7","25","219","0"
"L3440","StaticAssetImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/domain/StaticAssetImpl.java","L3434","4","0","370","0","7","49","2597","0"
"L3441","StaticAssetStorage.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/domain/StaticAssetStorage.java","L3434","1","0","10","0","4","8","219","0"
