"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L119","AdminCatalogService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogService.java","L118","1","0","5","0","2","5","219","0"
"L120","AdminCatalogServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogServiceImpl.java","L118","17","0","137","0","5","12","1464","0"
"L1536","AdminProductTranslationExtensionHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/AdminProductTranslationExtensionHandler.java","L1535","4","0","37","1","5","9","1464","0"
"L320","AdminCatalogServiceExtensionHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/AdminCatalogServiceExtensionHandler.java","L319","1","0","11","0","2","4","1464","0"
"L321","AdminCatalogServiceExtensionManager.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/AdminCatalogServiceExtensionManager.java","L319","1","0","9","0","2","4","1464","0"
"L322","DefaultAdminCatalogExtensionHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/extension/DefaultAdminCatalogExtensionHandler.java","L319","5","0","48","0","3","8","1464","0"
"L385","CategoryCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CategoryCustomPersistenceHandler.java","L384","6","0","66","1","7","31","219","0"
"L386","ChildCategoriesCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ChildCategoriesCustomPersistenceHandler.java","L384","6","0","52","0","7","24","219","0"
"L387","CustomerCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerCustomPersistenceHandler.java","L384","6","0","69","1","9","30","1464","1"
"L388","CustomerPasswordCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerPasswordCustomPersistenceHandler.java","L384","4","0","39","0","7","23","1283","0"
"L389","ISOCountryPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ISOCountryPersistenceHandler.java","L384","2","0","60","0","3","3","1464","0"
"L390","ProductCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ProductCustomPersistenceHandler.java","L384","14","0","101","2","7","31","219","1"
