@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L119","1","0","5","0","2","5","219","false"
"L120","17","0","137","0","5","12","1464","false"
"L1536","4","0","37","1","5","9","1464","false"
"L320","1","0","11","0","2","4","1464","false"
"L321","1","0","9","0","2","4","1464","false"
"L322","5","0","48","0","3","8","1464","false"
"L385","6","0","66","1","7","31","219","false"
"L386","6","0","52","0","7","24","219","false"
"L387","6","0","69","1","9","30","1464","true"
"L388","4","0","39","0","7","23","1283","false"
"L389","2","0","60","0","3","3","1464","false"
"L390","14","0","101","2","7","31","219","true"
"L391","5","0","88","1","2","5","1464","false"
"L392","61","0","459","5","10","126","2597","false"
"L393","16","0","133","5","5","19","423","false"
"L1539","3","0","42","0","4","8","219","false"
"L1624","3","0","78","1","5","10","1464","false"
"L1625","3","0","62","1","5","15","219","false"
"L1626","7","0","41","0","3","6","219","false"
"L1627","18","0","232","2","6","45","592","false"
"L1990","1","0","48","0","5","6","219","false"
"L1991","1","0","83","0","6","12","1464","false"
"L1992","1","0","153","0","5","9","219","false"
"L1993","1","0","34","0","5","10","219","false"
"L1994","1","0","69","0","5","9","219","false"
"L1995","1","0","209","0","5","11","219","false"
"L1996","1","0","118","0","4","9","219","false"
"L1997","1","0","41","0","4","9","219","false"
"L1998","1","0","111","0","5","16","2597","false"
"L1999","1","0","62","0","4","9","219","false"
"L1494","2","0","26","1","4","6","592","false"
"L1330","9","0","47","0","3","3","219","false"
"L1331","6","0","45","0","3","10","219","false"
"L1332","15","0","97","1","4","12","219","false"
"L2067","1","0","18","0","4","5","219","false"
"L2068","2","0","31","0","5","8","592","false"
"L2069","1","0","17","0","1","1","592","false"
"L2070","1","0","25","0","4","5","219","false"
"L1985","1","0","126","0","3","6","219","false"
"L1986","1","0","209","0","3","7","219","false"
"L3151","1","0","16","0","3","3","219","false"
"L7079","2","0","18","0","4","9","219","false"
"L7080","64","0","385","1","7","24","1464","false"
"L7081","1","0","14","0","4","10","219","false"
"L7082","7","0","53","0","6","32","1464","false"
"L7083","6","0","68","0","5","26","219","false"
"L7084","1","0","16","0","5","14","219","false"
"L7085","1","0","9","0","4","12","219","false"
"L7086","17","0","115","0","7","25","1283","false"
"L7087","1","0","7","0","4","12","219","false"
"L3176","1","0","46","0","7","15","423","false"
"L3177","9","0","261","0","7","30","1283","false"
"L3178","1","0","19","0","5","9","219","false"
"L3179","1","0","71","1","5","13","219","false"
"L3180","1","0","16","0","5","9","219","false"
"L3181","1","0","84","0","6","16","219","false"
"L3182","1","0","13","0","4","8","219","false"
"L3183","1","0","85","1","6","15","423","false"
"L3473","9","0","63","1","5","18","1283","false"
"L3474","9","0","56","1","5","11","1283","false"
"L3554","1","0","10","0","5","11","219","false"
"L3555","8","0","95","0","6","20","219","false"
"L3556","1","0","10","0","1","1","219","false"
"L3557","1","0","13","0","5","10","1464","false"
"L3558","3","0","57","0","6","14","1464","false"
"L3679","1","0","7","0","5","10","219","false"
"L3680","1","0","46","0","6","19","219","false"
"L3681","1","0","32","0","5","14","219","false"
"L3682","1","0","14","0","4","8","219","false"
"L3683","1","0","86","0","7","25","219","false"
"L3684","2","0","264","0","7","49","2597","false"
"L3685","1","0","10","0","4","8","219","false"
"L3686","1","0","61","1","6","10","219","false"
"L3965","1","0","20","0","6","26","1464","false"
"L3966","1","0","7","0","1","1","219","false"
"L3967","1","0","9","0","1","1","219","false"
"L3968","21","0","204","5","8","69","1464","false"
"L3969","1","0","17","0","5","17","1464","false"
"L3970","36","0","303","6","9","52","1464","false"
"L4494","1","0","24","0","6","20","592","false"
"L4495","5","0","155","0","6","31","592","false"
"L4627","1","0","46","0","6","23","1464","false"
"L4628","1","0","8","0","1","1","1283","false"
"L4629","18","0","127","0","2","2","423","false"
"L4630","1","0","15","0","5","14","1283","false"
"L4631","5","0","116","1","8","24","2597","false"
"L4632","5","0","330","0","8","69","592","false"
"L4633","1","0","10","0","5","15","219","false"
"L4634","15","0","128","2","8","23","423","false"
"L4635","1","0","11","0","5","15","219","false"
"L4636","11","0","90","2","8","22","423","false"
"L4637","1","0","23","0","6","10","423","false"
"L4638","1","0","13","0","1","1","423","false"
"L4639","1","0","99","0","1","1","423","false"
"L4640","4","0","154","0","8","25","423","false"
"L5152","1","0","5","0","4","10","219","false"
"L5192","1","0","19","0","4","4","1464","false"
"L5193","5","0","28","0","5","15","219","false"
"L5194","1","0","23","0","6","23","592","false"
"L5195","1","0","13","0","4","4","1464","false"
"L5196","1","0","13","0","1","1","1283","false"
"L5197","34","0","219","1","8","79","592","false"
"L5198","26","0","140","0","4","5","423","false"
"L5199","7","0","74","1","4","6","95","false"
"L5747","1","0","22","0","6","16","219","false"
"L5748","7","0","143","0","6","27","1464","false"
"L5872","1","0","52","0","7","18","592","false"
"L5873","1","0","20","0","6","16","423","false"
"L5874","6","0","116","1","8","29","423","false"
"L5875","1","0","17","0","4","8","219","false"
"L5876","1","0","80","0","6","18","219","false"
"L5877","1","0","11","0","1","1","592","false"
"L5878","1","0","97","0","1","2","592","false"
"L5879","8","0","344","0","9","90","592","false"
"L5880","1","0","10","0","5","15","219","false"
"L5881","15","0","130","2","8","43","423","false"
"L5882","1","0","11","0","5","19","219","false"
"L5883","11","0","92","2","7","31","1464","false"
"L5884","1","0","12","0","1","1","423","false"
"L5885","2","0","118","0","1","1","423","false"
"L5886","1","0","18","0","4","8","219","false"
"L5887","1","0","91","0","8","29","2597","false"
