"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L119","AdminCatalogService.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogService.java","L118","1","0","5","0","2","5","219","0"
"L120","AdminCatalogServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/AdminCatalogServiceImpl.java","L118","18","0","137","0","5","12","1464","0"
"L1329","AdminProductTranslationExtensionListener.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/AdminProductTranslationExtensionListener.java","L1328","3","0","27","1","4","4","56","0"
"L302","CategoryCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CategoryCustomPersistenceHandler.java","L301","6","0","66","1","8","36","2597","0"
"L303","ChildCategoriesCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ChildCategoriesCustomPersistenceHandler.java","L301","6","0","52","0","7","24","219","0"
"L304","CustomerCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerCustomPersistenceHandler.java","L301","4","0","49","2","9","33","1464","0"
"L305","CustomerPasswordCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/CustomerPasswordCustomPersistenceHandler.java","L301","4","0","39","0","7","23","1283","0"
"L306","ProductCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/ProductCustomPersistenceHandler.java","L301","14","0","101","3","9","42","2597","0"
"L307","SkuCustomPersistenceHandler.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuCustomPersistenceHandler.java","L301","57","0","442","5","10","129","2597","2"
"L308","SkuRestrictionFactoryImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/handler/SkuRestrictionFactoryImpl.java","L301","16","0","132","5","5","19","423","0"
"L1332","AdminCatalogActionsController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/action/AdminCatalogActionsController.java","L1331","3","0","42","0","4","8","219","0"
"L1409","AdminCategoryController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminCategoryController.java","L1408","2","0","49","1","5","12","2597","0"
"L1410","AdminOfferController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminOfferController.java","L1408","3","0","62","1","5","15","219","0"
"L1411","AdminOrderController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminOrderController.java","L1408","7","0","41","0","3","6","219","0"
"L1412","AdminProductController.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/controller/entity/AdminProductController.java","L1408","17","0","200","2","7","49","38","0"
"L1714","CategoryFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/CategoryFieldServiceImpl.java","L1713","1","0","48","0","5","6","219","0"
"L1715","CustomerFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/CustomerFieldServiceImpl.java","L1713","1","0","76","0","6","12","1464","0"
"L1716","FulfillmentGroupFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/FulfillmentGroupFieldServiceImpl.java","L1713","1","0","153","0","5","9","219","0"
"L1717","LocaleFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/LocaleFieldServiceImpl.java","L1713","1","0","34","0","5","10","219","0"
"L1718","OrderFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/OrderFieldServiceImpl.java","L1713","1","0","69","0","5","9","219","0"
"L1719","OrderItemFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/OrderItemFieldServiceImpl.java","L1713","1","0","209","0","5","11","219","0"
"L1720","ProductFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/ProductFieldServiceImpl.java","L1713","1","0","118","0","4","9","219","0"
"L1721","RequestFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/RequestFieldServiceImpl.java","L1713","1","0","41","0","4","9","219","0"
"L1722","SkuFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/SkuFieldServiceImpl.java","L1713","1","0","111","0","5","16","2597","0"
"L1723","TimeFieldServiceImpl.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/TimeFieldServiceImpl.java","L1713","1","0","62","0","4","9","219","0"
"L1287","TargetItemRulesValidator.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/validation/TargetItemRulesValidator.java","L1286","2","0","25","1","4","6","592","0"
"L1121","ForeignSkuFieldPersistenceProvider.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/module/provider/ForeignSkuFieldPersistenceProvider.java","L1120","9","0","47","0","3","3","219","0"
"L1122","SkuFieldsPersistenceProvider.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/module/provider/SkuFieldsPersistenceProvider.java","L1120","6","0","45","0","3","10","219","0"
"L1123","SkuPricingPersistenceProvider.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/server/service/persistence/module/provider/SkuPricingPersistenceProvider.java","L1120","15","0","97","1","4","12","219","0"
"L1791","FulfillmentTypeEnumOptionsExtensionListener.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/options/FulfillmentTypeEnumOptionsExtensionListener.java","L1790","1","0","18","0","4","5","219","0"
"L1792","InventoryTypeEnumOptionsExtensionListener.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/options/InventoryTypeEnumOptionsExtensionListener.java","L1790","1","0","18","0","5","8","592","0"
"L1793","TimeEnumOptionsExtensionListener.java","admin/broadleaf-admin-module/src/main/java/org/broadleafcommerce/admin/web/rulebuilder/service/options/TimeEnumOptionsExtensionListener.java","L1790","1","0","25","0","4","5","219","0"
"L1709","DataDTOToMVELTranslatorTest.java","admin/broadleaf-admin-module/src/test/java/org/broadleafcommerce/admin/web/rulebuilder/DataDTOToMVELTranslatorTest.java","L1708","1","0","126","0","3","6","219","0"
"L1710","MVELToDataWrapperTranslatorTest.java","admin/broadleaf-admin-module/src/test/java/org/broadleafcommerce/admin/web/rulebuilder/MVELToDataWrapperTranslatorTest.java","L1708","1","0","209","0","3","7","219","0"
"L2958","AbstractContentService.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/common/AbstractContentService.java","L2957","8","0","66","0","4","11","219","0"
"L2959","AssetNotFoundException.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/common/AssetNotFoundException.java","L2957","1","0","16","0","3","3","219","0"
"L6852","BroadleafCmsSimpleUrlHandlerMapping.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/BroadleafCmsSimpleUrlHandlerMapping.java","L6851","2","0","18","0","4","9","219","0"
"L6853","BroadleafProcessURLFilter.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/BroadleafProcessURLFilter.java","L6851","66","0","385","1","7","24","1464","0"
"L6854","NullURLProcessor.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/NullURLProcessor.java","L6851","1","0","14","0","4","10","219","0"
"L6855","PageHandlerMapping.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/PageHandlerMapping.java","L6851","7","0","54","0","6","32","1464","0"
"L6856","PageURLProcessor.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/PageURLProcessor.java","L6851","6","0","68","0","5","26","219","0"
"L6857","PreviewTemplateController.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/PreviewTemplateController.java","L6851","1","0","16","0","5","14","219","0"
"L6858","ProcessURLAction.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/ProcessURLAction.java","L6851","1","0","9","0","4","12","219","0"
"L6859","URLHandlerFilter.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/URLHandlerFilter.java","L6851","11","0","59","0","7","25","1283","0"
"L6860","URLProcessor.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/web/URLProcessor.java","L6851","1","0","7","0","4","12","219","0"
"L3035","FieldDefinition.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldDefinition.java","L3034","1","0","35","0","7","16","2597","0"
"L3036","FieldDefinitionImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldDefinitionImpl.java","L3034","3","0","185","0","8","37","27","0"
"L3037","FieldEnumeration.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldEnumeration.java","L3034","1","0","11","0","5","9","219","0"
"L3038","FieldEnumerationImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldEnumerationImpl.java","L3034","1","0","69","1","5","13","219","0"
"L3039","FieldEnumerationItem.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldEnumerationItem.java","L3034","1","0","14","0","5","9","219","0"
"L3040","FieldEnumerationItemImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldEnumerationItemImpl.java","L3034","1","0","82","0","6","16","219","0"
"L3041","FieldGroup.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldGroup.java","L3034","1","0","13","0","4","9","2597","0"
"L3042","FieldGroupImpl.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/domain/FieldGroupImpl.java","L3034","1","0","79","1","7","19","27","0"
"L3268","FieldType.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/type/FieldType.java","L3267","9","0","63","1","5","18","1283","0"
"L3269","StorageType.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/field/type/StorageType.java","L3267","9","0","56","1","5","11","1283","0"
"L3351","StaticAssetDao.java","admin/broadleaf-contentmanagement-module/src/main/java/org/broadleafcommerce/cms/file/dao/StaticAssetDao.java","L3350","1","0","11","0","5","11","219","0"
