@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L119","1","0","5","0","2","5","219","false"
"L120","18","0","137","0","5","12","1464","false"
"L1329","3","0","27","1","4","4","56","false"
"L302","6","0","66","1","8","36","2597","false"
"L303","6","0","52","0","7","24","219","false"
"L304","4","0","49","2","9","33","1464","false"
"L305","4","0","39","0","7","23","1283","false"
"L306","14","0","101","3","9","42","2597","false"
"L307","57","0","442","5","10","129","2597","true"
"L308","16","0","132","5","5","19","423","false"
"L1332","3","0","42","0","4","8","219","false"
"L1409","2","0","49","1","5","12","2597","false"
"L1410","3","0","62","1","5","15","219","false"
"L1411","7","0","41","0","3","6","219","false"
"L1412","17","0","200","2","7","49","38","false"
"L1714","1","0","48","0","5","6","219","false"
"L1715","1","0","76","0","6","12","1464","false"
"L1716","1","0","153","0","5","9","219","false"
"L1717","1","0","34","0","5","10","219","false"
"L1718","1","0","69","0","5","9","219","false"
"L1719","1","0","209","0","5","11","219","false"
"L1720","1","0","118","0","4","9","219","false"
"L1721","1","0","41","0","4","9","219","false"
"L1722","1","0","111","0","5","16","2597","false"
"L1723","1","0","62","0","4","9","219","false"
"L1287","2","0","25","1","4","6","592","false"
"L1121","9","0","47","0","3","3","219","false"
"L1122","6","0","45","0","3","10","219","false"
"L1123","15","0","97","1","4","12","219","false"
"L1791","1","0","18","0","4","5","219","false"
"L1792","1","0","18","0","5","8","592","false"
"L1793","1","0","25","0","4","5","219","false"
"L1709","1","0","126","0","3","6","219","false"
"L1710","1","0","209","0","3","7","219","false"
"L2958","8","0","66","0","4","11","219","false"
"L2959","1","0","16","0","3","3","219","false"
"L6852","2","0","18","0","4","9","219","false"
"L6853","66","0","385","1","7","24","1464","false"
"L6854","1","0","14","0","4","10","219","false"
"L6855","7","0","54","0","6","32","1464","false"
"L6856","6","0","68","0","5","26","219","false"
"L6857","1","0","16","0","5","14","219","false"
"L6858","1","0","9","0","4","12","219","false"
"L6859","11","0","59","0","7","25","1283","false"
"L6860","1","0","7","0","4","12","219","false"
"L3035","1","0","35","0","7","16","2597","false"
"L3036","3","0","185","0","8","37","27","false"
"L3037","1","0","11","0","5","9","219","false"
"L3038","1","0","69","1","5","13","219","false"
"L3039","1","0","14","0","5","9","219","false"
"L3040","1","0","82","0","6","16","219","false"
"L3041","1","0","13","0","4","9","2597","false"
"L3042","1","0","79","1","7","19","27","false"
"L3268","9","0","63","1","5","18","1283","false"
"L3269","9","0","56","1","5","11","1283","false"
"L3351","1","0","11","0","5","11","219","false"
"L3352","6","0","78","0","6","20","219","false"
"L3353","1","0","13","0","5","12","2597","false"
"L3354","3","0","57","0","6","16","2597","false"
"L3452","1","0","7","0","5","10","219","false"
"L3453","2","0","67","0","6","19","219","false"
"L3454","1","0","47","0","6","16","2597","false"
"L3455","1","0","14","0","5","10","2597","false"
"L3456","1","0","86","0","8","27","2597","false"
"L3457","4","0","370","0","8","53","2597","false"
"L3458","1","0","10","0","4","8","219","false"
"L3459","1","0","61","1","6","10","219","false"
"L3810","1","0","36","0","4","6","219","false"
"L3811","1","0","28","0","6","28","2597","false"
"L3812","79","0","436","5","8","72","1464","false"
"L3813","1","0","21","0","5","19","2597","false"
"L3814","55","0","377","6","9","54","2597","false"
"L4545","1","0","22","0","6","20","592","false"
"L4546","8","0","127","0","6","31","592","false"
"L4642","1","0","46","0","7","25","2597","false"
"L4643","1","0","16","0","6","16","2597","false"
"L4644","5","0","116","1","10","31","27","false"
"L4645","9","0","401","0","11","81","27","false"
"L4646","1","0","10","0","6","17","2597","false"
"L4647","15","0","121","2","10","27","27","false"
