@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L119","1","0","5","0","2","5","219","false"
"L120","17","0","137","0","5","12","1464","false"
"L1896","4","0","37","1","5","9","1464","false"
"L320","1","0","11","0","2","4","1464","false"
"L321","1","0","9","0","2","4","1464","false"
"L322","1","0","10","0","1","1","2597","false"
"L323","1","0","9","0","1","1","2597","false"
"L324","5","0","48","0","3","8","1464","false"
"L325","1","0","10","0","1","1","2597","false"
"L326","1","0","9","0","1","1","2597","false"
"L434","26","0","163","1","8","38","2597","false"
"L435","6","0","52","0","7","24","219","false"
"L436","11","0","106","2","10","35","2597","false"
"L437","4","0","39","0","7","23","1283","false"
"L438","2","0","81","0","4","4","1283","false"
"L439","33","0","244","3","9","44","2597","false"
"L440","5","0","91","1","2","6","1464","false"
"L441","62","0","485","8","10","135","1464","false"
"L442","1","0","8","0","1","1","2597","false"
"L443","1","0","9","0","1","1","2597","false"
"L444","16","0","133","5","5","19","423","false"
"L1899","3","0","42","0","4","8","219","false"
"L1982","3","0","83","1","5","12","2597","false"
"L1983","3","0","62","1","5","15","219","false"
"L1984","7","0","41","0","3","6","219","false"
"L1985","21","0","248","2","7","49","38","false"
"L2360","1","0","34","0","5","7","219","false"
"L2361","1","0","76","0","6","13","219","false"
"L2362","1","0","153","0","5","9","219","false"
"L2363","1","0","34","0","5","10","219","false"
"L2364","1","0","34","0","5","10","219","false"
"L2365","1","0","69","0","5","12","219","false"
"L2366","1","0","48","0","4","10","219","false"
"L2367","1","0","41","0","4","9","219","false"
"L2368","1","0","48","0","5","17","219","false"
"L2369","1","0","62","0","4","9","219","false"
"L1854","2","0","26","1","4","6","592","false"
"L1580","24","0","104","0","1","2","2597","false"
"L1581","9","0","47","0","3","3","219","false"
"L1582","24","0","106","0","1","2","2597","false"
"L1583","6","0","45","0","3","10","219","false"
"L1584","15","0","97","1","4","12","219","false"
"L1653","1","0","8","0","1","1","2597","false"
"L1654","1","0","9","0","1","1","2597","false"
"L1655","1","0","8","0","1","1","2597","false"
"L1656","1","0","9","0","1","1","2597","false"
"L2437","1","0","18","0","4","5","219","false"
"L2438","2","0","31","0","5","8","592","false"
"L2439","1","0","17","0","1","1","592","false"
"L2440","1","0","25","0","4","5","219","false"
"L2355","1","0","100","0","3","7","219","false"
"L2356","1","0","182","0","3","8","219","false"
"L3549","1","0","16","0","3","3","219","false"
"L4023","1","0","10","0","2","2","423","false"
"L7788","2","0","18","0","4","9","219","false"
"L7789","64","0","385","1","7","24","1464","false"
"L7790","1","0","14","0","4","10","219","false"
"L7791","7","0","53","0","6","32","1464","false"
"L7792","6","0","68","0","5","26","219","false"
"L7793","1","0","16","0","5","14","219","false"
"L7794","1","0","9","0","4","12","219","false"
"L7795","17","0","115","0","7","25","1283","false"
"L7796","1","0","7","0","4","12","219","false"
"L3574","1","0","47","0","7","16","2597","false"
"L3575","14","0","304","0","8","37","27","false"
"L3576","1","0","19","0","5","9","219","false"
"L3577","1","0","71","1","5","13","219","false"
"L3578","1","0","16","0","5","9","219","false"
"L3579","1","0","84","0","6","16","219","false"
"L3580","1","0","14","0","4","9","2597","false"
"L3581","3","0","104","1","7","19","27","false"
"L3944","9","0","63","1","5","18","1283","false"
"L3945","9","0","56","1","5","11","1283","false"
"L4026","1","0","10","0","5","11","219","false"
"L4027","11","0","120","0","8","22","423","false"
"L4028","1","0","10","0","1","1","219","false"
"L4029","1","0","15","0","5","12","2597","false"
"L4030","3","0","60","0","6","16","2597","false"
"L4159","1","0","7","0","5","10","219","false"
"L4160","1","0","46","0","6","19","219","false"
"L4161","1","0","33","0","6","16","2597","false"
"L4162","1","0","15","0","5","10","2597","false"
"L4163","2","0","99","0","8","27","2597","false"
"L4164","4","0","268","0","8","53","2597","false"
"L4165","1","0","10","0","4","8","219","false"
"L4166","1","0","61","1","6","10","219","false"
"L4478","1","0","26","0","6","28","2597","false"
"L4479","1","0","7","0","1","1","219","false"
"L4480","1","0","9","0","1","1","219","false"
"L4481","22","0","215","5","8","72","1464","false"
"L4482","1","0","21","0","5","19","2597","false"
"L4483","36","0","308","6","9","54","2597","false"
"L5032","1","0","24","0","6","20","592","false"
"L5033","5","0","155","0","6","31","592","false"
"L5165","1","0","47","0","7","25","2597","false"
"L5166","1","0","9","0","3","3","2597","false"
"L5167","19","0","144","0","5","7","27","false"
"L5168","1","0","16","0","6","16","2597","false"
"L5169","7","0","134","1","10","31","27","false"
"L5170","9","0","371","0","11","82","592","false"
"L5171","1","0","11","0","6","17","2597","false"
"L5172","16","0","143","2","10","27","27","false"
"L5173","1","0","12","0","6","17","2597","false"
"L5174","12","0","104","2","10","27","27","false"
"L5175","1","0","24","0","6","11","2597","false"
"L5176","1","0","15","0","2","2","2597","false"
"L5177","4","0","116","0","3","6","27","false"
"L5178","6","0","180","0","9","30","27","false"
"L5821","1","0","5","0","4","10","219","false"
"L5861","1","0","19","0","4","4","1464","false"
"L5862","5","0","28","0","5","15","219","false"
"L5863","1","0","23","0","6","24","1283","false"
"L5864","1","0","13","0","4","4","1464","false"
"L5865","1","0","13","0","1","1","1283","false"
"L5866","43","0","250","1","8","82","592","false"
"L5867","32","0","160","0","5","10","592","false"
"L5868","7","0","74","1","4","6","95","false"
"L6430","1","0","22","0","6","16","219","false"
"L6431","7","0","143","0","6","27","1464","false"
"L6555","1","0","53","0","8","20","2597","false"
"L6556","1","0","21","0","7","18","2597","false"
