"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of committers","Number of developer commits","Number of previous fixes","Number of bugs"
"L13376","_HelloWorld.java","src/test/java/examples/_HelloWorld.java","L13375","1","0","22","1","1","1302","0","0"
"L13377","_TempMap.java","src/test/java/examples/_TempMap.java","L13375","1","0","12","1","1","1302","0","0"
"L13378","Bidi_Map.java","src/test/java/examples/Bidi_Map.java","L13375","2","0","21","6","2","1302","0","0"
"L13379","Cache.java","src/test/java/examples/Cache.java","L13375","2","0","24","2","1","1302","0","0"
"L13380","Compression.java","src/test/java/examples/Compression.java","L13375","1","0","13","6","1","1302","0","0"
"L13381","Custom_Value.java","src/test/java/examples/Custom_Value.java","L13375","8","0","63","10","2","1302","0","0"
"L13382","DBMakerExtend.java","src/test/java/examples/DBMakerExtend.java","L13375","2","0","28","1","1","1302","0","0"
"L13383","Histogram.java","src/test/java/examples/Histogram.java","L13375","5","0","26","1","1","1302","0","0"
"L13384","Huge_Insert.java","src/test/java/examples/Huge_Insert.java","L13375","1","0","46","7","1","1302","0","0"
"L13385","Lazily_Loaded_Records.java","src/test/java/examples/Lazily_Loaded_Records.java","L13375","1","0","22","5","1","1302","0","0"
"L13386","Map_Size_Counter.java","src/test/java/examples/Map_Size_Counter.java","L13375","1","0","22","5","1","1302","0","0"
"L13387","MultiMap.java","src/test/java/examples/MultiMap.java","L13375","2","0","22","5","1","1302","0","0"
"L13388","Pump_InMemory_Import_Then_Save_To_Disk.java","src/test/java/examples/Pump_InMemory_Import_Then_Save_To_Disk.java","L13375","2","0","20","2","1","1302","0","0"
"L13389","Secondary_Key.java","src/test/java/examples/Secondary_Key.java","L13375","1","0","25","4","2","1302","0","0"
"L13390","Secondary_Map.java","src/test/java/examples/Secondary_Map.java","L13375","1","0","21","3","1","1302","0","0"
"L13391","SQL_Auto_Incremental_Unique_Key.java","src/test/java/examples/SQL_Auto_Incremental_Unique_Key.java","L13375","1","0","16","2","1","1302","0","0"
"L13392","Transactions.java","src/test/java/examples/Transactions.java","L13375","3","0","45","3","1","1302","0","0"
"L13393","Transactions2.java","src/test/java/examples/Transactions2.java","L13375","1","0","19","1","1","1302","0","0"
"L13394","TreeMap_Composite_Key.java","src/test/java/examples/TreeMap_Composite_Key.java","L13375","7","0","55","4","1","1302","0","0"
"L13395","TreeMap_Performance_Tunning.java","src/test/java/examples/TreeMap_Performance_Tunning.java","L13375","5","0","46","6","1","1302","0","0"
"L111","AsyncWriteEngine.java","src/main/java/org/mapdb/AsyncWriteEngine.java","L110","50","0","302","58","5","1302","1","1"
"L112","Atomic.java","src/main/java/org/mapdb/Atomic.java","L110","36","0","264","7","1","1302","0","1"
"L113","Bind.java","src/main/java/org/mapdb/Bind.java","L110","26","0","200","11","2","1302","0","0"
"L114","BTreeKeySerializer.java","src/main/java/org/mapdb/BTreeKeySerializer.java","L110","111","0","399","10","1","1302","0","1"
"L115","BTreeMap.java","src/main/java/org/mapdb/BTreeMap.java","L110","452","0","2055","56","3","1302","4","4"
"L116","Caches.java","src/main/java/org/mapdb/Caches.java","L110","39","0","430","2","1","1302","0","0"
"L117","CC.java","src/main/java/org/mapdb/CC.java","L110","1","0","11","15","1","1302","0","1"
"L118","CompressLZF.java","src/main/java/org/mapdb/CompressLZF.java","L110","27","0","125","11","1","1302","2","0"
"L119","DataInput2.java","src/main/java/org/mapdb/DataInput2.java","L110","1","0","96","8","1","1302","1","0"
"L120","DataOutput2.java","src/main/java/org/mapdb/DataOutput2.java","L110","4","0","108","8","1","1302","1","0"
"L121","DB.java","src/main/java/org/mapdb/DB.java","L110","110","0","818","48","2","1302","1","1"
"L122","DBMaker.java","src/main/java/org/mapdb/DBMaker.java","L110","34","0","345","71","2","1302","2","5"
"L123","EncryptionXTEA.java","src/main/java/org/mapdb/EncryptionXTEA.java","L110","14","0","175","6","1","1302","0","0"
"L124","Engine.java","src/main/java/org/mapdb/Engine.java","L110","1","0","23","22","2","1302","1","1"
"L125","EngineWrapper.java","src/main/java/org/mapdb/EngineWrapper.java","L110","23","0","350","23","2","1302","1","2"
"L126","Fun.java","src/main/java/org/mapdb/Fun.java","L110","91","0","216","7","1","1302","0","1"
"L127","HTreeMap.java","src/main/java/org/mapdb/HTreeMap.java","L110","227","0","1197","53","3","1302","2","0"
"L128","LongConcurrentHashMap.java","src/main/java/org/mapdb/LongConcurrentHashMap.java","L110","102","0","516","9","2","1302","0","0"
"L129","LongConcurrentLRUMap.java","src/main/java/org/mapdb/LongConcurrentLRUMap.java","L110","57","0","407","7","1","1302","0","0"
"L130","LongHashMap.java","src/main/java/org/mapdb/LongHashMap.java","L110","31","0","277","11","2","1302","0","0"
"L131","LongMap.java","src/main/java/org/mapdb/LongMap.java","L110","3","0","37","6","2","1302","0","0"
"L132","Pump.java","src/main/java/org/mapdb/Pump.java","L110","39","0","222","13","1","1302","1","1"
"L133","Queues.java","src/main/java/org/mapdb/Queues.java","L110","39","0","294","11","2","1302","0","1"
"L134","Serializer.java","src/main/java/org/mapdb/Serializer.java","L110","10","0","100","22","2","1302","0","0"
"L135","SerializerBase.java","src/main/java/org/mapdb/SerializerBase.java","L110","485","0","1575","34","1","1302","0","3"
"L136","SerializerPojo.java","src/main/java/org/mapdb/SerializerPojo.java","L110","62","0","454","28","2","1302","2","1"
"L137","Store.java","src/main/java/org/mapdb/Store.java","L110","27","0","182","8","1","1302","2","2"
"L138","StoreAppend.java","src/main/java/org/mapdb/StoreAppend.java","L110","56","0","479","29","1","1302","3","4"
"L139","StoreDirect.java","src/main/java/org/mapdb/StoreDirect.java","L110","118","0","697","51","1","1302","3","8"
"L140","StoreHeap.java","src/main/java/org/mapdb/StoreHeap.java","L110","15","0","211","14","1","1302","0","0"
"L141","StoreWAL.java","src/main/java/org/mapdb/StoreWAL.java","L110","100","0","659","43","1","1302","6","5"
"L142","TxBlock.java","src/main/java/org/mapdb/TxBlock.java","L110","1","0","4","1","1","1302","0","0"
"L143","TxEngine.java","src/main/java/org/mapdb/TxEngine.java","L110","52","0","349","7","1","1302","0","2"
"L144","TxMaker.java","src/main/java/org/mapdb/TxMaker.java","L110","8","0","31","23","1","1302","2","1"
"L145","TxRollbackException.java","src/main/java/org/mapdb/TxRollbackException.java","L110","1","0","3","1","1","1302","0","0"
"L146","Utils.java","src/main/java/org/mapdb/Utils.java","L110","34","0","193","34","1","1302","2","0"
"L147","Volume.java","src/main/java/org/mapdb/Volume.java","L110","85","0","607","40","2","1302","2","11"
"L152","AsyncWriteEngineTest.java","src/test/java/org/mapdb/AsyncWriteEngineTest.java","L151","8","0","98","26","1","1302","0","0"
"L153","AtomicBooleanTest.java","src/test/java/org/mapdb/AtomicBooleanTest.java","L151","2","0","52","6","1","1302","0","0"
"L154","AtomicIntegerTest.java","src/test/java/org/mapdb/AtomicIntegerTest.java","L151","6","0","110","5","1","1302","0","0"
"L155","AtomicLongTest.java","src/test/java/org/mapdb/AtomicLongTest.java","L151","6","0","122","6","1","1302","0","0"
"L156","BTreeKeySerializerTest.java","src/test/java/org/mapdb/BTreeKeySerializerTest.java","L151","14","0","153","5","1","1302","0","0"
"L157","BTreeMapExtendTest.java","src/test/java/org/mapdb/BTreeMapExtendTest.java","L151","811","0","6251","4","1","1302","0","0"
"L158","BTreeMapLargeValsTest.java","src/test/java/org/mapdb/BTreeMapLargeValsTest.java","L151","2","0","35","13","1","1302","0","0"
"L159","BTreeMapNavigable2Test.java","src/test/java/org/mapdb/BTreeMapNavigable2Test.java","L151","12","0","386","8","2","1302","0","0"
"L160","BTreeMapNavigableSubMapExclusiveTest.java","src/test/java/org/mapdb/BTreeMapNavigableSubMapExclusiveTest.java","L151","1","0","15","5","2","1302","0","0"
"L161","BTreeMapNavigableSubMapInclusiveTest.java","src/test/java/org/mapdb/BTreeMapNavigableSubMapInclusiveTest.java","L151","1","0","13","5","2","1302","0","0"
"L162","BTreeMapNavigableTest.java","src/test/java/org/mapdb/BTreeMapNavigableTest.java","L151","1","0","240","5","1","1302","0","0"
"L163","BTreeMapSubSetTest.java","src/test/java/org/mapdb/BTreeMapSubSetTest.java","L151","47","0","584","4","1","1302","0","0"
"L164","BTreeMapTest.java","src/test/java/org/mapdb/BTreeMapTest.java","L151","19","0","214","29","2","1302","1","0"
"L165","BTreeMapTest2.java","src/test/java/org/mapdb/BTreeMapTest2.java","L151","2","0","34","13","1","1302","0","0"
"L166","BTreeMapTest3.java","src/test/java/org/mapdb/BTreeMapTest3.java","L151","30","0","212","4","1","1302","0","0"
"L167","BTreeMapTest4.java","src/test/java/org/mapdb/BTreeMapTest4.java","L151","122","0","1385","6","1","1302","0","0"
"L168","BTreeMapTest5.java","src/test/java/org/mapdb/BTreeMapTest5.java","L151","47","0","981","5","1","1302","0","0"
"L169","BTreeMapTest6.java","src/test/java/org/mapdb/BTreeMapTest6.java","L151","111","0","926","6","1","1302","0","0"
"L170","BTreeSet2Test.java","src/test/java/org/mapdb/BTreeSet2Test.java","L151","98","0","683","7","1","1302","0","0"
"L171","BTreeSet3Test.java","src/test/java/org/mapdb/BTreeSet3Test.java","L151","51","0","782","2","1","1302","0","0"
"L172","BTreeSetTest.java","src/test/java/org/mapdb/BTreeSetTest.java","L151","1","0","15","9","2","1302","0","0"
"L173","CacheWeakSoftRefTest.java","src/test/java/org/mapdb/CacheWeakSoftRefTest.java","L151","5","0","44","6","1","1302","0","0"
"L174","CCTest.java","src/test/java/org/mapdb/CCTest.java","L151","3","0","13","2","1","1302","0","0"
"L175","CompressTest.java","src/test/java/org/mapdb/CompressTest.java","L151","1","0","26","17","1","1302","0","0"
