"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of committers","Number of developer commits","Number of previous fixes","Number of bugs"
"L15741","_HelloWorld.java","src/test/java/examples/_HelloWorld.java","L15740","1","0","22","2","1","1302","0","0"
"L15742","_TempMap.java","src/test/java/examples/_TempMap.java","L15740","1","0","12","1","1","1302","0","0"
"L15743","Bidi_Map.java","src/test/java/examples/Bidi_Map.java","L15740","2","0","21","8","2","1302","0","0"
"L15744","CacheEntryExpiry.java","src/test/java/examples/CacheEntryExpiry.java","L15740","3","0","36","6","1","1302","0","0"
"L15745","CacheOffHeap.java","src/test/java/examples/CacheOffHeap.java","L15740","3","0","24","2","1","1302","0","0"
"L15746","CacheOffHeapAdvanced.java","src/test/java/examples/CacheOffHeapAdvanced.java","L15740","3","0","32","3","1","1302","0","0"
"L15747","Compression.java","src/test/java/examples/Compression.java","L15740","1","0","22","9","1","1302","0","0"
"L15748","Custom_Value.java","src/test/java/examples/Custom_Value.java","L15740","8","0","67","13","2","1302","0","0"
"L15749","DBMakerExtend.java","src/test/java/examples/DBMakerExtend.java","L15740","3","0","89","3","1","1302","0","0"
"L15750","Histogram.java","src/test/java/examples/Histogram.java","L15740","5","0","26","1","1","1302","0","0"
"L15751","Huge_Insert.java","src/test/java/examples/Huge_Insert.java","L15740","2","0","57","9","1","1302","0","0"
"L15752","Lazily_Loaded_Records.java","src/test/java/examples/Lazily_Loaded_Records.java","L15740","1","0","21","6","1","1302","0","0"
"L15753","Map_Size_Counter.java","src/test/java/examples/Map_Size_Counter.java","L15740","1","0","22","6","1","1302","0","0"
"L15754","MultiMap.java","src/test/java/examples/MultiMap.java","L15740","2","0","25","8","1","1302","0","0"
"L15755","Secondary_Key.java","src/test/java/examples/Secondary_Key.java","L15740","1","0","25","6","2","1302","0","0"
"L15756","Secondary_Map.java","src/test/java/examples/Secondary_Map.java","L15740","1","0","21","3","1","1302","0","0"
"L15757","Secondary_Values.java","src/test/java/examples/Secondary_Values.java","L15740","2","0","33","3","1","1302","0","0"
"L15758","SQL_Auto_Incremental_Unique_Key.java","src/test/java/examples/SQL_Auto_Incremental_Unique_Key.java","L15740","1","0","16","2","1","1302","0","0"
"L15759","Transactions.java","src/test/java/examples/Transactions.java","L15740","3","0","46","4","1","1302","0","0"
"L15760","Transactions2.java","src/test/java/examples/Transactions2.java","L15740","1","0","19","1","1","1302","0","0"
"L15761","TreeMap_Composite_Key.java","src/test/java/examples/TreeMap_Composite_Key.java","L15740","7","0","55","5","2","1","0","0"
