@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L15741","1","0","22","2","1","1302","0","false"
"L15742","1","0","12","1","1","1302","0","false"
"L15743","2","0","21","8","2","1302","0","false"
"L15744","3","0","36","6","1","1302","0","false"
"L15745","3","0","24","2","1","1302","0","false"
"L15746","3","0","32","3","1","1302","0","false"
"L15747","1","0","22","9","1","1302","0","false"
"L15748","8","0","67","13","2","1302","0","false"
"L15749","3","0","89","3","1","1302","0","false"
"L15750","5","0","26","1","1","1302","0","false"
"L15751","2","0","57","9","1","1302","0","false"
"L15752","1","0","21","6","1","1302","0","false"
"L15753","1","0","22","6","1","1302","0","false"
"L15754","2","0","25","8","1","1302","0","false"
"L15755","1","0","25","6","2","1302","0","false"
"L15756","1","0","21","3","1","1302","0","false"
"L15757","2","0","33","3","1","1302","0","false"
"L15758","1","0","16","2","1","1302","0","false"
"L15759","3","0","46","4","1","1302","0","false"
"L15760","1","0","19","1","1","1302","0","false"
"L15761","7","0","55","5","2","1","0","false"
"L15762","6","0","48","7","1","1302","0","false"
"L111","50","0","323","69","5","1302","3","true"
"L112","36","0","272","9","1","1302","1","false"
"L113","68","0","262","20","2","1302","0","false"
"L114","171","0","804","24","1","1302","1","false"
"L115","455","0","2160","84","4","1302","8","false"
"L116","42","0","480","7","1","1302","0","false"
"L117","1","0","14","23","1","1302","1","false"
"L118","27","0","148","13","1","1302","2","true"
"L119","5","0","117","9","1","1302","1","false"
"L120","6","0","122","12","1","1302","1","false"
"L121","159","0","1127","74","2","1302","2","true"
"L122","53","0","493","103","2","1302","8","false"
"L123","10","0","166","9","1","1302","0","false"
"L124","1","0","28","29","2","1302","2","false"
"L125","25","0","429","37","2","1302","3","false"
"L126","162","0","743","25","1","1302","1","false"
"L127","1","0","76","2","1","1302","0","false"
"L128","236","0","1251","73","3","1302","2","false"
"L129","102","0","517","11","2","1302","0","false"
"L130","57","0","407","11","1","1302","0","true"
"L131","31","0","286","14","2","1302","0","false"
"L132","3","0","38","7","2","1302","0","false"
"L133","58","0","313","29","1","1302","2","true"
"L134","38","0","344","21","2","1302","1","false"
"L135","27","0","367","35","2","1302","0","false"
"L136","492","0","1744","68","1","1302","5","false"
"L137","67","0","449","42","2","1302","3","false"
"L138","32","0","246","32","2","1302","4","false"
"L139","61","0","510","47","1","1302","6","false"
"L140","135","0","795","87","3","1302","10","false"
"L141","20","0","216","21","1","1302","0","false"
"L142","134","0","856","72","1","1302","10","true"
"L143","1","0","4","1","1","1302","0","false"
"L144","61","0","524","24","1","1302","2","false"
"L145","13","0","56","28","1","1302","4","false"
"L146","1","0","4","2","1","1302","0","false"
"L147","85","0","673","68","3","1302","11","true"
"L152","8","0","98","26","1","1302","0","false"
"L153","2","0","61","9","1","1302","0","false"
"L154","6","0","119","8","1","1302","0","false"
"L155","6","0","131","9","1","1302","0","false"
"L156","12","0","157","6","1","1302","1","false"
"L157","11","0","108","10","1","1302","1","false"
"L158","25","0","245","10","1","1302","0","false"
"L159","1","0","38","8","2","1302","1","false"
"L160","811","0","6251","5","1","1302","0","false"
"L161","2","0","39","21","1","1302","1","false"
"L162","12","0","387","10","2","1302","0","false"
"L163","1","0","15","5","2","1302","0","false"
"L164","1","0","13","5","2","1302","0","false"
"L165","1","0","243","6","1","1302","0","false"
