"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of committers","Number of developer commits","Number of previous fixes","Number of bugs"
"L16269","_HelloWorld.java","src/test/java/examples/_HelloWorld.java","L16268","1","0","22","2","1","1302","0","0"
"L16270","_TempMap.java","src/test/java/examples/_TempMap.java","L16268","1","0","12","1","1","1302","0","0"
"L16271","Bidi_Map.java","src/test/java/examples/Bidi_Map.java","L16268","2","0","21","8","2","1302","0","0"
"L16272","CacheEntryExpiry.java","src/test/java/examples/CacheEntryExpiry.java","L16268","3","0","36","6","1","1302","0","0"
"L16273","CacheOffHeap.java","src/test/java/examples/CacheOffHeap.java","L16268","3","0","24","2","1","1302","0","0"
"L16274","CacheOffHeapAdvanced.java","src/test/java/examples/CacheOffHeapAdvanced.java","L16268","3","0","32","3","1","1302","0","0"
"L16275","Compression.java","src/test/java/examples/Compression.java","L16268","1","0","22","9","1","1302","0","0"
"L16276","Custom_Value.java","src/test/java/examples/Custom_Value.java","L16268","8","0","67","13","2","1302","0","0"
"L16277","DBMakerExtend.java","src/test/java/examples/DBMakerExtend.java","L16268","3","0","89","3","1","1302","0","0"
"L16278","Histogram.java","src/test/java/examples/Histogram.java","L16268","5","0","26","1","1","1302","0","0"
"L16279","Huge_Insert.java","src/test/java/examples/Huge_Insert.java","L16268","2","0","57","9","1","1302","0","0"
"L16280","Lazily_Loaded_Records.java","src/test/java/examples/Lazily_Loaded_Records.java","L16268","1","0","21","6","1","1302","0","0"
"L16281","Map_Size_Counter.java","src/test/java/examples/Map_Size_Counter.java","L16268","1","0","22","6","1","1302","0","0"
"L16282","MultiMap.java","src/test/java/examples/MultiMap.java","L16268","2","0","25","8","1","1302","0","0"
"L16283","Secondary_Key.java","src/test/java/examples/Secondary_Key.java","L16268","1","0","25","6","2","1302","0","0"
"L16284","Secondary_Map.java","src/test/java/examples/Secondary_Map.java","L16268","1","0","21","3","1","1302","0","0"
"L16285","Secondary_Values.java","src/test/java/examples/Secondary_Values.java","L16268","2","0","33","3","1","1302","0","0"
"L16286","SQL_Auto_Incremental_Unique_Key.java","src/test/java/examples/SQL_Auto_Incremental_Unique_Key.java","L16268","1","0","16","2","1","1302","0","0"
"L16287","Transactions.java","src/test/java/examples/Transactions.java","L16268","3","0","46","4","1","1302","0","0"
"L16288","Transactions2.java","src/test/java/examples/Transactions2.java","L16268","1","0","19","1","1","1302","0","0"
"L16289","TreeMap_Composite_Key.java","src/test/java/examples/TreeMap_Composite_Key.java","L16268","7","0","55","6","2","1302","0","0"
"L16290","TreeMap_Performance_Tunning.java","src/test/java/examples/TreeMap_Performance_Tunning.java","L16268","6","0","48","7","1","1302","0","0"
"L111","AsyncWriteEngine.java","src/main/java/org/mapdb/AsyncWriteEngine.java","L110","54","0","264","73","5","1302","4","0"
"L112","Atomic.java","src/main/java/org/mapdb/Atomic.java","L110","36","0","287","10","1","1302","1","0"
"L113","Bind.java","src/main/java/org/mapdb/Bind.java","L110","68","0","262","21","2","1302","0","0"
"L114","BTreeKeySerializer.java","src/main/java/org/mapdb/BTreeKeySerializer.java","L110","171","0","806","27","1","1302","1","1"
"L115","BTreeMap.java","src/main/java/org/mapdb/BTreeMap.java","L110","455","0","2168","95","4","1302","8","0"
"L116","Caches.java","src/main/java/org/mapdb/Caches.java","L110","107","0","680","15","1","1302","0","0"
"L117","CC.java","src/main/java/org/mapdb/CC.java","L110","1","0","18","26","1","1302","1","0"
"L118","CompressLZF.java","src/main/java/org/mapdb/CompressLZF.java","L110","37","0","180","16","1","1302","3","0"
"L119","DataInput2.java","src/main/java/org/mapdb/DataInput2.java","L110","3","0","132","12","1","1302","1","0"
"L120","DataIO.java","src/main/java/org/mapdb/DataIO.java","L110","6","0","159","2","1","1302","0","0"
"L121","DataOutput2.java","src/main/java/org/mapdb/DataOutput2.java","L110","15","0","143","18","1","1302","1","0"
"L122","DB.java","src/main/java/org/mapdb/DB.java","L110","164","0","1141","83","3","1302","5","2"
"L123","DBMaker.java","src/main/java/org/mapdb/DBMaker.java","L110","55","0","506","108","2","1302","8","0"
"L124","EncryptionXTEA.java","src/main/java/org/mapdb/EncryptionXTEA.java","L110","10","0","166","11","1","1302","0","0"
"L125","Engine.java","src/main/java/org/mapdb/Engine.java","L110","1","0","29","30","2","1302","2","0"
"L126","EngineWrapper.java","src/main/java/org/mapdb/EngineWrapper.java","L110","25","0","435","40","3","1302","3","0"
"L127","Fun.java","src/main/java/org/mapdb/Fun.java","L110","162","0","752","29","1","1302","1","0"
