@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L18707","1","0","10","1","1","1302","0","false"
"L18708","1","0","11","1","1","1302","0","false"
"L18709","1","0","12","1","1","1302","0","false"
"L18710","1","0","13","1","1","1302","0","false"
"L18711","1","0","14","1","1","1302","0","false"
"L18712","1","0","11","1","1","1302","0","false"
"L18713","1","0","12","1","1","1302","0","false"
"L18714","1","0","13","1","1","1302","0","false"
"L18715","1","0","13","1","1","1302","0","false"
"L18716","1","0","43","1","1","1302","0","false"
"L18717","1","0","15","1","1","1302","0","false"
"L18718","1","0","13","1","1","1302","0","false"
"L18719","1","0","25","1","1","1302","0","false"
"L18720","1","0","10","1","1","1302","0","false"
"L18721","1","0","17","1","1","1302","0","false"
"L18722","1","0","17","1","1","1302","0","false"
"L18723","1","0","15","1","1","1302","0","false"
"L18724","1","0","12","1","1","1302","0","false"
"L18725","1","0","22","1","1","1302","0","false"
"L18726","1","0","28","1","1","1302","0","false"
"L18727","1","0","12","1","1","1302","0","false"
"L18728","1","0","20","1","1","1302","0","false"
"L18729","1","0","13","1","1","1302","0","false"
"L18730","1","0","18","1","1","1302","0","false"
"L18731","1","0","23","2","1","1302","0","false"
"L18732","1","0","12","1","1","1302","0","false"
"L18733","1","0","12","1","1","1302","0","false"
"L18734","1","0","13","1","1","1302","0","false"
"L18735","1","0","13","1","1","1302","0","false"
"L18736","1","0","13","1","1","1302","0","false"
"L18737","1","0","13","1","1","1302","0","false"
"L18738","1","0","14","1","1","1302","0","false"
"L18739","1","0","13","2","1","1302","0","false"
"L18740","1","0","13","1","1","1302","0","false"
"L18741","1","0","31","1","1","1302","0","false"
"L18742","1","0","29","1","1","1302","0","false"
"L18743","1","0","30","1","1","1302","0","false"
"L18744","1","0","32","1","1","1302","0","false"
"L18745","1","0","29","1","1","1302","0","false"
"L18746","1","0","30","1","1","1302","0","false"
"L18747","1","0","13","1","1","1302","0","false"
"L18748","1","0","11","1","1","1302","0","false"
"L18749","1","0","18","1","1","1302","0","false"
"L18750","1","0","20","1","1","1302","0","false"
"L18751","1","0","11","1","1","1302","0","false"
"L19013","1","0","22","4","1","1302","0","false"
"L19014","1","0","11","3","1","1302","0","false"
"L19015","2","0","21","10","2","1302","0","false"
"L19016","3","0","35","9","1","1302","0","false"
"L19017","3","0","24","3","1","1302","0","false"
"L19018","3","0","32","6","1","1302","0","false"
"L19019","1","0","41","2","1","1302","0","false"
"L19020","1","0","22","12","1","1302","0","false"
"L19021","8","0","67","16","2","1302","0","false"
"L19022","5","0","26","2","1","1302","0","false"
"L19023","2","0","58","14","1","1302","0","false"
"L19024","1","0","21","8","1","1302","0","false"
"L19025","1","0","22","9","1","1302","0","false"
