@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L15999","5","0","9","0","4","2","1300","false"
"L16000","6","0","34","0","5","2","1300","false"
"L16001","14","0","14","0","5","2","1300","false"
"L16002","7","0","46","0","6","2","1843","false"
"L16003","3","0","22","0","18","2","1300","false"
"L16004","3","0","25","0","4","2","1300","false"
"L16005","2","0","10","0","5","1","1843","false"
"L16006","22","0","108","0","26","2","1300","false"
"L16007","37","0","185","0","39","2","1300","false"
"L16008","2","0","12","0","5","1","1843","false"
"L16009","1","0","13","0","9","2","1300","false"
"L16010","3","0","26","0","51","2","1300","false"
"L16011","1","0","10","0","17","2","1300","false"
"L16012","1","0","12","0","3","1","1843","false"
"L16013","3","0","25","0","1","1","1843","false"
"L116","1","0","23","0","9","2","1843","false"
"L117","39","0","268","1","45","2","1843","false"
"L472","106","0","625","1","155","2","1300","false"
"L7088","12","0","73","0","46","2","1300","false"
"L7089","14","0","82","0","20","2","1843","false"
"L7090","1","0","25","0","8","2","1843","false"
"L7091","53","0","301","0","19","2","1300","false"
"L7092","17","0","155","1","32","2","1300","false"
"L7540","1","0","49","0","18","2","1300","false"
"L7541","22","0","110","0","11","2","1843","false"
"L7542","25","0","99","0","16","2","1843","false"
"L7543","59","0","295","0","54","2","1300","true"
"L7544","3","0","22","0","7","2","1843","false"
"L7545","23","0","223","1","38","2","1300","true"
"L7546","56","0","501","0","72","2","1300","false"
"L7547","12","0","40","0","7","2","1300","false"
"L8035","30","0","268","0","46","2","1300","false"
"L8036","1","0","67","0","22","2","1843","false"
"L8037","16","0","228","0","72","2","1300","false"
"L8038","1","0","37","0","23","1","1843","false"
"L8039","10","0","61","0","40","2","1300","false"
"L8040","4","0","69","0","30","2","1300","false"
"L8041","1","0","4","0","19","1","1843","false"
"L8042","40","0","360","0","66","2","1843","true"
"L8043","1","0","58","0","47","2","1843","false"
"L8044","18","0","97","0","24","2","1300","false"
"L8045","40","0","288","0","64","2","1300","false"
"L8046","55","0","279","0","57","2","1300","true"
"L8047","1","0","8","0","4","1","1843","false"
"L10730","23","0","90","0","10","1","1843","false"
"L10731","3","0","19","0","9","2","1843","false"
"L10732","10","0","56","0","8","2","1843","false"
"L10733","1","0","14","0","11","2","1843","false"
