@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L116","6","0","52","1","12","2","1300","false"
"L117","40","0","277","2","51","2","1300","false"
"L499","114","0","657","6","186","2","1843","false"
"L9653","12","0","73","0","50","2","1300","false"
"L9654","14","0","82","0","22","2","1843","false"
"L9655","1","0","25","0","8","2","1843","false"
"L9656","57","0","312","0","38","2","1843","true"
"L9657","17","0","168","1","44","2","1843","true"
"L10135","1","0","74","0","22","2","1300","false"
"L10136","22","0","110","0","11","2","1843","false"
"L10137","24","0","98","0","21","2","1843","false"
"L10138","3","0","22","0","7","2","1843","false"
"L10139","58","0","372","2","47","2","1843","false"
"L10140","67","0","565","0","90","2","1843","false"
"L10141","11","0","40","0","10","2","1843","false"
"L10637","30","0","262","0","55","3","68","false"
"L10638","1","0","67","0","22","2","1843","false"
"L10639","16","0","204","0","88","2","1843","false"
"L10640","1","0","37","0","23","1","1843","false"
"L10641","12","0","67","0","48","3","1843","false"
"L10642","4","0","69","0","31","2","1300","false"
"L10643","3","0","63","1","15","2","1843","false"
"L10644","1","0","4","0","19","1","1843","false"
"L10645","42","0","362","1","72","2","1300","false"
"L10646","1","0","58","0","47","2","1843","false"
"L10647","18","0","97","0","25","2","1300","false"
"L10648","40","0","290","0","73","2","1843","false"
"L10649","54","0","319","1","91","3","1843","false"
"L10650","1","0","8","0","4","1","1843","false"
"L13351","23","0","90","0","10","1","1843","false"
"L13352","3","0","19","0","9","2","1843","false"
"L13353","11","0","58","0","11","2","1300","false"
"L13354","2","0","20","0","14","2","1300","false"
"L13355","2","0","31","0","8","2","1300","false"
"L13356","18","0","94","0","40","2","1843","false"
"L13611","1","0","10","0","16","2","1300","false"
"L13612","4","0","43","0","22","2","1843","false"
"L13613","6","0","56","0","2","2","1300","false"
"L13614","1","0","3","0","5","1","1843","false"
"L13615","59","0","205","0","22","2","1843","false"
"L13616","12","0","122","1","28","2","1843","false"
"L13617","1","0","22","0","4","2","1300","false"
"L13618","4","0","43","0","16","2","1300","false"
"L13619","1","0","9","0","3","1","1843","false"
"L13620","1","0","11","0","10","2","1843","false"
"L13855","3","0","65","0","15","2","1300","false"
"L13856","35","0","195","0","51","2","1300","false"
"L13857","82","0","451","4","105","3","1843","false"
"L13858","1","0","33","0","14","2","1300","false"
"L13859","8","0","91","1","20","2","1843","false"
"L13860","32","0","144","0","67","2","1843","false"
"L13861","45","0","219","3","55","2","1300","false"
"L13862","5","0","137","1","28","2","1843","false"
"L13863","7","0","75","0","22","2","1300","false"
"L15036","22","0","87","1","35","2","1843","false"
"L15037","6","0","80","0","10","2","1843","false"
"L15038","1","0","6","0","5","1","1843","false"
"L15039","2","0","23","0","15","2","1300","false"
"L15040","4","0","52","0","21","2","1300","false"
"L15041","1","0","10","0","15","1","1843","false"
"L15042","21","0","143","1","15","3","1843","false"
"L15043","4","0","32","0","9","2","1300","false"
"L15044","64","0","278","0","54","2","1843","false"
"L15045","26","0","224","0","65","2","1843","false"
"L15046","1","0","13","0","9","1","1843","false"
"L15047","1","0","121","9","145","2","1843","false"
"L15048","120","0","732","3","181","2","1843","true"
"L15049","2","0","16","0","9","1","1843","false"
"L15050","2","0","24","0","8","2","1843","false"
"L15051","47","0","298","1","66","2","1300","true"
"L15052","8","0","36","0","12","2","1843","false"
"L15053","1","0","13","0","6","1","1843","false"
"L15054","6","0","25","0","11","2","1843","false"
"L15055","20","0","84","0","22","2","1300","false"
"L15056","4","0","40","0","18","2","1300","false"
"L15057","47","0","247","1","86","2","1843","false"
"L15058","1","0","13","0","7","1","1843","false"
"L11383","3","0","44","0","21","2","1300","false"
"L11384","1","0","12","0","7","1","1843","false"
"L11385","1","0","14","0","9","1","1843","false"
"L11386","1","0","10","0","6","2","1843","false"
"L11387","1","0","7","0","8","2","1843","false"
"L11388","1","0","7","0","8","2","1843","false"
"L11389","1","0","9","0","4","1","1843","false"
"L11390","1","0","9","0","4","1","1843","false"
"L11391","3","0","48","0","25","2","1300","false"
"L11392","1","0","8","0","7","2","1843","false"
"L11393","2","0","12","0","10","2","1300","false"
"L11394","1","0","3","0","3","1","1843","false"
"L11395","1","0","7","0","8","2","1843","false"
