@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L116","6","0","52","1","19","3","1843","false"
"L117","40","0","276","2","58","3","1843","false"
"L496","115","0","663","6","195","2","1843","false"
"L9719","12","0","73","0","50","2","1300","false"
"L9720","14","0","82","0","22","2","1843","false"
"L9721","1","0","28","0","11","2","1843","false"
"L9722","56","0","318","0","43","2","1843","true"
"L9723","17","0","167","2","47","2","1843","true"
"L10200","1","0","50","0","25","2","1843","false"
"L10201","22","0","110","0","14","2","1843","false"
"L10202","24","0","98","0","24","2","1843","false"
"L10203","3","0","22","0","10","2","1843","false"
"L10204","59","0","374","2","53","2","1843","false"
"L10205","67","0","532","0","97","2","1843","false"
"L10206","11","0","39","0","13","2","1843","false"
"L10705","30","0","266","0","58","3","1843","false"
"L10706","1","0","67","0","22","2","1843","false"
"L10707","16","0","198","0","94","2","1843","false"
"L10708","1","0","37","0","23","1","1843","false"
"L10709","18","0","84","0","51","3","1843","false"
"L10710","4","0","63","0","34","2","1843","false"
"L10711","4","0","68","1","18","2","1843","false"
"L10712","1","0","4","0","19","1","1843","false"
"L10713","44","0","372","1","75","2","1843","false"
"L10714","1","0","58","0","47","2","1843","false"
"L10715","18","0","97","0","28","2","1843","false"
"L10716","40","0","290","0","79","2","1843","false"
"L10717","54","0","318","1","96","3","1843","false"
"L10718","1","0","8","0","4","1","1843","false"
"L13486","23","0","90","0","10","1","1843","false"
"L13487","3","0","19","0","9","2","1843","false"
"L13488","11","0","58","0","14","2","1843","false"
"L13489","2","0","20","0","14","2","1300","false"
"L13490","2","0","31","0","8","2","1300","false"
"L13491","18","0","94","0","40","2","1843","false"
"L13746","1","0","10","0","16","2","1300","false"
"L13747","4","0","43","0","22","2","1843","false"
"L13748","6","0","56","0","2","2","1300","false"
"L13749","1","0","3","0","5","1","1843","false"
"L13750","59","0","205","0","25","2","1843","false"
"L13751","12","0","122","1","28","2","1843","false"
"L13752","1","0","22","0","4","2","1300","false"
"L13753","4","0","43","0","16","2","1300","false"
"L13754","1","0","9","0","3","1","1843","false"
"L13755","1","0","11","0","10","2","1843","false"
"L13990","3","0","65","0","15","2","1300","false"
"L13991","35","0","195","0","51","2","1300","false"
"L13992","84","0","466","4","108","3","1843","false"
"L13993","1","0","33","0","14","2","1300","false"
"L13994","8","0","91","1","20","2","1843","false"
"L13995","40","0","165","0","75","2","1843","true"
"L13996","45","0","219","3","58","2","1843","false"
"L13997","5","0","142","1","31","2","1843","false"
"L13998","7","0","75","0","22","2","1300","false"
"L15205","22","0","87","1","35","2","1843","false"
"L15206","6","0","74","0","13","2","1843","false"
"L15207","1","0","6","0","5","1","1843","false"
"L15208","2","0","23","0","15","2","1300","false"
"L15209","4","0","50","0","24","2","1843","false"
"L15210","1","0","10","0","15","1","1843","false"
"L15211","21","0","143","1","15","3","1843","false"
"L15212","4","0","32","0","9","2","1300","false"
"L15213","65","0","284","0","59","2","1843","false"
"L15214","26","0","224","0","65","2","1843","false"
"L15215","1","0","13","0","9","1","1843","false"
"L15216","1","0","126","9","153","2","1843","true"
"L15217","136","0","812","4","197","2","1843","false"
"L15218","2","0","16","0","9","1","1843","false"
"L15219","2","0","24","0","8","2","1843","false"
"L15220","50","0","307","2","74","2","1843","false"
"L15221","8","0","36","0","12","2","1843","false"
"L15222","1","0","13","0","6","1","1843","false"
"L15223","6","0","25","0","11","2","1843","false"
"L15224","20","0","84","0","22","2","1300","false"
"L15225","4","0","40","0","18","2","1300","false"
"L15226","47","0","249","1","92","3","1843","false"
"L15227","1","0","13","0","7","1","1843","false"
"L11475","3","0","44","0","21","2","1300","false"
"L11476","1","0","12","0","7","1","1843","false"
"L11477","1","0","14","0","9","1","1843","false"
"L11478","1","0","10","0","6","2","1843","false"
"L11479","1","0","7","0","8","2","1843","false"
"L11480","1","0","7","0","8","2","1843","false"
"L11481","1","0","9","0","4","1","1843","false"
"L11482","1","0","9","0","4","1","1843","false"
"L11483","3","0","48","0","25","2","1300","false"
"L11484","1","0","8","0","7","2","1843","false"
"L11485","2","0","12","0","10","2","1300","false"
"L11486","1","0","3","0","3","1","1843","false"
"L11487","1","0","7","0","8","2","1843","false"
"L11488","14","0","107","1","2","1","1843","false"
"L11489","1","0","15","0","4","2","1843","false"
"L11490","6","0","61","0","35","3","68","false"
"L11491","1","0","6","0","7","2","1843","false"
"L11492","6","0","40","0","18","2","1843","false"
"L11493","1","0","22","0","35","3","1843","false"
"L11494","2","0","21","0","16","3","68","false"
"L11495","1","0","9","0","9","2","1843","false"
"L11496","5","0","41","1","32","2","1843","false"
"L11497","1","0","16","0","12","1","1843","false"
"L11498","1","0","13","0","8","1","1843","false"
"L11499","3","0","30","0","14","2","1843","false"
"L11500","1","0","9","0","7","1","1843","false"
"L11501","1","0","25","0","14","2","1300","false"
"L11502","1","0","22","0","18","2","1843","false"
"L11503","1","0","19","0","18","3","68","false"
"L11504","4","0","24","0","13","2","1843","false"
"L11505","1","0","9","0","6","2","1843","false"
"L11506","1","0","19","0","6","1","1843","false"
"L11507","1","0","26","0","20","2","1300","false"
"L11508","1","0","6","0","3","1","1843","false"
"L11509","1","0","12","0","7","1","1843","false"
"L11510","1","0","20","0","6","2","1300","false"
"L11511","1","0","13","0","11","2","1843","false"
"L11512","1","0","12","0","50","3","1843","false"
"L11513","2","0","27","0","18","3","1843","false"
"L11514","1","0","24","0","18","2","1843","false"
"L11515","10","0","84","0","6","2","1843","false"
"L11516","1","0","17","0","3","1","1843","false"
"L11517","3","0","10","0","8","2","1843","false"
"L11518","36","0","222","1","72","3","1843","false"
"L11519","1","0","8","0","2","1","1843","false"
"L11520","7","0","41","0","29","2","1843","false"
"L11521","4","0","28","1","23","2","1843","false"
"L11522","7","0","34","0","12","2","1843","false"
"L11523","1","0","18","0","19","2","1300","false"
"L11524","1","0","16","0","8","1","1843","false"
"L11525","9","0","44","0","15","2","1843","false"
"L11526","1","0","9","0","7","1","1843","false"
"L11527","1","0","11","0","7","1","1843","false"
"L11528","1","0","16","0","8","1","1843","false"
"L11529","1","0","7","0","12","2","1843","false"
"L11530","5","0","41","1","18","2","1843","false"
"L15332","1","0","20","0","5","2","1300","false"
"L15333","1","0","23","0","19","2","1300","false"
"L15334","1","0","21","0","9","2","1300","false"
"L15335","35","0","182","1","29","2","1843","false"
"L15336","1","0","20","0","3","2","1843","false"
"L15337","1","0","17","0","11","2","1300","false"
"L15338","9","0","51","0","15","2","1843","false"
"L15339","8","0","65","0","19","2","1843","false"
"L15340","1","0","14","0","7","2","1300","false"
"L15341","1","0","21","0","9","2","1300","false"
"L15342","1","0","21","0","9","2","1300","false"
"L15343","1","0","14","0","6","2","1300","false"
"L15344","1","0","4","0","3","1","1300","false"
"L15345","1","0","14","0","7","2","1300","false"
"L15346","5","0","36","0","12","2","1300","false"
"L15347","1","0","3","0","5","2","1300","false"
"L15348","1","0","20","0","8","2","1300","false"
"L15349","1","0","14","0","7","2","1300","false"
"L15350","1","0","21","0","9","2","1300","false"
"L15351","1","0","14","0","5","2","1300","false"
"L11682","1","0","9","0","5","2","1843","false"
"L11683","1","0","10","0","8","2","1843","false"
"L11684","1","0","9","0","5","2","1843","false"
"L11685","1","0","7","0","5","2","1843","false"
"L11686","1","0","9","0","5","2","1843","false"
"L11687","1","0","5","0","5","2","1843","false"
"L11688","1","0","9","0","5","2","1843","false"
"L11689","1","0","13","0","5","2","1843","false"
"L11690","1","0","9","0","5","2","1843","false"
"L11691","1","0","9","0","5","2","1843","false"
"L11692","1","0","9","0","5","2","1843","false"
"L11693","1","0","7","0","5","2","1843","false"
"L11694","1","0","7","0","2","2","1843","false"
"L11695","1","0","7","0","5","2","1843","false"
"L11696","1","0","7","0","5","2","1843","false"
"L11697","1","0","7","0","5","2","1843","false"
"L11698","1","0","13","0","5","2","1843","false"
"L11699","1","0","15","0","5","2","1843","false"
"L11700","1","0","7","0","5","2","1843","false"
"L11701","1","0","7","0","2","2","1843","false"
"L11702","1","0","7","0","5","2","1843","false"
"L11703","1","0","7","0","5","2","1843","false"
"L11704","1","0","7","0","5","2","1843","false"
"L11705","1","0","9","0","5","2","1843","false"
"L11706","1","0","7","0","5","2","1843","false"
"L11707","1","0","7","0","5","2","1843","false"
"L11708","1","0","7","0","5","2","1843","false"
"L11709","1","0","7","0","5","2","1843","false"
"L11710","1","0","7","0","5","2","1843","false"
"L11711","1","0","7","0","5","2","1843","false"
"L11712","1","0","7","0","5","2","1843","false"
"L11713","1","0","9","0","5","2","1843","false"
"L11866","5","0","40","0","27","2","1300","false"
"L11867","1","0","12","0","10","2","1843","false"
"L11868","6","0","43","0","5","1","1843","false"
"L11869","4","0","25","0","13","2","1300","false"
"L11870","1","0","9","0","9","2","1843","false"
"L11871","1","0","9","0","9","2","1843","false"
"L11872","1","0","11","0","8","2","1843","false"
"L11873","1","0","7","0","9","2","1843","false"
"L11874","1","0","7","0","9","2","1843","false"
"L11875","1","0","11","0","8","2","1843","false"
"L11876","4","0","28","0","14","2","1843","false"
"L11877","1","0","7","0","4","1","1843","false"
"L11878","1","0","10","0","6","1","1843","false"
"L11879","1","0","8","0","6","1","1843","false"
"L11880","8","0","65","0","41","2","1300","false"
"L11881","1","0","8","0","7","1","1843","false"
"L11882","1","0","7","0","6","1","1843","false"
"L11883","1","0","7","0","5","1","1843","false"
"L18163","98","0","1064","1","6","2","1843","false"
"L18164","4","0","62","1","3","2","1843","false"
"L18165","44","0","190","1","6","2","1843","false"
"L18166","5","0","86","1","6","2","1843","false"
"L18167","3","0","46","1","6","2","1843","false"
