@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L8662","13","0","96","19","0","3","4843","false"
"L8663","1","0","7","1","0","1","1328","false"
"L8678","1","0","7","1","0","1","4843","false"
"L8679","22","0","252","64","0","2","4843","false"
"L8680","1","0","36","23","0","2","4843","false"
"L8681","3","0","27","2","0","1","4843","false"
"L8768","1","0","24","1","0","1","224","false"
"L8769","4","0","46","1","0","1","4843","false"
"L8770","12","0","92","9","0","1","4843","false"
"L8771","22","0","129","4","0","1","4843","false"
"L8772","3","0","58","1","0","1","4843","false"
"L8773","5","0","37","4","0","1","4843","false"
"L8774","25","0","147","10","0","1","4843","false"
"L8775","5","0","29","2","0","1","4843","false"
"L8776","7","0","47","4","0","1","4843","false"
"L8777","4","0","33","2","0","1","4843","false"
"L8778","10","0","43","2","0","1","4843","false"
"L8975","2","0","42","6","0","2","1328","false"
"L8976","3","0","46","2","0","2","1328","false"
"L8977","4","0","59","3","0","1","4843","false"
"L8978","2","0","58","4","0","1","4843","false"
"L8979","1","0","27","1","0","1","4843","false"
"L119","11","0","153","3","0","2","4843","false"
"L120","8","0","68","3","0","2","4843","false"
"L121","35","0","155","4","0","2","4843","false"
"L122","11","0","110","6","0","2","1328","false"
"L123","3","0","24","3","0","2","4843","false"
"L124","1","0","46","3","0","2","4843","false"
"L512","6","0","61","12","0","2","1328","false"
"L513","27","0","115","3","0","1","1328","false"
"L1766","357","0","1976","158","0","3","224","false"
"L1767","5","0","69","11","0","2","1328","false"
"L1768","4","0","27","2","0","1","4843","false"
"L1769","6","0","26","1","0","1","224","false"
"L1770","1","0","13","1","0","1","224","false"
"L2381","7","0","37","1","0","1","4843","false"
"L2392","50","0","230","35","0","2","1328","false"
"L2393","30","0","178","7","0","2","1328","false"
"L2484","119","0","474","29","0","2","4843","false"
"L2485","32","0","251","1","0","1","4843","false"
"L2486","61","0","585","25","0","2","4843","false"
"L2487","10","0","75","3","0","2","1328","false"
"L2488","5","0","44","7","0","1","4843","false"
"L2489","19","0","116","3","0","2","4843","false"
"L2490","4","0","45","3","0","1","4843","false"
"L2491","23","0","122","1","0","1","4843","false"
"L2492","20","0","113","1","0","1","4843","false"
"L2493","4","0","41","4","0","1","4843","false"
