@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L17357","1","0","7","3","0","2","20","false"
"L17358","13","0","209","97","0","5","4843","false"
"L17359","1","0","59","6","0","3","4843","false"
"L17360","4","0","59","2","0","2","20","false"
"L17361","3","0","27","2","0","1","4843","false"
"L17501","40","0","248","16","0","2","4843","false"
"L17502","1","0","24","1","0","1","224","false"
"L17503","8","0","80","4","0","2","4843","false"
"L17504","16","0","98","18","0","2","4843","false"
"L17505","22","0","129","6","0","2","4843","false"
"L17506","3","0","58","3","0","2","152","false"
"L17507","5","0","37","1","0","1","4843","false"
"L17508","3","0","37","5","0","1","4843","false"
"L17509","13","0","56","1","0","1","4843","false"
"L17510","33","0","152","19","0","2","4843","false"
"L17511","5","0","29","2","0","1","4843","false"
"L17512","9","0","49","5","0","1","4843","false"
"L17513","4","0","33","2","0","1","4843","false"
"L17514","11","0","42","2","0","2","20","false"
"L17515","10","0","43","2","0","1","4843","false"
"L119","21","0","136","3","0","2","4843","false"
"L120","18","0","127","15","0","2","4843","false"
"L121","1","0","46","6","0","2","4843","false"
"L122","152","0","599","22","0","3","4843","false"
"L123","32","0","251","1","0","1","4843","false"
"L124","122","0","1038","52","0","2","4843","false"
"L125","10","0","74","3","0","2","20","false"
"L126","5","0","42","6","0","2","4843","false"
"L127","5","0","54","4","0","1","4843","false"
"L128","63","0","266","8","0","2","4843","false"
"L129","5","0","255","37","0","3","224","false"
"L130","23","0","122","1","0","1","4843","false"
"L131","11","0","208","12","0","1","4843","false"
"L132","20","0","113","1","0","1","4843","false"
"L133","42","0","200","4","0","2","4843","false"
"L134","4","0","41","1","0","1","4843","false"
"L135","1","0","18","7","0","2","4843","false"
"L136","1","0","6","1","0","1","4843","false"
"L137","13","0","64","3","0","2","4843","false"
"L138","16","0","67","2","0","2","20","false"
"L139","55","0","275","6","0","2","4843","false"
"L140","9","0","79","3","0","2","4843","false"
"L141","6","0","100","6","0","2","4843","false"
"L142","3","0","30","4","0","2","20","false"
"L143","2","0","26","2","0","2","20","false"
"L144","1","0","15","3","0","2","4843","false"
"L145","1","0","14","5","0","2","20","false"
"L146","1","0","14","5","0","2","20","false"
"L147","36","0","286","11","0","2","4843","false"
"L148","34","0","161","9","0","2","4843","false"
"L149","25","0","116","4","0","2","20","false"
"L150","1","0","19","2","0","1","4843","false"
"L151","2","0","25","2","0","1","4843","false"
"L152","8","0","65","2","0","1","4843","false"
"L153","8","0","53","2","0","2","20","false"
"L154","8","0","91","8","0","2","4843","false"
"L155","1","0","12","1","0","1","4843","false"
"L156","12","0","82","1","0","1","4843","false"
"L157","9","0","78","4","0","2","4843","false"
"L158","10","0","62","2","0","2","20","false"
"L159","5","0","42","5","0","2","4843","false"
"L160","54","0","285","6","0","1","4843","false"
"L161","12","0","239","5","0","2","4843","false"
"L162","20","0","146","5","0","2","4843","false"
"L163","9","0","92","6","0","2","20","false"
"L3212","14","0","77","2","0","2","20","false"
"L3213","3","0","28","2","0","2","20","false"
"L3214","4","0","62","2","0","2","20","false"
"L3215","2","0","23","2","0","2","20","false"
"L3216","11","0","82","2","0","2","20","false"
"L3217","9","0","83","2","0","2","20","false"
"L3218","134","0","433","5","0","2","4843","false"
"L3219","26","0","168","2","0","2","20","false"
"L3220","3","0","30","2","0","2","20","false"
"L3221","1","0","32","2","0","2","20","false"
"L3222","52","0","368","2","0","2","20","false"
"L3223","216","0","822","2","0","2","20","false"
"L3224","18","0","111","5","0","2","4843","false"
"L3225","221","0","1144","4","0","2","4843","false"
"L3226","12","0","50","2","0","1","4843","false"
"L3227","1","0","17","2","0","2","20","false"
"L3228","1","0","15","2","0","2","20","false"
"L3229","38","0","205","2","0","2","20","false"
"L3230","45","0","246","2","0","2","20","false"
"L4632","52","0","523","14","0","2","4843","false"
"L4633","41","0","419","3","0","1","4843","false"
"L4634","8","0","53","3","0","2","4843","false"
"L4635","12","0","71","6","0","2","4843","false"
"L4636","40","0","323","4","0","1","4843","false"
"L4637","1","0","15","1","0","1","4843","false"
"L4638","1","0","11","4","0","2","4843","false"
"L4639","11","0","43","1","0","1","4843","false"
"L4640","4","0","41","5","0","1","4843","false"
"L4641","206","0","1165","63","0","5","4843","false"
"L4642","7","0","75","3","0","2","4843","false"
"L4643","2","0","30","1","0","1","4843","false"
"L5697","61","0","259","10","0","2","4843","false"
"L5698","10","0","48","2","0","1","4843","false"
"L5699","13","0","62","4","0","2","4843","false"
"L5700","7","0","168","1","0","1","4843","false"
"L5902","1","0","19","1","0","1","152","false"
"L5903","2","0","31","1","0","1","152","false"
"L5904","17","0","157","10","0","3","4843","false"
"L5905","5","0","40","1","0","1","152","false"
"L5906","5","0","39","1","0","1","152","false"
"L5907","63","0","646","10","0","2","4843","false"
"L5908","4","0","59","1","0","1","152","false"
"L6335","6","0","40","2","0","1","4843","false"
