"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L21804","CeylonEncodingSynchronizer.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonEncodingSynchronizer.java","L21803","26","0","189","4","0","2","4843","0"
"L21805","CeylonPerspectiveFactory.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonPerspectiveFactory.java","L21803","1","0","7","3","0","2","20","0"
"L21806","CeylonPlugin.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonPlugin.java","L21803","18","0","312","116","0","6","4843","0"
"L21807","CeylonResources.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonResources.java","L21803","1","0","68","12","0","3","4843","0"
"L21808","CeylonStartup.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonStartup.java","L21803","6","0","59","4","0","3","4843","0"
"L21809","WelcomeAction.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/WelcomeAction.java","L21803","3","0","27","2","0","1","4843","0"
"L22554","AnnotationUtils.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/AnnotationUtils.java","L22553","46","0","265","26","0","3","4843","0"
"L22555","CarUtils.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/CarUtils.java","L22553","3","0","37","1","0","1","1328","0"
"L22556","EclipseLogger.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/EclipseLogger.java","L22553","1","0","24","1","0","1","224","0"
"L22557","ErrorCollectionVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/ErrorCollectionVisitor.java","L22553","8","0","80","4","0","2","4843","0"
"L22558","ErrorVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/ErrorVisitor.java","L22553","17","0","102","20","0","2","4843","0"
"L22559","FindAssignmentsVisitor.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/FindAssignmentsVisitor.java","L22553","19","0","124","8","0","2","4843","0"
