@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L21804","26","0","189","4","0","2","4843","false"
"L21805","1","0","7","3","0","2","20","false"
"L21806","18","0","312","116","0","6","4843","false"
"L21807","1","0","68","12","0","3","4843","false"
"L21808","6","0","59","4","0","3","4843","false"
"L21809","3","0","27","2","0","1","4843","false"
"L22554","46","0","265","26","0","3","4843","false"
"L22555","3","0","37","1","0","1","1328","false"
"L22556","1","0","24","1","0","1","224","false"
"L22557","8","0","80","4","0","2","4843","false"
"L22558","17","0","102","20","0","2","4843","false"
"L22559","19","0","124","8","0","2","4843","false"
"L22560","3","0","65","1","0","1","4843","false"
"L22561","3","0","65","5","0","2","4843","false"
"L22562","5","0","37","1","0","1","4843","false"
"L22563","3","0","37","5","0","1","4843","false"
"L22564","12","0","55","2","0","1","4843","false"
"L22565","39","0","182","26","0","2","4843","false"
"L22566","5","0","30","3","0","1","4843","false"
"L22567","9","0","56","7","0","1","4843","false"
"L22568","4","0","33","2","0","1","4843","false"
"L22569","11","0","42","2","0","2","20","false"
"L22570","10","0","43","2","0","1","4843","false"
"L119","31","0","181","10","0","3","4843","false"
"L120","18","0","129","23","0","3","4843","false"
"L121","300","0","870","11","0","1","4843","false"
"L122","12","0","405","3","0","1","4843","false"
"L123","1","0","58","7","0","2","4843","false"
"L124","8","0","64","61","0","6","4843","false"
"L125","32","0","251","1","0","1","4843","false"
"L126","115","0","1019","98","0","3","4843","false"
"L127","6","0","81","10","0","2","4843","false"
"L128","5","0","42","7","0","2","4843","false"
"L129","1","0","11","1","0","1","4843","false"
"L130","6","0","66","6","0","2","4843","false"
"L131","5","0","55","5","0","1","4843","false"
"L132","119","0","569","37","0","2","4843","false"
"L133","15","0","319","55","0","3","4843","false"
"L134","15","0","104","3","0","2","4843","false"
"L135","23","0","122","1","0","1","4843","false"
"L136","11","0","208","14","0","1","4843","false"
"L137","20","0","113","1","0","1","4843","false"
"L138","42","0","200","4","0","2","4843","false"
"L139","4","0","41","1","0","1","4843","false"
"L140","1","0","19","8","0","2","4843","false"
"L141","1","0","6","1","0","1","4843","false"
"L142","16","0","67","2","0","2","20","false"
"L143","31","0","159","7","0","2","4843","false"
"L144","16","0","180","10","0","2","4843","false"
"L145","2","0","26","2","0","2","20","false"
"L146","18","0","87","4","0","2","4843","false"
"L147","1","0","14","5","0","2","20","false"
"L148","1","0","14","5","0","2","20","false"
"L149","3","0","37","8","0","1","4843","false"
"L150","1","0","5","1","0","1","4843","false"
"L151","16","0","69","3","0","1","4843","false"
"L152","39","0","290","16","0","2","4843","false"
"L153","86","0","259","24","0","3","4843","false"
"L154","25","0","115","5","0","2","4843","false"
"L155","42","0","231","2","0","1","4843","false"
"L156","3","0","39","2","0","1","4843","false"
"L157","1","0","19","2","0","1","4843","false"
"L158","2","0","25","2","0","1","4843","false"
"L159","8","0","65","2","0","1","4843","false"
"L160","8","0","53","2","0","2","20","false"
"L161","19","0","178","9","0","2","4843","false"
"L162","1","0","12","1","0","1","4843","false"
"L163","12","0","82","1","0","1","4843","false"
"L164","9","0","78","4","0","2","4843","false"
"L165","1","0","27","6","0","1","4843","false"
"L166","10","0","62","2","0","2","20","false"
"L167","5","0","42","5","0","2","4843","false"
"L168","106","0","526","23","0","1","4843","false"
"L169","20","0","146","6","0","2","4843","false"
"L170","10","0","63","1","0","1","4843","false"
"L171","9","0","92","6","0","2","20","false"
"L3792","14","0","77","2","0","2","20","false"
"L3793","3","0","28","2","0","2","20","false"
"L3794","4","0","62","2","0","2","20","false"
"L3795","2","0","23","2","0","2","20","false"
"L3796","11","0","82","2","0","2","20","false"
"L3797","9","0","83","2","0","2","20","false"
"L3798","134","0","433","5","0","2","4843","false"
"L3799","26","0","168","2","0","2","20","false"
"L3800","3","0","30","2","0","2","20","false"
"L3801","1","0","32","2","0","2","20","false"
"L3802","52","0","368","3","0","3","152","false"
"L3803","216","0","822","2","0","2","20","false"
"L3804","18","0","111","5","0","2","4843","false"
"L3805","221","0","1145","6","0","3","4843","false"
"L3806","12","0","50","2","0","1","4843","false"
"L3807","1","0","17","2","0","2","20","false"
"L3808","1","0","15","2","0","2","20","false"
"L3809","38","0","205","2","0","2","20","false"
"L3810","45","0","247","3","0","2","4843","false"
"L5213","48","0","490","17","0","2","4843","false"
"L5214","8","0","53","3","0","2","4843","false"
"L5215","12","0","72","8","0","2","4843","false"
"L5216","41","0","331","10","0","1","4843","false"
"L5217","1","0","14","2","0","1","4843","false"
"L5218","2","0","18","1","0","1","4843","false"
"L5219","5","0","23","8","0","3","4843","false"
"L5220","4","0","41","1","0","1","4843","false"
"L5221","286","0","1398","14","0","2","4843","false"
"L5222","11","0","43","1","0","1","4843","false"
"L5223","4","0","39","1","0","1","4843","false"
"L5224","4","0","60","1","0","1","4843","false"
"L5225","7","0","73","4","0","2","4843","false"
