"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L119","AndroidBuildHookProvider.java","plugins/com.redhat.ceylon.eclipse.android.plugin/src/com/redhat/ceylon/eclipse/android/plugin/AndroidBuildHookProvider.java","L118","49","0","280","4","0","2","4843","0"
"L120","CeylonAndroidPlugin.java","plugins/com.redhat.ceylon.eclipse.android.plugin/src/com/redhat/ceylon/eclipse/android/plugin/CeylonAndroidPlugin.java","L118","1","0","32","1","0","1","1328","0"
"L33518","CeylonEncodingSynchronizer.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonEncodingSynchronizer.java","L33517","27","0","221","8","0","3","1328","0"
"L33519","CeylonPerspectiveFactory.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonPerspectiveFactory.java","L33517","1","0","7","4","0","2","4843","0"
"L33520","CeylonPlugin.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonPlugin.java","L33517","20","0","358","159","0","7","1328","3"
"L33521","CeylonResources.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonResources.java","L33517","1","0","157","40","0","3","4843","0"
"L33522","CeylonStartup.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonStartup.java","L33517","9","0","94","8","0","4","4843","0"
"L33523","WelcomeAction.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/WelcomeAction.java","L33517","3","0","27","2","0","1","4843","0"
"L34564","AnnotationUtils.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/AnnotationUtils.java","L34563","26","0","160","39","0","3","4843","0"
"L34565","CarUtils.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/CarUtils.java","L34563","15","0","71","6","0","1","1328","0"
"L34566","CeylonSourceParser.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/CeylonSourceParser.java","L34563","6","0","55","4","0","3","12","0"
"L34567","DocLinks.java","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/DocLinks.java","L34563","11","0","72","4","0","1","4843","0"
