"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L113","ElasticSearchException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchException.java","L112","13","0","63","0","4735","1","1","0"
"L114","ElasticSearchIllegalArgumentException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalArgumentException.java","L112","1","0","12","0","4735","1","1","0"
"L115","ElasticSearchIllegalStateException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalStateException.java","L112","1","0","12","0","4735","1","1","0"
"L116","ElasticSearchInterruptedException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchInterruptedException.java","L112","1","0","9","0","4735","1","1","0"
"L117","ElasticSearchNullPointerException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchNullPointerException.java","L112","1","0","12","0","4735","1","1","0"
"L118","ElasticSearchParseException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchParseException.java","L112","1","0","9","0","4735","1","1","0"
"L119","ElasticSearchWrapperException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchWrapperException.java","L112","1","0","4","0","4735","1","1","0"
"L120","ExceptionsHelper.java","modules/elasticsearch/src/main/java/org/elasticsearch/ExceptionsHelper.java","L112","9","0","39","0","4735","1","1","0"
"L121","Version.java","modules/elasticsearch/src/main/java/org/elasticsearch/Version.java","L112","2","0","43","0","4735","1","1","0"
"L912","Action.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/Action.java","L911","1","0","8","0","4735","1","1","0"
"L913","ActionFuture.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionFuture.java","L911","1","0","10","0","4735","1","1","0"
"L914","ActionListener.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionListener.java","L911","1","0","5","0","4735","1","1","0"
"L915","ActionRequest.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequest.java","L911","1","0","7","0","4735","1","1","0"
"L916","ActionRequestValidationException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequestValidationException.java","L911","2","0","25","0","4735","1","1","0"
"L917","ActionResponse.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionResponse.java","L911","1","0","4","0","4735","1","1","0"
"L918","Actions.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/Actions.java","L911","7","0","25","0","4735","1","1","0"
"L919","FailedNodeException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/FailedNodeException.java","L911","1","0","12","0","4735","1","1","0"
"L920","NoShardAvailableActionException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java","L911","1","0","8","0","4735","1","1","0"
