"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L113","ElasticSearchException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchException.java","L112","13","0","65","0","4735","1","3","0"
"L114","ElasticSearchGenerationException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchGenerationException.java","L112","1","0","9","0","4735","1","1","0"
"L115","ElasticSearchIllegalArgumentException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalArgumentException.java","L112","1","0","12","0","4735","1","1","0"
"L116","ElasticSearchIllegalStateException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalStateException.java","L112","1","0","12","0","4735","1","1","0"
"L117","ElasticSearchInterruptedException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchInterruptedException.java","L112","1","0","9","0","4735","1","2","0"
"L118","ElasticSearchNullPointerException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchNullPointerException.java","L112","1","0","12","0","4735","1","1","0"
"L119","ElasticSearchParseException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchParseException.java","L112","1","0","9","0","4735","1","1","0"
"L120","ElasticSearchTimeoutException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchTimeoutException.java","L112","1","0","9","0","4735","1","1","0"
"L121","ElasticSearchWrapperException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchWrapperException.java","L112","1","0","4","0","4735","1","1","0"
"L122","ExceptionsHelper.java","modules/elasticsearch/src/main/java/org/elasticsearch/ExceptionsHelper.java","L112","13","0","61","0","4735","1","9","0"
"L123","Version.java","modules/elasticsearch/src/main/java/org/elasticsearch/Version.java","L112","2","0","46","0","4735","1","5","0"
"L60772","Nullable.java","modules/elasticsearch/src/main/java/javax/annotation/Nullable.java","L60771","1","0","7","0","4735","1","1","0"
"L1026","Action.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/Action.java","L1025","1","0","6","0","4735","1","2","0"
"L1027","ActionFuture.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionFuture.java","L1025","1","0","12","0","4735","1","5","0"
"L1028","ActionListener.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionListener.java","L1025","1","0","5","0","4735","1","2","0"
"L1029","ActionRequest.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequest.java","L1025","1","0","7","0","4735","1","4","0"
"L1030","ActionRequestValidationException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequestValidationException.java","L1025","2","0","25","0","4735","1","1","0"
"L1031","ActionResponse.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionResponse.java","L1025","1","0","4","0","4735","1","4","0"
"L1032","Actions.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/Actions.java","L1025","10","0","37","0","4735","1","4","0"
"L1033","FailedNodeException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/FailedNodeException.java","L1025","1","0","12","0","4735","1","1","0"
"L1034","ListenableActionFuture.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ListenableActionFuture.java","L1025","1","0","5","0","4735","1","1","0"
"L1035","NoShardAvailableActionException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java","L1025","1","0","11","0","4735","1","2","0"
"L1036","NoSuchNodeException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/NoSuchNodeException.java","L1025","1","0","6","0","4735","1","1","0"
"L1037","PrimaryMissingActionException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java","L1025","1","0","7","0","4735","1","1","0"
"L1038","PrimaryNotStartedActionException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/PrimaryNotStartedActionException.java","L1025","2","0","14","0","4735","1","3","0"
"L1039","ShardOperationFailedException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ShardOperationFailedException.java","L1025","1","0","8","0","4735","1","5","0"
"L1040","ThreadingModel.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ThreadingModel.java","L1025","15","0","70","0","4735","1","1","0"
"L1041","TransportActionModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActionModule.java","L1025","1","0","78","0","4735","1","21","0"
"L1042","TransportActions.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActions.java","L1025","1","0","48","0","4735","1","12","0"
"L10363","Bootstrap.java","modules/elasticsearch/src/main/java/org/elasticsearch/bootstrap/Bootstrap.java","L10362","23","0","179","0","4735","1","17","0"
"L10485","NodeCache.java","modules/elasticsearch/src/main/java/org/elasticsearch/cache/NodeCache.java","L10484","1","0","18","0","4735","1","3","1"
"L10486","NodeCacheModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/cache/NodeCacheModule.java","L10484","1","0","9","0","4735","1","3","0"
"L10583","AdminClient.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/AdminClient.java","L10582","1","0","5","0","4735","1","2","0"
"L10584","Client.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/Client.java","L10582","1","0","56","0","4735","1","10","0"
"L10585","ClusterAdminClient.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/ClusterAdminClient.java","L10582","1","0","60","0","4735","1","9","0"
"L10586","IndicesAdminClient.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/IndicesAdminClient.java","L10582","1","0","71","0","4735","1","10","0"
"L10587","package-info.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/package-info.java","L10582","1","0","1","0","4735","1","1","0"
"L10588","Requests.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/Requests.java","L10582","1","0","129","0","4735","1","21","0"
"L14175","ClusterChangedEvent.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterChangedEvent.java","L14174","2","0","44","0","4735","1","3","0"
"L14176","ClusterModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterModule.java","L14174","1","0","39","0","4735","1","15","0"
"L14177","ClusterName.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterName.java","L14174","7","0","46","0","4735","1","4","0"
"L14178","ClusterNameModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterNameModule.java","L14174","1","0","12","0","4735","1","4","0"
"L14179","ClusterService.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterService.java","L14174","1","0","10","0","4735","1","5","0"
"L14180","ClusterState.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterState.java","L14174","2","0","148","0","4735","1","12","0"
"L14181","ClusterStateListener.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterStateListener.java","L14174","1","0","4","0","4735","1","1","0"
"L14182","ClusterStateUpdateTask.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterStateUpdateTask.java","L14174","1","0","4","0","4735","1","1","0"
"L14183","ProcessedClusterStateUpdateTask.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ProcessedClusterStateUpdateTask.java","L14174","1","0","4","0","4735","1","1","0"
