@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L113","13","0","65","0","4735","1","3","false"
"L114","1","0","9","0","4735","1","1","false"
"L115","1","0","12","0","4735","1","1","false"
"L116","1","0","12","0","4735","1","1","false"
"L117","1","0","9","0","4735","1","2","false"
"L118","1","0","12","0","4735","1","1","false"
"L119","1","0","9","0","4735","1","1","false"
"L120","1","0","9","0","4735","1","1","false"
"L121","1","0","4","0","4735","1","1","false"
"L122","13","0","61","0","4735","1","9","false"
"L123","2","0","46","0","4735","1","5","false"
"L60772","1","0","7","0","4735","1","1","false"
"L1026","1","0","6","0","4735","1","2","false"
"L1027","1","0","12","0","4735","1","5","false"
"L1028","1","0","5","0","4735","1","2","false"
"L1029","1","0","7","0","4735","1","4","false"
"L1030","2","0","25","0","4735","1","1","false"
"L1031","1","0","4","0","4735","1","4","false"
"L1032","10","0","37","0","4735","1","4","false"
"L1033","1","0","12","0","4735","1","1","false"
"L1034","1","0","5","0","4735","1","1","false"
"L1035","1","0","11","0","4735","1","2","false"
"L1036","1","0","6","0","4735","1","1","false"
"L1037","1","0","7","0","4735","1","1","false"
"L1038","2","0","14","0","4735","1","3","false"
"L1039","1","0","8","0","4735","1","5","false"
"L1040","15","0","70","0","4735","1","1","false"
"L1041","1","0","78","0","4735","1","21","false"
"L1042","1","0","48","0","4735","1","12","false"
"L10363","23","0","179","0","4735","1","17","false"
"L10485","1","0","18","0","4735","1","3","true"
"L10486","1","0","9","0","4735","1","3","false"
"L10583","1","0","5","0","4735","1","2","false"
"L10584","1","0","56","0","4735","1","10","false"
"L10585","1","0","60","0","4735","1","9","false"
"L10586","1","0","71","0","4735","1","10","false"
"L10587","1","0","1","0","4735","1","1","false"
"L10588","1","0","129","0","4735","1","21","false"
"L14175","2","0","44","0","4735","1","3","false"
"L14176","1","0","39","0","4735","1","15","false"
"L14177","7","0","46","0","4735","1","4","false"
"L14178","1","0","12","0","4735","1","4","false"
"L14179","1","0","10","0","4735","1","5","false"
"L14180","2","0","148","0","4735","1","12","false"
"L14181","1","0","4","0","4735","1","1","false"
"L14182","1","0","4","0","4735","1","1","false"
"L14183","1","0","4","0","4735","1","1","false"
"L14184","1","0","7","0","4735","1","3","false"
"L17300","127","0","957","0","4735","1","1","false"
"L17301","18","0","30","0","4735","1","1","false"
"L17302","37","0","215","0","4735","1","1","false"
"L17303","9","0","39","0","4735","1","1","false"
"L17304","3","0","156","0","4735","1","2","false"
"L17305","6","0","49","0","4735","1","1","false"
"L17306","10","0","59","0","4735","1","1","false"
"L17307","1","0","54","0","4735","1","1","false"
"L17308","27","0","167","0","4735","1","1","false"
"L17309","1","0","7","0","4735","1","1","false"
"L17310","11","0","134","0","4735","1","1","false"
"L17311","139","0","622","0","4735","1","1","false"
"L17312","14","0","129","0","4735","1","1","false"
"L17313","13","0","104","0","4735","1","1","false"
"L29893","1","0","9","0","4735","1","4","false"
"L29895","2","0","27","0","4735","1","9","false"
"L29896","4","0","63","0","4735","1","10","false"
"L29898","1","0","7","0","4735","1","1","false"
"L31505","14","0","104","0","4735","1","7","false"
"L31506","1","0","11","0","4735","1","3","false"
"L31508","14","0","70","0","4735","1","2","true"
"L31509","1","0","9","0","4735","1","1","false"
"L31583","1","0","11","0","4735","1","5","false"
"L31585","1","0","20","0","4735","1","3","false"
"L31586","26","0","219","0","4735","1","31","false"
"L32030","1","0","4","0","4735","1","1","false"
"L32032","1","0","4","0","4735","1","3","false"
"L32033","1","0","4","0","4735","1","2","false"
"L32034","22","0","129","0","4735","1","12","true"
"L32037","1","0","20","0","4735","1","5","false"
"L32522","1","0","35","0","4735","1","3","false"
"L32523","7","0","46","0","4735","1","5","false"
"L32524","1","0","4","0","4735","1","1","false"
"L32525","2","0","18","0","4735","1","1","false"
"L32526","1","0","10","0","4735","1","4","false"
"L32527","1","0","11","0","4735","1","2","false"
"L32528","1","0","29","0","4735","1","5","false"
"L32531","1","0","13","0","4735","1","2","false"
"L32532","1","0","11","0","4735","1","2","false"
"L47455","1","0","28","0","4735","1","2","false"
"L47456","1","0","27","0","4735","1","9","false"
"L47457","1","0","22","0","4735","1","4","false"
"L47458","9","0","62","0","4735","1","4","false"
"L47459","15","0","223","0","4735","1","22","false"
"L47461","1","0","8","0","4735","1","1","false"
"L48108","7","0","68","0","4735","1","3","false"
"L48111","2","0","43","0","4735","1","3","false"
"L48113","25","0","174","0","4735","1","7","false"
"L48118","91","0","454","0","4735","1","4","false"
"L48671","10","0","91","0","4735","1","6","false"
"L48672","1","0","47","0","4735","1","5","false"
"L50260","1","0","10","0","4735","1","1","false"
"L50261","1","0","50","0","4735","1","4","false"
"L50262","1","0","13","0","4735","1","1","false"
"L50263","1","0","1","0","4735","1","2","false"
"L50424","1","0","28","0","4735","1","8","false"
"L50425","2","0","27","0","4735","1","4","false"
"L50426","1","0","16","0","4735","1","8","false"
"L50427","14","0","77","0","4735","1","3","false"
"L50428","3","0","34","0","4735","1","4","false"
"L50429","41","0","231","0","4735","1","10","false"
"L50430","2","0","27","0","4735","1","4","false"
"L50601","1","0","15","0","4735","1","1","false"
"L50602","1","0","11","0","4735","1","1","false"
"L50603","1","0","4","0","4735","1","1","false"
"L50604","16","0","87","0","4735","1","11","true"
"L50605","1","0","4","0","4735","1","1","false"
"L50606","1","0","14","0","4735","1","4","false"
"L50607","1","0","35","1","4735","1","14","true"
"L50608","1","0","67","0","4735","1","2","false"
"L50609","1","0","21","0","4735","1","4","false"
"L50610","5","0","55","0","4735","1","2","false"
"L50611","6","0","82","0","4735","1","2","false"
"L50612","9","0","50","0","4735","1","1","false"
"L51793","1","0","7","0","4735","1","1","false"
"L51794","5","0","50","0","4735","1","1","false"
"L51819","3","0","36","0","4735","1","4","false"
"L51820","2","0","19","0","4735","1","2","false"
"L51821","1","0","12","0","4735","1","1","false"
"L51822","1","0","16","0","4735","1","1","false"
"L51823","1","0","33","0","4735","1","12","false"
"L51824","1","0","11","0","4735","1","4","false"
"L51825","1","0","12","0","4735","1","6","false"
"L51826","1","0","21","0","4735","1","2","false"
