"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L113","ElasticSearchException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchException.java","L112","17","0","84","0","4735","1","5","0"
"L114","ElasticSearchGenerationException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchGenerationException.java","L112","1","0","9","0","4735","1","1","0"
"L115","ElasticSearchIllegalArgumentException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalArgumentException.java","L112","1","0","12","0","4735","1","1","1"
"L116","ElasticSearchIllegalStateException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalStateException.java","L112","1","0","12","0","4735","1","1","0"
"L117","ElasticSearchInterruptedException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchInterruptedException.java","L112","1","0","9","0","4735","1","2","0"
"L118","ElasticSearchNullPointerException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchNullPointerException.java","L112","1","0","12","0","4735","1","1","0"
"L119","ElasticSearchParseException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchParseException.java","L112","1","0","9","0","4735","1","1","0"
"L120","ElasticSearchTimeoutException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchTimeoutException.java","L112","1","0","9","0","4735","1","1","0"
"L121","ElasticSearchWrapperException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchWrapperException.java","L112","1","0","4","0","4735","1","1","0"
"L122","ExceptionsHelper.java","modules/elasticsearch/src/main/java/org/elasticsearch/ExceptionsHelper.java","L112","13","0","61","0","4735","1","9","0"
"L123","Version.java","modules/elasticsearch/src/main/java/org/elasticsearch/Version.java","L112","2","0","46","0","4735","1","5","0"
"L1722","Action.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/Action.java","L1721","1","0","6","0","4735","1","2","0"
"L1723","ActionFuture.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionFuture.java","L1721","1","0","12","0","4735","1","5","0"
"L1724","ActionListener.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionListener.java","L1721","1","0","5","0","4735","1","2","0"
"L1725","ActionRequest.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequest.java","L1721","1","0","7","0","4735","1","4","0"
"L1726","ActionRequestValidationException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequestValidationException.java","L1721","3","0","30","0","4735","1","3","0"
"L1727","ActionResponse.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionResponse.java","L1721","1","0","4","0","4735","1","4","0"
"L1728","Actions.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/Actions.java","L1721","10","0","37","0","4735","1","4","0"
"L1729","FailedNodeException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/FailedNodeException.java","L1721","1","0","12","0","4735","1","1","0"
"L1730","ListenableActionFuture.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ListenableActionFuture.java","L1721","1","0","5","0","4735","1","1","0"
"L1731","NoShardAvailableActionException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java","L1721","1","0","11","0","4735","1","2","0"
"L1732","NoSuchNodeException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/NoSuchNodeException.java","L1721","1","0","6","0","4735","1","1","0"
"L1733","PrimaryMissingActionException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java","L1721","1","0","7","0","4735","1","1","0"
"L1734","RoutingMissingException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/RoutingMissingException.java","L1721","1","0","22","0","4735","1","1","0"
"L1735","ShardOperationFailedException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ShardOperationFailedException.java","L1721","1","0","8","0","4735","1","5","0"
"L1736","ThreadingModel.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ThreadingModel.java","L1721","15","0","70","0","4735","1","1","0"
"L1737","TransportActionModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActionModule.java","L1721","1","0","100","0","4735","1","28","0"
"L1738","TransportActions.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActions.java","L1721","1","0","56","0","4735","1","18","0"
"L1739","UnavailableShardsException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/UnavailableShardsException.java","L1721","2","0","14","0","4735","1","1","0"
"L1740","WriteConsistencyLevel.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/WriteConsistencyLevel.java","L1721","9","0","39","0","4735","1","1","0"
"L13235","Bootstrap.java","modules/elasticsearch/src/main/java/org/elasticsearch/bootstrap/Bootstrap.java","L13234","24","0","183","0","4735","1","23","0"
"L13366","NodeCache.java","modules/elasticsearch/src/main/java/org/elasticsearch/cache/NodeCache.java","L13365","1","0","27","1","4735","1","6","0"
"L13367","NodeCacheModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/cache/NodeCacheModule.java","L13365","1","0","14","0","4735","1","5","0"
"L13455","AdminClient.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/AdminClient.java","L13454","1","0","5","0","4735","1","2","0"
"L13456","Client.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/Client.java","L13454","1","0","68","0","4735","1","14","0"
"L13457","ClusterAdminClient.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/ClusterAdminClient.java","L13454","1","0","60","0","4735","1","9","0"
"L13458","IndicesAdminClient.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/IndicesAdminClient.java","L13454","1","0","107","0","4735","1","15","0"
"L13459","package-info.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/package-info.java","L13454","1","0","1","0","4735","1","1","0"
"L13460","Requests.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/Requests.java","L13454","1","0","146","0","4735","2","28","0"
"L17894","ClusterChangedEvent.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterChangedEvent.java","L17893","6","0","56","0","4735","1","5","1"
"L17895","ClusterModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterModule.java","L17893","1","0","42","0","4735","1","18","0"
"L17896","ClusterName.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterName.java","L17893","7","0","46","0","4735","1","4","0"
"L17897","ClusterNameModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterNameModule.java","L17893","1","0","12","0","4735","1","4","0"
"L17898","ClusterService.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterService.java","L17893","1","0","17","0","4735","1","9","1"
"L17899","ClusterState.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterState.java","L17893","2","0","174","0","4735","1","16","0"
"L17900","ClusterStateListener.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterStateListener.java","L17893","1","0","4","0","4735","1","2","0"
"L17901","ClusterStateUpdateTask.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterStateUpdateTask.java","L17893","1","0","4","0","4735","1","2","0"
"L17902","ProcessedClusterStateUpdateTask.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ProcessedClusterStateUpdateTask.java","L17893","1","0","4","0","4735","1","1","0"
"L17903","TimeoutClusterStateListener.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/TimeoutClusterStateListener.java","L17893","1","0","7","0","4735","1","3","0"
"L21738","Base64.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Base64.java","L21737","124","0","942","0","4735","1","2","0"
"L21739","Booleans.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Booleans.java","L21737","18","0","30","0","4735","1","1","0"
"L21740","Bytes.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Bytes.java","L21737","37","0","215","0","2","2","3","0"
"L21741","BytesWrap.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/BytesWrap.java","L21737","2","0","27","0","4735","1","1","0"
"L21742","Classes.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Classes.java","L21737","9","0","39","0","4735","1","1","0"
"L21743","Digest.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Digest.java","L21737","3","0","156","0","4735","1","2","0"
"L21744","Hex.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Hex.java","L21737","6","0","49","0","4735","1","1","0"
"L21745","Names.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Names.java","L21737","10","0","59","0","4735","1","1","0"
"L21746","Nullable.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Nullable.java","L21737","1","0","7","0","4735","1","1","0"
"L21747","Numbers.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Numbers.java","L21737","1","0","54","0","4735","1","2","0"
"L21748","Preconditions.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Preconditions.java","L21737","27","0","167","0","4735","1","1","0"
"L21749","RamUsage.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/RamUsage.java","L21737","1","0","26","0","4735","1","1","0"
"L21750","Required.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Required.java","L21737","1","0","7","0","4735","1","1","0"
"L21751","StopWatch.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/StopWatch.java","L21737","11","0","134","0","4735","1","1","0"
"L21752","Strings.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Strings.java","L21737","143","0","638","0","4735","1","3","0"
"L21753","Unicode.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Unicode.java","L21737","14","0","129","0","4735","1","1","0"
"L21754","UUID.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/UUID.java","L21737","15","0","126","0","4735","1","2","0"
"L35313","Discovery.java","modules/elasticsearch/src/main/java/org/elasticsearch/discovery/Discovery.java","L35312","1","0","14","0","4735","1","8","0"
"L35315","DiscoveryModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/discovery/DiscoveryModule.java","L35312","2","0","27","0","4735","1","9","0"
"L35316","DiscoveryService.java","modules/elasticsearch/src/main/java/org/elasticsearch/discovery/DiscoveryService.java","L35312","4","0","67","0","4735","1","11","0"
"L35318","MasterNotDiscoveredException.java","modules/elasticsearch/src/main/java/org/elasticsearch/discovery/MasterNotDiscoveredException.java","L35312","1","0","7","0","4735","1","1","0"
"L36916","Environment.java","modules/elasticsearch/src/main/java/org/elasticsearch/env/Environment.java","L36915","15","0","118","0","4735","1","8","0"
"L36917","EnvironmentModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/env/EnvironmentModule.java","L36915","1","0","11","0","4735","1","3","0"
