@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L113","17","0","84","0","4735","1","5","false"
"L114","1","0","9","0","4735","1","1","false"
"L115","1","0","12","0","4735","1","1","true"
"L116","1","0","12","0","4735","1","1","false"
"L117","1","0","9","0","4735","1","2","false"
"L118","1","0","12","0","4735","1","1","false"
"L119","1","0","9","0","4735","1","1","false"
"L120","1","0","9","0","4735","1","1","false"
"L121","1","0","4","0","4735","1","1","false"
"L122","13","0","61","0","4735","1","9","false"
"L123","2","0","46","0","4735","1","5","false"
"L1722","1","0","6","0","4735","1","2","false"
"L1723","1","0","12","0","4735","1","5","false"
"L1724","1","0","5","0","4735","1","2","false"
"L1725","1","0","7","0","4735","1","4","false"
"L1726","3","0","30","0","4735","1","3","false"
"L1727","1","0","4","0","4735","1","4","false"
"L1728","10","0","37","0","4735","1","4","false"
"L1729","1","0","12","0","4735","1","1","false"
"L1730","1","0","5","0","4735","1","1","false"
"L1731","1","0","11","0","4735","1","2","false"
"L1732","1","0","6","0","4735","1","1","false"
"L1733","1","0","7","0","4735","1","1","false"
"L1734","1","0","22","0","4735","1","1","false"
"L1735","1","0","8","0","4735","1","5","false"
"L1736","15","0","70","0","4735","1","1","false"
"L1737","1","0","100","0","4735","1","28","false"
"L1738","1","0","56","0","4735","1","18","false"
"L1739","2","0","14","0","4735","1","1","false"
"L1740","9","0","39","0","4735","1","1","false"
"L13235","24","0","183","0","4735","1","23","false"
"L13366","1","0","27","1","4735","1","6","false"
"L13367","1","0","14","0","4735","1","5","false"
"L13455","1","0","5","0","4735","1","2","false"
"L13456","1","0","68","0","4735","1","14","false"
"L13457","1","0","60","0","4735","1","9","false"
"L13458","1","0","107","0","4735","1","15","false"
"L13459","1","0","1","0","4735","1","1","false"
"L13460","1","0","146","0","4735","2","28","false"
"L17894","6","0","56","0","4735","1","5","true"
"L17895","1","0","42","0","4735","1","18","false"
"L17896","7","0","46","0","4735","1","4","false"
"L17897","1","0","12","0","4735","1","4","false"
"L17898","1","0","17","0","4735","1","9","true"
"L17899","2","0","174","0","4735","1","16","false"
"L17900","1","0","4","0","4735","1","2","false"
"L17901","1","0","4","0","4735","1","2","false"
"L17902","1","0","4","0","4735","1","1","false"
"L17903","1","0","7","0","4735","1","3","false"
"L21738","124","0","942","0","4735","1","2","false"
"L21739","18","0","30","0","4735","1","1","false"
"L21740","37","0","215","0","2","2","3","false"
"L21741","2","0","27","0","4735","1","1","false"
"L21742","9","0","39","0","4735","1","1","false"
"L21743","3","0","156","0","4735","1","2","false"
"L21744","6","0","49","0","4735","1","1","false"
"L21745","10","0","59","0","4735","1","1","false"
"L21746","1","0","7","0","4735","1","1","false"
"L21747","1","0","54","0","4735","1","2","false"
"L21748","27","0","167","0","4735","1","1","false"
"L21749","1","0","26","0","4735","1","1","false"
"L21750","1","0","7","0","4735","1","1","false"
"L21751","11","0","134","0","4735","1","1","false"
"L21752","143","0","638","0","4735","1","3","false"
"L21753","14","0","129","0","4735","1","1","false"
"L21754","15","0","126","0","4735","1","2","false"
"L35313","1","0","14","0","4735","1","8","false"
"L35315","2","0","27","0","4735","1","9","false"
"L35316","4","0","67","0","4735","1","11","false"
"L35318","1","0","7","0","4735","1","1","false"
"L36916","15","0","118","0","4735","1","8","false"
"L36917","1","0","11","0","4735","1","3","false"
"L36919","13","0","81","1","4735","1","8","true"
"L36920","1","0","9","0","4735","1","1","false"
"L37010","1","0","14","0","4735","1","7","false"
"L37012","1","0","20","0","4735","1","4","false"
"L37013","44","0","235","0","4735","1","47","true"
"L37990","1","0","4","0","4735","1","1","false"
"L37992","1","0","4","0","4735","1","3","false"
"L37993","1","0","4","0","4735","1","2","false"
"L37994","22","0","130","1","4735","1","15","false"
"L37997","1","0","20","0","4735","1","5","false"
"L38475","1","0","35","0","4735","1","4","false"
"L38476","1","0","5","0","4735","1","1","false"
"L38477","7","0","46","0","4735","1","5","false"
"L38478","1","0","4","0","4735","1","1","false"
"L38479","3","0","18","0","4735","1","2","false"
"L38480","1","0","10","0","4735","1","4","false"
"L38481","1","0","11","0","4735","1","2","false"
"L38482","1","0","29","0","4735","1","5","false"
"L38485","1","0","13","0","4735","1","2","false"
"L38486","1","0","11","0","4735","1","2","false"
"L57778","1","0","12","0","4735","1","2","false"
"L57779","1","0","12","0","4735","1","1","false"
"L57780","1","0","16","0","4735","1","2","false"
"L57781","1","0","16","0","4735","1","2","false"
"L57782","1","0","30","0","4735","1","4","false"
"L57783","1","0","25","0","4735","1","10","false"
"L57784","1","0","20","0","4735","1","8","false"
"L57785","10","0","67","0","4735","1","6","false"
"L57786","17","0","244","0","4735","1","38","false"
"L57787","1","0","12","0","4735","1","2","false"
"L57788","1","0","12","0","4735","1","1","false"
"L57789","1","0","16","0","4735","1","2","false"
"L57790","1","0","11","0","4735","1","2","false"
"L57791","1","0","86","0","4735","1","1","false"
"L57792","1","0","12","0","4735","1","2","false"
"L58495","7","0","68","0","4735","1","3","false"
"L58498","2","0","43","0","4735","1","3","false"
"L58500","28","0","182","0","4735","1","8","false"
"L58505","91","0","454","0","4735","1","4","false"
"L59059","10","0","91","0","4735","1","6","false"
"L59060","1","0","47","0","4735","1","5","false"
"L60733","1","0","10","0","4735","1","2","false"
"L60734","1","0","50","0","4735","1","4","false"
"L60735","1","0","13","0","4735","1","1","false"
"L60736","1","0","1","0","4735","1","2","false"
"L60903","1","0","28","0","4735","1","9","false"
"L60904","2","0","31","0","4735","1","1","false"
"L60905","1","0","16","0","4735","1","9","false"
"L60906","23","0","121","0","4735","1","6","true"
"L60907","2","0","32","0","4735","1","5","false"
"L60908","27","0","174","0","4735","1","15","false"
"L60909","2","0","31","0","4735","1","5","false"
"L61085","1","0","15","0","4735","1","1","false"
"L61086","1","0","11","0","4735","1","1","false"
"L61087","1","0","4","0","4735","1","1","false"
"L61088","16","0","88","1","4735","1","12","false"
"L61089","1","0","4","0","4735","1","1","false"
"L61090","1","0","20","0","4735","1","5","false"
"L61091","1","0","32","2","4735","1","18","false"
"L61092","1","0","13","0","4735","1","3","false"
"L61093","1","0","55","0","4735","1","1","false"
"L61094","1","0","21","0","4735","1","5","false"
"L61095","5","0","55","0","4735","1","3","false"
"L61096","6","0","82","0","4735","1","6","false"
"L61097","10","0","52","0","4735","1","3","false"
"L62633","1","0","19","0","4735","1","1","false"
"L62634","1","0","5","0","4735","1","1","false"
"L62635","1","0","4","0","4735","1","1","false"
"L62636","2","0","18","0","4735","1","1","false"
"L62637","1","0","20","0","2","2","2","false"
"L62638","5","0","50","0","4735","1","1","false"
"L62639","10","0","35","0","4735","1","1","false"
"L62640","1","0","11","0","4735","1","1","false"
"L62641","1","0","17","0","4735","1","1","false"
"L62642","1","0","33","0","4735","1","1","false"
"L62643","1","0","18","0","4735","1","1","false"
"L62644","17","0","162","0","4735","1","2","true"
"L63849","1","0","15","0","4735","1","2","false"
"L63850","1","0","8","0","4735","1","5","false"
"L63851","1","0","14","0","4735","1","8","false"
"L63852","1","0","10","0","4735","1","1","false"
"L63853","3","0","23","0","4735","1","2","false"
"L63854","19","0","138","0","4735","1","9","true"
"L63855","1","0","14","0","4735","1","2","false"
"L64944","3","0","36","0","4735","1","4","false"
"L64945","3","0","22","0","4735","1","4","false"
"L64946","1","0","12","0","4735","1","2","false"
"L64947","1","0","16","0","4735","1","1","false"
"L64948","1","0","37","0","4735","1","15","false"
"L64949","1","0","11","0","4735","1","4","false"
"L64950","1","0","12","0","4735","1","6","false"
"L64951","1","0","34","0","4735","1","6","false"
"L64952","1","0","6","0","4735","1","3","false"
"L64953","1","0","10","0","4735","1","2","false"
"L64954","1","0","9","1","4735","1","1","false"
"L64955","1","0","7","0","4735","1","2","false"
"L64956","44","0","388","1","4735","1","39","false"
"L64957","14","0","80","0","4735","1","6","false"
"L64958","1","0","13","0","4735","1","1","false"
"L72920","16","0","175","0","4735","1","14","true"
"L72921","1","0","12","0","4735","1","7","false"
"L73003","1","0","11","0","4735","1","1","false"
"L73004","5","0","41","0","4735","1","2","false"
"L73005","1","0","5","0","4735","1","1","false"
"L73006","1","0","4","0","4735","1","2","false"
"L73007","1","0","4","0","4735","1","2","false"
"L73009","1","0","21","0","4735","1","5","false"
"L73011","1","0","12","0","4735","1","3","false"
"L73012","1","0","10","0","4735","1","2","false"
"L73013","1","0","10","0","4735","1","1","false"
"L73015","8","0","57","0","4735","1","5","false"
"L73016","1","0","7","0","4735","1","4","false"
"L73017","1","0","14","0","4735","1","3","false"
"L73018","1","0","9","0","4735","1","2","false"
"L73020","3","0","8","0","4735","1","8","false"
"L73021","1","0","17","0","4735","1","10","false"
"L73022","1","0","9","0","4735","1","2","false"
"L73023","1","0","6","0","4735","1","1","false"
"L73024","1","0","10","0","4735","1","1","false"
"L73025","1","0","8","0","4735","1","1","false"
"L73026","1","0","41","0","4735","1","3","false"
"L73027","2","0","28","0","4735","1","3","false"
"L73028","1","0","7","0","4735","1","2","false"
"L73029","1","0","52","0","2","2","6","false"
"L73030","1","0","8","0","4735","1","4","false"
"L73031","1","0","15","0","4735","1","2","false"
"L73033","19","0","288","0","4735","1","33","false"
"L73034","1","0","10","0","4735","1","2","false"
"L73036","1","0","75","0","4735","1","5","false"
"L73037","1","0","21","0","4735","1","3","false"
"L1891","1","0","1","0","4735","1","1","false"
"L6803","5","0","48","0","4735","1","1","false"
"L6804","21","0","188","0","4735","1","4","false"
"L6805","34","0","202","0","4735","1","12","true"
"L6806","7","0","71","0","4735","1","5","false"
"L6807","4","0","50","0","4735","1","2","false"
"L6808","3","0","36","0","4735","1","1","false"
"L6809","41","0","236","1","4735","1","16","false"
"L6810","40","0","246","0","4735","1","14","false"
"L7594","14","0","217","0","4735","1","20","false"
"L7595","1","0","30","0","4735","1","7","false"
"L7596","1","0","1","0","4735","1","1","false"
"L7597","6","0","78","0","4735","1","11","false"
"L7598","1","0","25","0","4735","1","4","false"
"L7599","6","0","85","0","4735","1","20","false"
"L7863","5","0","124","0","4735","1","15","false"
"L7864","1","0","66","0","4735","1","7","false"
"L7865","1","0","1","0","4735","1","1","false"
"L7866","10","0","128","0","4735","1","21","true"
"L8249","13","0","200","1","4735","1","24","false"
