"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L113","ElasticSearchException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchException.java","L112","17","0","84","0","4735","1","5","0"
"L114","ElasticSearchGenerationException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchGenerationException.java","L112","1","0","9","0","4735","1","1","0"
"L115","ElasticSearchIllegalArgumentException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalArgumentException.java","L112","1","0","16","1","4735","1","2","0"
"L116","ElasticSearchIllegalStateException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalStateException.java","L112","1","0","12","0","4735","1","1","0"
"L117","ElasticSearchInterruptedException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchInterruptedException.java","L112","1","0","9","0","4735","1","2","0"
"L118","ElasticSearchNullPointerException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchNullPointerException.java","L112","1","0","12","0","4735","1","1","0"
"L119","ElasticSearchParseException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchParseException.java","L112","1","0","9","0","4735","1","1","0"
"L120","ElasticSearchTimeoutException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchTimeoutException.java","L112","1","0","9","0","4735","1","1","0"
"L121","ElasticSearchWrapperException.java","modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchWrapperException.java","L112","1","0","4","0","4735","1","1","0"
"L122","ExceptionsHelper.java","modules/elasticsearch/src/main/java/org/elasticsearch/ExceptionsHelper.java","L112","13","0","61","0","4735","1","9","0"
"L123","Version.java","modules/elasticsearch/src/main/java/org/elasticsearch/Version.java","L112","2","0","46","0","4735","1","5","1"
"L1943","Action.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/Action.java","L1942","1","0","6","0","4735","1","2","0"
"L1944","ActionFuture.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionFuture.java","L1942","1","0","12","0","4735","1","5","0"
"L1945","ActionListener.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionListener.java","L1942","1","0","5","0","4735","1","2","0"
"L1946","ActionRequest.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequest.java","L1942","1","0","7","0","4735","1","4","0"
"L1947","ActionRequestValidationException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequestValidationException.java","L1942","3","0","30","0","4735","1","4","0"
"L1948","ActionResponse.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionResponse.java","L1942","1","0","4","0","4735","1","4","0"
"L1949","Actions.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/Actions.java","L1942","2","0","10","0","4735","1","5","0"
"L1950","FailedNodeException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/FailedNodeException.java","L1942","1","0","12","0","4735","1","1","0"
"L1951","ListenableActionFuture.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ListenableActionFuture.java","L1942","1","0","5","0","4735","1","1","0"
"L1952","NoShardAvailableActionException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java","L1942","1","0","11","0","4735","1","2","0"
"L1953","NoSuchNodeException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/NoSuchNodeException.java","L1942","1","0","6","0","4735","1","1","0"
"L1954","PrimaryMissingActionException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java","L1942","1","0","7","0","4735","1","1","0"
"L1955","RoutingMissingException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/RoutingMissingException.java","L1942","1","0","22","0","4735","1","1","0"
"L1956","ShardOperationFailedException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ShardOperationFailedException.java","L1942","1","0","8","0","4735","1","5","0"
"L1957","ThreadingModel.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/ThreadingModel.java","L1942","15","0","70","0","4735","1","1","0"
"L1958","TransportActionModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActionModule.java","L1942","1","0","118","0","4735","1","32","0"
"L1959","TransportActions.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActions.java","L1942","1","0","59","0","4735","1","21","0"
"L1960","UnavailableShardsException.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/UnavailableShardsException.java","L1942","2","0","14","0","4735","1","1","0"
"L1961","WriteConsistencyLevel.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/WriteConsistencyLevel.java","L1942","9","0","39","0","4735","1","1","0"
"L14967","Bootstrap.java","modules/elasticsearch/src/main/java/org/elasticsearch/bootstrap/Bootstrap.java","L14966","26","0","191","0","4735","1","25","0"
"L14968","ElasticSearch.java","modules/elasticsearch/src/main/java/org/elasticsearch/bootstrap/ElasticSearch.java","L14966","1","0","6","0","4735","1","1","0"
"L15118","NodeCache.java","modules/elasticsearch/src/main/java/org/elasticsearch/cache/NodeCache.java","L15117","1","0","27","1","4735","1","6","0"
"L15119","NodeCacheModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/cache/NodeCacheModule.java","L15117","1","0","14","0","4735","1","5","0"
"L15207","AdminClient.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/AdminClient.java","L15206","1","0","5","0","4735","1","2","0"
"L15208","Client.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/Client.java","L15206","1","0","76","0","4735","1","17","0"
"L15209","ClusterAdminClient.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/ClusterAdminClient.java","L15206","1","0","60","0","4735","1","9","0"
"L15210","IndicesAdminClient.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/IndicesAdminClient.java","L15206","1","0","119","0","4735","1","18","0"
"L15211","package-info.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/package-info.java","L15206","1","0","1","0","4735","1","1","0"
"L15212","Requests.java","modules/elasticsearch/src/main/java/org/elasticsearch/client/Requests.java","L15206","1","0","154","0","4735","3","33","0"
"L20287","ClusterChangedEvent.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterChangedEvent.java","L20286","18","0","95","1","4735","1","6","0"
"L20288","ClusterModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterModule.java","L20286","1","0","41","0","319","2","20","1"
"L20289","ClusterName.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterName.java","L20286","7","0","46","0","4735","1","5","0"
"L20290","ClusterNameModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterNameModule.java","L20286","1","0","12","0","4735","1","4","0"
"L20291","ClusterService.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterService.java","L20286","1","0","18","1","4735","1","10","0"
"L20292","ClusterState.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterState.java","L20286","2","0","179","0","4735","1","17","0"
"L20293","ClusterStateListener.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterStateListener.java","L20286","1","0","4","0","4735","1","2","0"
"L20294","ClusterStateUpdateTask.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ClusterStateUpdateTask.java","L20286","1","0","4","0","4735","1","2","0"
"L20295","ProcessedClusterStateUpdateTask.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/ProcessedClusterStateUpdateTask.java","L20286","1","0","4","0","4735","1","1","0"
"L20296","TimeoutClusterStateListener.java","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/TimeoutClusterStateListener.java","L20286","1","0","7","0","4735","1","3","0"
"L24866","Base64.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Base64.java","L24865","124","0","942","0","4735","1","2","0"
"L24867","Booleans.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Booleans.java","L24865","22","0","33","0","4735","1","2","0"
"L24868","Bytes.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Bytes.java","L24865","37","0","209","0","4735","2","4","0"
"L24869","BytesHolder.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/BytesHolder.java","L24865","5","0","77","0","4735","1","1","0"
"L24870","BytesWrap.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/BytesWrap.java","L24865","2","0","27","0","4735","1","1","0"
"L24871","CacheRecycler.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/CacheRecycler.java","L24865","48","0","341","1","4735","1","10","0"
"L24872","Classes.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Classes.java","L24865","9","0","39","0","4735","1","1","0"
"L24873","Digest.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Digest.java","L24865","3","0","156","0","4735","1","2","0"
"L24874","Hex.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Hex.java","L24865","6","0","49","0","4735","1","1","0"
"L24875","Names.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Names.java","L24865","10","0","59","0","4735","1","1","0"
"L24876","Nullable.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Nullable.java","L24865","1","0","7","0","4735","1","1","0"
"L24877","Numbers.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Numbers.java","L24865","1","0","54","0","4735","1","2","0"
"L24878","Preconditions.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Preconditions.java","L24865","27","0","167","0","4735","1","1","0"
"L24879","RamUsage.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/RamUsage.java","L24865","1","0","26","0","4735","1","1","0"
"L24880","RandomStringGenerator.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/RandomStringGenerator.java","L24865","25","0","98","0","4735","1","1","0"
"L24881","Required.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Required.java","L24865","1","0","7","0","4735","1","1","0"
"L24882","StopWatch.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/StopWatch.java","L24865","11","0","134","0","4735","1","1","0"
"L24883","Strings.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Strings.java","L24865","183","0","798","0","4735","1","6","0"
"L24884","Unicode.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/Unicode.java","L24865","14","0","129","0","4735","1","1","0"
"L24885","UUID.java","modules/elasticsearch/src/main/java/org/elasticsearch/common/UUID.java","L24865","15","0","126","0","4735","1","2","0"
"L47314","Discovery.java","modules/elasticsearch/src/main/java/org/elasticsearch/discovery/Discovery.java","L47313","1","0","14","0","4735","1","8","0"
"L47316","DiscoveryModule.java","modules/elasticsearch/src/main/java/org/elasticsearch/discovery/DiscoveryModule.java","L47313","2","0","27","0","4735","1","9","0"
