@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L2461","17","0","84","0","4735","1","2","false"
"L2462","1","0","9","0","4735","1","2","false"
"L2463","1","0","17","0","4735","1","2","false"
"L2464","1","0","12","0","4735","1","2","false"
"L2465","1","0","9","0","4735","1","2","false"
"L2466","1","0","12","0","4735","1","2","false"
"L2467","1","0","14","0","4735","1","3","false"
"L2468","1","0","9","0","4735","1","2","false"
"L2469","1","0","4","0","4735","1","2","false"
"L2470","13","0","61","0","4735","1","2","true"
"L2471","18","0","119","0","4735","2","14","false"
"L2474","1","0","9","0","11","2","5","false"
"L2475","1","0","15","0","4735","1","2","false"
"L2476","1","0","5","0","4735","1","2","false"
"L2477","5","0","184","0","4735","2","3","false"
"L2478","1","0","7","0","4735","1","2","false"
"L2479","1","0","6","0","11","2","2","false"
"L2480","3","0","31","0","4735","1","2","false"
"L2481","1","0","4","0","4735","1","2","false"
"L2482","1","0","12","0","4735","1","2","false"
"L2483","1","0","23","0","11","2","2","false"
"L2484","1","0","5","0","4735","1","2","false"
"L2485","1","0","11","0","4735","1","2","false"
"L2486","1","0","6","0","4735","1","2","false"
"L2487","1","0","7","0","4735","1","2","false"
"L2488","1","0","22","0","4735","1","2","false"
"L2489","1","0","8","0","4735","1","2","false"
"L2490","15","0","70","0","4735","1","2","false"
"L2491","1","0","12","0","4735","1","2","false"
"L2492","2","0","48","0","11","2","2","false"
"L2493","2","0","20","0","11","2","4","false"
"L2494","2","0","10","0","11","2","2","false"
"L2495","9","0","39","0","4735","1","2","false"
"L20125","25","0","200","0","4735","2","5","false"
"L20127","1","0","10","0","11","2","3","false"
"L20393","1","0","79","0","4735","3","7","false"
"L20394","1","0","56","0","11","2","3","false"
"L20395","1","0","136","0","11","3","6","false"
"L20397","1","0","150","0","11","2","2","false"
"L22417","20","0","108","0","4735","1","1","true"
"L22421","1","0","19","0","4735","1","1","false"
"L22422","2","0","179","0","4735","1","1","false"
"L27520","5","0","60","0","4735","1","2","false"
"L27522","48","0","341","0","4735","1","1","false"
"L48646","1","0","18","0","4735","1","2","false"
"L48651","1","0","15","0","4735","1","2","false"
"L50233","16","0","129","0","4735","1","2","false"
"L50236","43","0","196","0","4735","1","6","false"
"L50237","2","0","20","0","4735","1","1","false"
"L50351","1","0","14","0","4735","1","1","false"
"L50354","52","0","233","0","4735","2","5","false"
"L51220","1","0","50","0","4735","1","1","false"
"L51223","15","0","172","0","4735","1","3","false"
"L51227","1","0","58","0","4735","1","1","false"
"L51804","3","0","48","0","4735","1","1","false"
"L51807","2","0","19","0","4735","1","1","false"
"L74724","1","0","33","0","4735","1","1","false"
"L74725","1","0","39","0","4735","1","2","false"
"L74726","1","0","18","0","4735","1","1","false"
"L74727","11","0","74","0","4735","1","1","false"
"L74728","17","0","295","0","4735","1","3","false"
"L74733","1","0","143","1","4735","2","2","false"
"L76888","2","0","16","0","4735","1","1","false"
"L76892","3","0","48","0","4735","1","1","false"
"L76894","28","0","180","0","4735","1","1","false"
"L77439","10","0","101","0","4735","1","1","false"
"L77440","1","0","58","0","4735","1","1","false"
"L79968","1","0","53","0","4735","1","2","false"
"L79969","2","0","35","0","4735","1","1","false"
"L79970","1","0","21","0","4735","1","2","false"
"L79971","45","0","251","0","4735","1","1","false"
"L79972","2","0","36","0","4735","1","1","false"
"L79973","56","0","287","0","4735","2","6","false"
"L79974","2","0","35","0","4735","1","1","false"
"L80243","24","0","172","0","4735","1","2","false"
"L80244","1","0","12","0","4735","1","1","false"
"L80245","1","0","4","0","4735","1","1","false"
"L82333","23","0","221","0","4735","1","1","false"
"L82962","1","0","6","0","4735","1","1","false"
"L82968","20","0","170","0","4735","1","1","false"
"L83372","1","0","11","0","4735","1","1","false"
"L83374","1","0","38","0","4735","1","1","false"
"L94279","35","0","430","0","4735","1","10","false"
"L94280","4","0","57","0","4735","1","2","false"
"L94282","1","0","12","0","4735","1","1","false"
"L94283","7","0","127","0","4735","1","3","false"
"L94626","8","0","67","0","4735","1","1","false"
"L94637","1","0","50","0","4735","1","1","false"
"L94638","3","0","33","0","4735","1","1","false"
"L94644","20","0","309","0","4735","1","1","false"
"L94647","1","0","99","0","4735","1","1","false"
"L646","1","0","20","0","4735","1","2","false"
"L647","4","0","70","0","11","2","4","true"
"L648","1","0","15","0","11","2","2","false"
"L649","6","0","77","0","11","2","4","true"
"L1364","4","0","28","0","4735","1","3","false"
"L1365","1","0","6","0","4735","1","2","false"
"L1366","50","0","307","1","4735","2","10","false"
"L1367","4","0","31","0","4735","1","3","false"
"L1368","50","0","236","0","4735","1","2","false"
"L1369","17","0","55","0","4735","1","2","false"
"L1370","40","0","174","1","11","2","5","false"
"L1782","1","0","13","1","4735","1","3","false"
"L1783","11","0","59","0","4735","1","2","false"
"L1784","15","0","71","0","4735","1","2","false"
"L1976","9","0","75","0","11","2","2","false"
"L2987","1","0","1","0","4735","1","2","false"
"L11010","1","0","23","0","11","2","2","false"
"L11011","5","0","50","0","4735","1","2","false"
"L11012","21","0","190","0","4735","1","2","false"
"L11013","46","0","229","0","4735","2","5","false"
"L11014","1","0","59","0","11","2","2","false"
"L11015","7","0","74","0","4735","1","2","false"
"L11016","6","0","60","0","4735","1","2","false"
"L11017","3","0","38","0","4735","1","2","false"
"L11018","38","0","239","0","11","2","6","true"
"L11019","43","0","280","0","4735","2","9","true"
"L11988","1","0","18","0","11","2","2","false"
"L11989","11","0","207","0","11","2","5","false"
"L11990","1","0","55","0","11","2","2","false"
"L11991","1","0","32","0","4735","1","2","false"
"L11992","1","0","1","0","11","2","2","false"
"L11993","8","0","87","0","11","2","5","false"
"L11994","1","0","27","0","4735","1","2","false"
"L11995","5","0","99","0","11","2","7","false"
"L12274","1","0","18","0","11","2","2","false"
"L12275","8","0","157","0","11","2","4","false"
"L12276","1","0","64","0","11","2","3","false"
"L12277","1","0","68","0","4735","1","2","false"
"L12278","1","0","1","0","4735","1","2","false"
"L12279","14","0","167","1","11","2","6","true"
"L12764","1","0","18","0","11","2","2","false"
"L12765","10","0","190","0","11","2","6","false"
"L12766","1","0","83","0","11","2","2","false"
"L12767","3","0","43","0","4735","1","2","false"
"L12768","13","0","106","0","11","2","5","false"
"L12769","1","0","54","0","4735","1","2","false"
"L12770","1","0","1","0","4735","1","2","false"
"L12771","14","0","121","0","11","2","5","false"
"L12772","1","0","14","0","4735","1","2","false"
"L12773","3","0","55","0","11","2","5","false"
"L12774","3","0","60","0","11","2","6","false"
"L12775","3","0","82","0","11","2","6","false"
"L13227","1","0","18","0","11","2","2","false"
"L13228","17","0","173","0","11","2","4","false"
"L13229","1","0","57","0","11","2","3","false"
"L13230","1","0","96","0","4735","1","2","false"
"L13231","1","0","18","0","11","2","2","false"
"L13232","6","0","84","0","4735","1","2","false"
"L13233","43","0","268","0","11","2","4","false"
"L13234","3","0","50","0","11","2","2","false"
"L13235","7","0","133","0","4735","1","2","false"
"L13236","16","0","134","0","4735","1","2","false"
"L13237","7","0","69","0","4735","1","2","false"
"L13238","1","0","1","0","4735","1","2","false"
"L13239","4","0","75","0","11","2","7","false"
"L13240","10","0","115","0","11","2","6","false"
"L13241","6","0","86","0","11","2","8","false"
"L14030","1","0","18","0","11","2","2","false"
"L14031","51","0","485","0","11","2","5","false"
"L14032","1","0","156","0","11","2","3","false"
"L14033","11","0","101","0","4735","1","2","false"
"L14034","1","0","1","0","4735","1","2","false"
"L14035","23","0","246","1","11","2","7","true"
"L14537","1","0","19","0","11","2","2","false"
"L14538","31","0","427","0","11","2","4","false"
"L14539","1","0","111","0","11","2","3","false"
"L14540","1","0","1","0","4735","1","2","false"
