@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L109","575","0","2143","0","4735","1","1","false"
"L110","13","0","91","0","4735","1","1","false"
"L111","18","0","91","0","4735","1","1","false"
"L112","13","0","88","0","4735","1","1","false"
"L113","7","0","62","0","4735","1","1","false"
"L114","18","0","86","0","4735","1","1","false"
"L115","1","0","1","0","4735","1","1","false"
"L116","20","0","158","0","4735","1","1","false"
"L117","33","0","172","0","4735","1","1","false"
"L2440","169","0","693","0","4735","1","1","false"
"L2441","12","0","103","0","4735","1","1","false"
"L2442","378","0","1379","0","4735","1","1","false"
"L2443","135","0","659","0","4735","1","1","false"
"L2444","5","0","43","0","4735","1","1","false"
"L2445","163","0","573","0","4735","1","1","false"
"L2446","1","0","1","0","4735","1","1","false"
"L2447","110","0","488","0","4735","1","1","false"
"L2448","1","0","11","0","4735","1","1","false"
"L2449","1","0","16","0","4735","1","1","false"
"L2450","10","0","67","0","4735","1","1","false"
"L2451","1","0","10","0","4735","1","1","false"
"L1345","9","0","112","0","4735","1","1","false"
"L1346","17","0","150","0","4735","1","1","false"
"L1347","246","0","1345","0","4735","1","1","false"
"L7303","17","0","84","0","4735","1","2","true"
"L7304","1","0","9","0","4735","1","2","false"
"L7305","1","0","17","0","4735","1","2","false"
"L7306","1","0","12","0","4735","1","2","false"
"L7307","1","0","9","0","4735","1","2","false"
"L7308","1","0","12","0","4735","1","2","false"
"L7309","1","0","14","0","4735","1","3","false"
"L7310","1","0","9","0","4735","1","2","false"
"L7311","1","0","4","0","4735","1","2","false"
"L7312","14","0","69","1","4735","2","4","false"
"L7313","28","0","159","0","4735","2","24","false"
"L7316","1","0","9","0","11","2","5","false"
"L7317","1","0","15","0","4735","1","2","false"
"L7318","1","0","5","0","4735","1","2","false"
"L7319","5","0","197","0","762","3","6","false"
"L7320","1","0","7","0","4735","1","2","false"
"L7321","1","0","6","0","11","2","2","false"
"L7322","3","0","31","0","4735","1","2","false"
"L7323","1","0","4","0","4735","1","2","false"
"L7324","1","0","12","0","4735","1","2","false"
"L7325","1","0","24","0","4735","2","3","false"
"L7326","1","0","5","0","4735","1","2","false"
"L7327","1","0","11","0","4735","1","2","false"
"L7328","1","0","6","0","4735","1","2","false"
"L7329","1","0","7","0","4735","1","2","false"
"L7330","1","0","22","0","4735","1","2","false"
"L7331","1","0","8","0","4735","1","2","false"
"L7332","15","0","70","0","4735","1","2","false"
"L7333","1","0","12","0","4735","1","2","false"
"L7334","2","0","54","0","4735","2","4","false"
"L7335","2","0","20","0","11","2","4","false"
"L7336","2","0","10","0","11","2","2","false"
"L7337","9","0","39","0","4735","1","2","false"
"L26484","25","0","200","0","4735","2","7","false"
"L26486","1","0","10","0","11","2","3","false"
"L26740","1","0","85","0","762","4","8","false"
"L26741","1","0","62","0","4735","2","4","false"
"L26742","1","0","148","0","4735","3","7","false"
"L26744","1","0","150","0","11","2","2","false"
"L28877","20","0","108","1","4735","1","2","false"
"L28881","1","0","19","0","4735","1","1","true"
"L28882","2","0","179","0","4735","1","3","true"
"L34155","50","0","250","0","4735","1","1","false"
"L34156","48","0","339","0","4735","1","3","false"
"L34160","31","0","181","0","4735","1","1","false"
"L34167","5","0","35","0","4735","1","1","false"
"L34170","187","0","820","0","4735","2","2","false"
"L34171","15","0","138","0","4735","1","2","false"
"L56297","1","0","18","0","4735","1","2","true"
"L56302","1","0","15","0","4735","1","2","false"
"L57981","16","0","129","0","4735","1","2","false"
"L57984","43","0","196","0","4735","1","6","false"
"L57985","2","0","20","0","4735","1","1","false"
"L58101","1","0","14","0","4735","1","1","false"
"L58104","49","0","225","0","4735","2","9","true"
"L59172","1","0","50","0","4735","1","1","false"
"L59175","15","0","173","0","4735","1","4","false"
"L59179","1","0","58","0","4735","1","1","false"
"L59749","3","0","48","0","4735","1","2","false"
"L59752","2","0","19","0","4735","1","1","false"
"L83616","1","0","33","0","4735","1","1","false"
"L83617","1","0","44","0","4735","1","4","false"
"L83618","1","0","18","0","4735","1","1","false"
"L83619","11","0","74","0","4735","1","1","false"
"L83620","18","0","299","0","4735","2","6","false"
"L83625","1","0","143","1","4735","2","2","false"
"L85933","2","0","16","0","4735","1","1","false"
"L85937","3","0","48","0","4735","1","1","false"
"L85939","28","0","180","0","4735","1","1","false"
"L86483","10","0","101","0","4735","1","2","false"
"L86484","1","0","58","0","4735","1","1","false"
"L89174","1","0","53","0","4735","1","2","false"
"L89175","2","0","35","0","4735","1","1","false"
"L89176","1","0","21","0","4735","1","3","false"
"L89177","45","0","253","0","4735","1","2","false"
"L89178","2","0","36","0","4735","1","1","false"
"L89179","58","0","299","0","4735","2","7","false"
"L89180","2","0","35","0","4735","1","1","false"
"L89457","24","0","172","0","4735","1","2","false"
"L89458","1","0","12","0","4735","1","1","false"
"L89459","1","0","4","0","4735","1","1","false"
"L89462","1","0","30","0","4735","1","3","false"
"L89465","1","0","22","0","4735","1","1","false"
"L89467","6","0","90","0","4735","1","2","false"
"L91712","23","0","221","0","4735","1","2","false"
"L92341","1","0","6","0","4735","1","1","false"
"L92342","1","0","5","0","18","2","2","false"
"L92348","22","0","181","0","4735","1","3","false"
"L92349","1","0","14","0","4735","2","2","false"
"L92757","1","0","41","0","4735","1","3","false"
"L92758","1","0","11","0","4735","1","1","false"
"L92760","1","0","38","0","4735","1","1","false"
"L92765","66","0","585","0","4735","2","6","true"
"L103722","39","0","445","0","4735","2","21","false"
"L103723","4","0","57","0","4735","1","2","false"
"L103725","8","0","141","0","4735","1","4","false"
"L104044","8","0","67","0","4735","1","1","false"
"L104055","1","0","50","0","4735","1","1","false"
"L104056","3","0","33","0","4735","1","1","false"
"L104058","4","0","64","0","4735","1","1","false"
"L104062","20","0","309","0","4735","1","2","true"
"L104065","1","0","99","0","4735","1","1","false"
"L104066","1","0","24","0","4735","1","1","false"
"L5160","51","0","297","0","4735","1","1","false"
"L5161","1","0","20","0","4735","1","3","false"
"L5162","7","0","71","1","4735","2","6","true"
"L5163","1","0","15","0","4735","2","3","false"
"L5164","9","0","79","1","4735","2","7","true"
"L5165","2","0","20","0","4735","1","1","false"
"L5962","4","0","28","0","4735","1","3","false"
"L5963","1","0","6","0","4735","1","2","false"
"L5964","126","0","633","1","4735","2","16","true"
"L5965","4","0","31","0","4735","1","3","false"
"L5966","65","0","278","1","319","3","10","false"
"L6396","1","0","13","1","4735","1","3","false"
"L6397","14","0","76","0","4735","2","5","false"
"L6398","15","0","71","0","4735","1","2","false"
"L6399","11","0","72","0","4735","1","2","false"
"L6707","9","0","75","0","11","2","2","false"
"L6708","6","0","57","0","4735","1","1","false"
"L6709","1","0","17","0","4735","1","1","false"
"L6710","5","0","34","0","4735","1","1","true"
"L6711","5","0","34","0","4735","1","1","false"
"L6712","5","0","34","0","4735","1","1","false"
"L7826","1","0","1","0","4735","1","2","false"
"L16652","1","0","27","0","4735","2","3","false"
"L16653","5","0","50","0","4735","1","2","false"
"L16654","21","0","190","0","4735","1","2","false"
"L16655","17","0","199","0","4735","1","2","false"
"L16656","52","0","271","0","4735","2","7","false"
"L16657","1","0","59","0","11","2","2","false"
"L16658","7","0","74","0","4735","1","2","false"
"L16659","6","0","60","0","4735","1","2","false"
"L16660","3","0","38","0","4735","1","2","false"
"L16661","38","0","240","1","4735","2","9","true"
"L16662","43","0","281","1","4735","2","17","true"
"L17846","1","0","18","0","11","2","2","false"
"L17847","11","0","193","0","4735","2","7","false"
"L17848","1","0","64","0","4735","2","3","false"
"L17849","1","0","32","0","4735","1","2","false"
"L17850","1","0","1","0","11","2","2","false"
"L17851","8","0","76","0","4735","2","7","false"
"L17852","1","0","27","0","4735","1","2","false"
"L17853","9","0","137","0","4735","2","9","false"
"L18147","1","0","18","0","11","2","2","false"
"L18148","8","0","157","0","11","2","4","true"
"L18149","1","0","68","0","4735","2","4","false"
"L18150","1","0","68","0","4735","1","2","false"
"L18151","1","0","1","0","4735","1","2","false"
"L18152","14","0","167","2","4735","2","7","false"
"L18635","1","0","18","0","11","2","2","false"
"L18636","10","0","183","0","4735","2","8","false"
"L18637","1","0","92","0","4735","2","3","false"
"L18638","3","0","43","0","4735","1","2","false"
"L18639","13","0","106","0","4735","2","7","false"
"L18640","1","0","54","0","4735","1","2","false"
"L18641","1","0","1","0","4735","1","2","false"
"L18642","14","0","121","0","4735","2","7","false"
"L18643","1","0","14","0","4735","1","2","false"
"L18644","3","0","55","0","11","2","5","false"
"L18645","3","0","60","0","11","2","6","false"
"L18646","3","0","82","0","11","2","6","false"
"L19076","1","0","16","0","762","1","1","false"
"L19077","6","0","141","0","4735","2","2","false"
"L19078","3","0","70","0","4735","2","2","false"
"L19079","4","0","57","0","762","1","1","false"
"L19080","5","0","46","0","762","1","1","false"
"L19081","1","0","1","0","762","1","1","false"
"L19082","8","0","117","0","4735","2","2","true"
