"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L109","ConcurrentHashMapV8.java","src/main/java/jsr166e/ConcurrentHashMapV8.java","L108","575","0","2143","0","4735","1","1","0"
"L110","DoubleAdder.java","src/main/java/jsr166e/DoubleAdder.java","L108","13","0","91","0","4735","1","1","0"
"L111","DoubleMaxUpdater.java","src/main/java/jsr166e/DoubleMaxUpdater.java","L108","18","0","91","0","4735","1","1","0"
"L112","LongAdder.java","src/main/java/jsr166e/LongAdder.java","L108","13","0","88","0","4735","1","1","0"
"L113","LongAdderTable.java","src/main/java/jsr166e/LongAdderTable.java","L108","7","0","62","0","4735","1","1","0"
"L114","LongMaxUpdater.java","src/main/java/jsr166e/LongMaxUpdater.java","L108","18","0","86","0","4735","1","1","0"
"L115","package-info.java","src/main/java/jsr166e/package-info.java","L108","1","0","1","0","4735","1","1","0"
"L116","SequenceLock.java","src/main/java/jsr166e/SequenceLock.java","L108","20","0","158","0","4735","1","1","0"
"L117","Striped64.java","src/main/java/jsr166e/Striped64.java","L108","33","0","172","0","4735","1","1","0"
"L2440","ConcurrentLinkedDeque.java","src/main/java/jsr166y/ConcurrentLinkedDeque.java","L2439","169","0","693","0","4735","1","1","0"
"L2441","CountedCompleter.java","src/main/java/jsr166y/CountedCompleter.java","L2439","12","0","103","0","4735","1","1","0"
"L2442","ForkJoinPool.java","src/main/java/jsr166y/ForkJoinPool.java","L2439","378","0","1379","0","4735","1","1","0"
"L2443","ForkJoinTask.java","src/main/java/jsr166y/ForkJoinTask.java","L2439","135","0","659","0","4735","1","1","0"
"L2444","ForkJoinWorkerThread.java","src/main/java/jsr166y/ForkJoinWorkerThread.java","L2439","5","0","43","0","4735","1","1","0"
"L2445","LinkedTransferQueue.java","src/main/java/jsr166y/LinkedTransferQueue.java","L2439","163","0","573","0","4735","1","1","0"
"L2446","package-info.java","src/main/java/jsr166y/package-info.java","L2439","1","0","1","0","4735","1","1","0"
"L2447","Phaser.java","src/main/java/jsr166y/Phaser.java","L2439","110","0","488","0","4735","1","1","0"
"L2448","RecursiveAction.java","src/main/java/jsr166y/RecursiveAction.java","L2439","1","0","11","0","4735","1","1","0"
"L2449","RecursiveTask.java","src/main/java/jsr166y/RecursiveTask.java","L2439","1","0","16","0","4735","1","1","0"
"L2450","ThreadLocalRandom.java","src/main/java/jsr166y/ThreadLocalRandom.java","L2439","10","0","67","0","4735","1","1","0"
"L2451","TransferQueue.java","src/main/java/jsr166y/TransferQueue.java","L2439","1","0","10","0","4735","1","1","0"
"L1345","AtomicDouble.java","src/main/java/jsr166e/extra/AtomicDouble.java","L1344","9","0","112","0","4735","1","1","0"
"L1346","AtomicDoubleArray.java","src/main/java/jsr166e/extra/AtomicDoubleArray.java","L1344","17","0","150","0","4735","1","1","0"
"L1347","ReadMostlyVector.java","src/main/java/jsr166e/extra/ReadMostlyVector.java","L1344","246","0","1345","0","4735","1","1","0"
"L6242","ElasticSearchException.java","src/main/java/org/elasticsearch/ElasticSearchException.java","L6241","16","0","78","1","4735","1","3","0"
"L6243","ElasticSearchGenerationException.java","src/main/java/org/elasticsearch/ElasticSearchGenerationException.java","L6241","1","0","9","0","4735","1","2","0"
"L6244","ElasticSearchIllegalArgumentException.java","src/main/java/org/elasticsearch/ElasticSearchIllegalArgumentException.java","L6241","1","0","17","0","4735","1","2","0"
