@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L109","575","0","2143","0","4735","1","1","false"
"L110","13","0","91","0","4735","1","1","false"
"L111","18","0","91","0","4735","1","1","false"
"L112","13","0","88","0","4735","1","1","false"
"L113","7","0","62","0","4735","1","1","false"
"L114","18","0","86","0","4735","1","1","false"
"L115","1","0","1","0","4735","1","1","false"
"L116","20","0","158","0","4735","1","1","false"
"L117","33","0","172","0","4735","1","1","false"
"L2440","169","0","693","0","4735","1","1","false"
"L2441","12","0","103","0","4735","1","1","false"
"L2442","378","0","1379","0","4735","1","1","false"
"L2443","135","0","659","0","4735","1","1","false"
"L2444","5","0","43","0","4735","1","1","false"
"L2445","163","0","573","0","4735","1","1","false"
"L2446","1","0","1","0","4735","1","1","false"
"L2447","110","0","488","0","4735","1","1","false"
"L2448","1","0","11","0","4735","1","1","false"
"L2449","1","0","16","0","4735","1","1","false"
"L2450","10","0","67","0","4735","1","1","false"
"L2451","1","0","10","0","4735","1","1","false"
"L1345","9","0","112","0","4735","1","1","false"
"L1346","17","0","150","0","4735","1","1","false"
"L1347","246","0","1345","0","4735","1","1","false"
"L6242","16","0","78","1","4735","1","3","false"
"L6243","1","0","9","0","4735","1","2","false"
"L6244","1","0","17","0","4735","1","2","false"
"L6245","1","0","12","0","4735","1","2","false"
"L6246","1","0","9","0","4735","1","2","false"
"L6247","1","0","12","0","4735","1","2","false"
"L6248","1","0","14","0","4735","1","3","false"
"L6249","1","0","9","0","4735","1","2","false"
"L6250","1","0","4","0","4735","1","2","false"
"L6251","14","0","69","1","4735","2","4","false"
"L6252","43","0","221","0","4735","2","39","false"
"L6255","1","0","9","0","4735","2","6","false"
"L6256","1","0","15","0","4735","1","2","false"
"L6257","1","0","5","0","4735","1","2","false"
"L6258","5","0","199","0","762","3","7","false"
"L6259","1","0","31","0","4735","1","3","false"
"L6260","1","0","33","0","4735","2","3","false"
"L6261","3","0","31","0","4735","1","2","false"
"L6262","1","0","15","0","4735","1","3","false"
"L6263","1","0","12","0","4735","1","2","false"
"L6264","1","0","24","0","4735","2","3","false"
"L6265","1","0","5","0","4735","1","2","false"
"L6266","1","0","11","0","4735","1","2","true"
"L6267","1","0","6","0","4735","1","2","false"
"L6268","1","0","7","0","4735","1","2","false"
"L6269","1","0","22","0","4735","1","2","false"
"L6270","1","0","8","0","4735","1","2","false"
"L6271","15","0","70","0","4735","1","2","false"
"L6272","1","0","12","0","4735","1","2","false"
"L6273","2","0","54","0","4735","2","4","false"
"L6274","2","0","20","0","11","2","4","false"
"L6275","2","0","10","0","11","2","2","false"
"L6276","9","0","39","0","4735","1","2","false"
"L26047","25","0","200","0","4735","2","7","true"
"L26049","1","0","10","0","11","2","3","false"
"L26445","1","0","85","0","4735","4","9","false"
"L26446","1","0","62","0","4735","2","5","false"
"L26447","1","0","154","0","4735","4","9","false"
"L26449","1","0","150","0","762","3","3","false"
"L28591","20","0","108","1","4735","1","2","false"
"L28593","7","0","51","0","1466","1","1","false"
"L28595","1","0","23","0","89","2","3","true"
"L28596","41","0","428","0","4735","1","4","true"
"L28599","1","0","6","0","0","0","1","false"
"L34874","28","0","39","0","4735","1","1","false"
"L34875","50","0","250","0","4735","1","1","false"
"L34876","57","0","412","0","762","2","7","false"
"L34879","1","0","15","0","4735","1","1","false"
"L34881","31","0","181","0","4735","1","1","false"
"L34884","1","0","72","0","4735","1","2","false"
"L34886","9","0","42","0","89","1","1","false"
"L34891","187","0","824","0","4735","2","3","false"
"L34892","15","0","139","0","4735","2","4","false"
"L57191","1","0","20","0","4735","1","3","true"
"L57196","1","0","15","0","4735","1","2","false"
"L58905","16","0","129","0","4735","1","2","false"
"L58908","43","0","196","0","4735","1","6","false"
"L58909","2","0","20","0","4735","1","1","false"
"L59025","1","0","14","0","4735","1","1","false"
"L59028","49","0","225","0","4735","2","10","true"
"L60092","1","0","65","0","4735","1","2","false"
"L60095","15","0","173","0","4735","1","5","false"
"L60098","1","0","9","0","4735","1","1","false"
"L60099","1","0","58","0","4735","1","1","false"
"L60682","3","0","48","0","1466","2","3","false"
"L60685","2","0","19","0","4735","1","1","false"
"L89117","1","0","33","0","4735","1","1","false"
"L89118","1","0","44","0","4735","1","4","false"
"L89119","1","0","18","0","4735","1","1","false"
"L89120","11","0","74","0","4735","1","1","false"
"L89121","18","0","308","0","4735","3","11","false"
"L89126","1","0","122","1","4735","2","3","false"
"L91546","2","0","16","0","4735","1","1","false"
"L91550","3","0","48","0","4735","1","1","false"
"L91552","28","0","180","0","4735","1","1","false"
"L92114","10","0","101","0","4735","1","2","false"
"L92115","1","0","58","0","4735","1","1","false"
"L94822","1","0","53","0","4735","1","2","false"
"L94823","2","0","35","0","4735","1","1","false"
"L94824","1","0","21","0","4735","1","3","false"
"L94825","56","0","269","0","4735","3","5","true"
"L94826","2","0","36","0","4735","1","1","false"
"L94827","58","0","299","0","4735","2","7","false"
"L94828","2","0","35","0","4735","1","1","false"
"L95105","1","0","27","0","319","1","1","false"
"L95107","1","0","34","0","319","1","1","false"
"L95109","24","0","172","0","9","2","3","false"
"L95110","1","0","12","0","4735","1","1","false"
"L95111","1","0","4","0","4735","1","1","false"
"L95114","1","0","30","0","4735","1","3","false"
"L95115","1","0","16","0","319","1","1","false"
"L95116","1","0","64","0","1466","1","1","false"
"L95117","1","0","23","0","319","2","2","false"
"L95118","7","0","70","0","319","1","1","false"
"L95119","7","0","106","0","319","2","3","false"
"L97410","23","0","221","0","4735","1","2","false"
"L98037","1","0","59","0","762","1","2","false"
"L98039","1","0","6","0","4735","1","1","false"
"L98040","1","0","5","0","18","2","2","false"
"L98046","24","0","194","0","4735","2","6","false"
"L98047","1","0","16","0","762","3","4","false"
"L98454","1","0","41","0","4735","1","3","false"
"L98455","1","0","11","0","4735","1","1","false"
"L98457","1","0","38","0","4735","1","1","false"
"L98462","66","0","586","1","4735","4","10","false"
"L98463","16","0","103","0","4735","1","1","false"
"L108601","101","0","730","0","319","2","25","true"
"L108602","4","0","57","0","4735","1","2","false"
"L108604","10","0","169","0","4735","1","7","false"
"L109041","1","0","3","0","4735","1","1","false"
"L109042","1","0","3","0","4735","1","1","false"
"L109045","1","0","23","0","4735","1","1","false"
"L109047","1","0","14","0","4735","1","1","false"
"L109051","8","0","66","0","4735","1","2","false"
"L109057","1","0","18","0","4735","1","1","false"
"L109058","1","0","8","0","4735","1","1","false"
"L109062","1","0","50","0","4735","1","1","false"
"L109063","3","0","33","0","4735","1","1","false"
"L109064","6","0","60","0","4735","1","1","false"
"L109065","1","0","6","0","4735","1","1","false"
"L109066","4","0","64","0","4735","1","1","false"
"L109067","6","0","60","0","4735","1","1","false"
"L109068","1","0","7","0","4735","1","1","false"
"L109071","20","0","305","0","4735","1","4","true"
"L109074","1","0","99","0","4735","1","1","false"
"L4658","1","0","25","0","4735","2","2","false"
"L4767","7","0","69","2","4735","4","10","false"
"L4768","9","0","77","2","4735","4","11","false"
"L4879","2","0","22","0","1466","1","1","false"
"L4880","48","0","233","0","1466","1","1","false"
"L5616","9","0","75","0","11","2","2","false"
"L5617","7","0","161","0","1466","1","1","false"
"L5618","6","0","56","0","1466","2","2","true"
"L6851","1","0","1","0","4735","1","2","false"
"L15796","1","0","27","0","4735","2","3","false"
"L15797","5","0","50","0","4735","1","2","false"
"L15798","21","0","190","0","1466","2","3","false"
"L15799","17","0","204","0","4735","1","4","false"
"L15800","55","0","300","0","4735","2","9","true"
"L15801","1","0","60","0","4735","2","3","false"
"L15802","7","0","76","0","4735","1","3","false"
"L15803","6","0","60","0","4735","1","3","false"
"L15804","3","0","40","0","4735","1","3","false"
"L15805","38","0","242","2","4735","2","11","false"
"L15806","47","0","296","2","4735","2","19","true"
"L17022","1","0","18","0","11","2","2","false"
"L17023","4","0","143","0","4735","2","9","false"
"L17024","1","0","48","0","4735","3","6","false"
"L17025","1","0","32","0","4735","1","2","false"
"L17026","1","0","1","0","11","2","2","false"
"L17027","8","0","74","0","1466","3","9","false"
"L17028","1","0","27","0","4735","1","2","false"
"L17029","9","0","139","0","4735","3","12","false"
"L17305","1","0","18","0","11","2","2","false"
"L17306","6","0","127","1","4735","2","6","false"
"L17307","1","0","57","0","4735","2","5","false"
"L17308","1","0","69","0","4735","1","3","false"
"L17309","1","0","1","0","4735","1","2","false"
"L17310","13","0","168","2","4735","2","8","false"
"L17784","1","0","18","0","11","2","2","false"
"L17785","5","0","132","0","4735","2","9","false"
"L17786","1","0","76","0","4735","2","4","false"
"L17787","3","0","44","0","4735","1","4","false"
"L17788","13","0","106","0","4735","2","8","false"
"L17789","1","0","55","0","4735","1","3","false"
"L17790","1","0","1","0","4735","1","2","false"
"L17791","11","0","113","0","4735","2","8","false"
"L17792","1","0","15","0","4735","1","3","false"
"L17793","3","0","61","0","4735","2","6","false"
