@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L125","0.310201","25","321","71","0.206822","0.294925","667","645","1","8","5","440","36","23","23","35","107","1","0.421949","892","880","54","0","0.305521","974","0","0","0","0","0","1222","2233","10","3","10","3","72","0","53","0","72","783","0","53","0","2214","3225","138","67","124","4","132","0","87","1","602","1322","0","349","32","0","33","607","40","566","0","3","282","0","262","0","0","0","71","126","2","0","159","231","2","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","39","66","1","1","0","0","false"
"L254","0","0","0","0","0","0","0","0","0","0","0","4","0","1","3","0","4","1","0.734694","36","36","3","0","0.734694","36","0","0","0","0","0","13","46","1","0","1","0","4","0","2","0","4","3","0","2","0","13","46","1","0","1","0","4","0","2","0","4","3","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L1470","0.295154","27","327","81","0.193035","0.277213","1153","1146","8","11","8","562","60","19","39","54","145","0.971429","0.472115","1473","1424","68","2","0.299411","1780","0","0","0","0","0","1647","3217","39","2","39","2","91","0","69","1","91","1079","0","69","1","4165","5973","248","426","229","31","304","0","212","3","2986","2654","0","1812","167","0","72","1442","28","1203","0","18","498","0","538","0","8","0","99","288","6","0","403","573","1","0","4","4","0","0","0","0","0","0","0","0","0","0","9","0","5","214","61","5","1","28","0","false"
"L3401","0.405159","3","15","3","0.132791","0.312102","49","49","2","3","3","49","1","35","32","2","26","1","0.790368","558","558","18","0","0.78042","558","1","1","1","32","1","148","360","19","12","5","5","24","0","17","2","80","76","0","49","5","157","369","19","12","5","5","25","0","18","2","81","83","0","50","5","0","1","46","8","39","0","1","13","0","34","0","1","0","0","8","0","0","22","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","1","0","0","false"
"L4422","0","0","0","0","0","0","0","0","3","3","3","25","3","0","0","5","18","1","0.508571","89","89","11","0","0.508571","89","1","1","0","0","1","86","170","9","1","1","0","13","0","10","0","19","49","0","10","0","86","170","9","1","1","0","13","0","10","0","19","49","0","10","0","0","0","7","2","11","0","0","4","0","0","0","1","0","0","3","0","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L4499","0","0","0","0","0","0","0","0","2","4","4","30","3","0","0","5","18","1","0.494118","84","84","11","0","0.494118","84","1","1","0","0","1","86","165","10","1","2","0","13","0","10","0","19","53","0","10","0","86","165","10","1","2","0","13","0","10","0","19","53","0","10","0","0","0","7","2","12","0","0","6","0","0","0","1","0","2","2","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L308","0.346593","33","184","35","0.178816","0.334524","574","562","3","10","10","500","12","8","31","30","102","1","0.498496","1326","1220","35","0","0.486946","1604","0","0","0","0","0","1334","2715","80","13","80","13","72","1","34","0","72","899","1","34","0","1690","3210","139","21","125","14","101","1","42","1","157","1133","1","72","4","0","10","374","15","602","0","4","242","0","217","0","1","0","59","109","2","0","245","68","4","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","27","17","0","2","1","0","false"
"L347","0.456465","16","91","16","0.229013","0.440922","311","306","10","9","8","209","8","45","87","21","80","0.941176","0.537828","718","706","32","2","0.514817","747","0","0","9","48","0","617","1271","14","8","14","8","59","0","33","4","59","382","0","33","4","704","1358","27","40","27","12","81","0","49","8","305","428","0","169","20","0","7","240","16","201","0","3","116","0","122","0","5","0","16","26","1","0","57","73","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","23","16","0","1","2","0","false"
"L5419","0.514563","1","4","1","0.18","0.486486","18","18","1","3","3","9","2","5","1","3","9","1","0.663636","73","69","4","0","0.663636","73","0","0","0","0","0","37","100","2","2","2","2","6","0","3","0","6","15","0","3","0","37","100","2","2","2","2","6","0","3","0","6","15","0","3","0","0","0","14","2","4","0","0","2","0","12","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","false"
"L6581","0","0","0","0","0","0","0","0","3","3","3","27","3","6","23","5","20","1","0.526012","91","91","13","0","0.526012","91","1","1","0","0","1","82","162","9","1","1","0","15","0","12","0","21","50","0","12","0","82","162","9","1","1","0","15","0","12","0","21","50","0","12","0","0","0","5","2","11","0","0","4","0","0","0","1","0","0","3","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L6619","0","0","0","0","0","0","0","0","1","1","1","21","3","0","0","12","27","1","0.655844","101","101","16","0","0.639241","101","0","0","0","0","0","53","160","3","0","3","0","15","0","15","0","15","26","0","15","0","57","164","3","0","3","0","16","0","16","0","16","27","0","16","0","0","0","5","0","7","0","0","5","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
