"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L109","CompletableFuture.java","src/main/java/jsr166e/CompletableFuture.java","L108","585","0","2225","0","4735","1","3","0"
"L110","CompletionException.java","src/main/java/jsr166e/CompletionException.java","L108","1","0","14","0","4735","1","1","0"
"L111","ConcurrentHashMapV8.java","src/main/java/jsr166e/ConcurrentHashMapV8.java","L108","1034","0","4187","0","4735","1","3","0"
"L112","CountedCompleter.java","src/main/java/jsr166e/CountedCompleter.java","L108","28","0","158","0","4735","1","2","0"
"L113","DoubleAdder.java","src/main/java/jsr166e/DoubleAdder.java","L108","13","0","88","0","4735","1","2","0"
"L114","DoubleMaxUpdater.java","src/main/java/jsr166e/DoubleMaxUpdater.java","L108","18","0","88","0","4735","1","2","0"
"L115","ForkJoinPool.java","src/main/java/jsr166e/ForkJoinPool.java","L108","524","0","1705","0","4735","1","3","0"
"L116","ForkJoinTask.java","src/main/java/jsr166e/ForkJoinTask.java","L108","160","0","721","0","4735","1","2","0"
"L117","ForkJoinWorkerThread.java","src/main/java/jsr166e/ForkJoinWorkerThread.java","L108","4","0","38","0","4735","1","2","0"
"L118","LongAdder.java","src/main/java/jsr166e/LongAdder.java","L108","13","0","85","0","4735","1","2","0"
"L119","LongAdderTable.java","src/main/java/jsr166e/LongAdderTable.java","L108","7","0","62","0","4735","1","2","0"
"L120","LongMaxUpdater.java","src/main/java/jsr166e/LongMaxUpdater.java","L108","18","0","83","0","4735","1","2","0"
"L121","RecursiveAction.java","src/main/java/jsr166e/RecursiveAction.java","L108","1","0","11","0","4735","1","1","0"
"L122","RecursiveTask.java","src/main/java/jsr166e/RecursiveTask.java","L108","1","0","16","0","4735","1","1","0"
"L123","StampedLock.java","src/main/java/jsr166e/StampedLock.java","L108","285","0","784","0","4735","1","3","0"
"L124","Striped64.java","src/main/java/jsr166e/Striped64.java","L108","35","0","174","0","4735","1","2","0"
"L7090","ConcurrentLinkedDeque.java","src/main/java/jsr166y/ConcurrentLinkedDeque.java","L7089","171","0","695","0","4735","1","2","0"
"L7091","CountedCompleter.java","src/main/java/jsr166y/CountedCompleter.java","L7089","27","0","157","0","4735","1","2","0"
"L7092","ForkJoinPool.java","src/main/java/jsr166y/ForkJoinPool.java","L7089","571","0","1755","0","4735","1","2","0"
"L7093","ForkJoinTask.java","src/main/java/jsr166y/ForkJoinTask.java","L7089","149","0","692","0","4735","1","2","0"
"L7094","ForkJoinWorkerThread.java","src/main/java/jsr166y/ForkJoinWorkerThread.java","L7089","4","0","38","0","4735","1","2","0"
"L7095","LinkedTransferQueue.java","src/main/java/jsr166y/LinkedTransferQueue.java","L7089","165","0","575","0","4735","1","2","0"
"L7096","package-info.java","src/main/java/jsr166y/package-info.java","L7089","1","0","1","0","4735","1","3","0"
"L7097","Phaser.java","src/main/java/jsr166y/Phaser.java","L7089","112","0","490","0","4735","1","2","0"
"L7098","RecursiveAction.java","src/main/java/jsr166y/RecursiveAction.java","L7089","1","0","11","0","4735","1","2","0"
"L7099","RecursiveTask.java","src/main/java/jsr166y/RecursiveTask.java","L7089","1","0","16","0","4735","1","2","0"
"L7100","ThreadLocalRandom.java","src/main/java/jsr166y/ThreadLocalRandom.java","L7089","10","0","67","0","4735","1","1","0"
"L7101","TransferQueue.java","src/main/java/jsr166y/TransferQueue.java","L7089","1","0","10","0","4735","1","1","0"
"L4537","AtomicDouble.java","src/main/java/jsr166e/extra/AtomicDouble.java","L4536","11","0","114","0","4735","1","3","0"
"L4538","AtomicDoubleArray.java","src/main/java/jsr166e/extra/AtomicDoubleArray.java","L4536","19","0","152","0","4735","1","3","0"
"L4539","ReadMostlyVector.java","src/main/java/jsr166e/extra/ReadMostlyVector.java","L4536","254","0","1346","0","4735","1","2","0"
"L4540","SequenceLock.java","src/main/java/jsr166e/extra/SequenceLock.java","L4536","20","0","158","0","4735","1","1","0"
"L11574","Build.java","src/main/java/org/elasticsearch/Build.java","L11573","1","0","46","0","4735","1","1","1"
"L11575","ElasticSearchException.java","src/main/java/org/elasticsearch/ElasticSearchException.java","L11573","16","0","78","1","4735","1","3","0"
"L11576","ElasticSearchGenerationException.java","src/main/java/org/elasticsearch/ElasticSearchGenerationException.java","L11573","1","0","9","0","4735","1","2","0"
