@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L109","585","0","2225","0","4735","1","3","false"
"L110","1","0","14","0","4735","1","1","false"
"L111","1034","0","4187","0","4735","1","3","false"
"L112","28","0","158","0","4735","1","2","false"
"L113","13","0","88","0","4735","1","2","false"
"L114","18","0","88","0","4735","1","2","false"
"L115","524","0","1705","0","4735","1","3","false"
"L116","160","0","721","0","4735","1","2","false"
"L117","4","0","38","0","4735","1","2","false"
"L118","13","0","85","0","4735","1","2","false"
"L119","7","0","62","0","4735","1","2","false"
"L120","18","0","83","0","4735","1","2","false"
"L121","1","0","11","0","4735","1","1","false"
"L122","1","0","16","0","4735","1","1","false"
"L123","285","0","784","0","4735","1","3","false"
"L124","35","0","174","0","4735","1","2","false"
"L7090","171","0","695","0","4735","1","2","false"
"L7091","27","0","157","0","4735","1","2","false"
"L7092","571","0","1755","0","4735","1","2","false"
"L7093","149","0","692","0","4735","1","2","false"
"L7094","4","0","38","0","4735","1","2","false"
"L7095","165","0","575","0","4735","1","2","false"
"L7096","1","0","1","0","4735","1","3","false"
"L7097","112","0","490","0","4735","1","2","false"
"L7098","1","0","11","0","4735","1","2","false"
"L7099","1","0","16","0","4735","1","2","false"
"L7100","10","0","67","0","4735","1","1","false"
"L7101","1","0","10","0","4735","1","1","false"
"L4537","11","0","114","0","4735","1","3","false"
"L4538","19","0","152","0","4735","1","3","false"
"L4539","254","0","1346","0","4735","1","2","false"
"L4540","20","0","158","0","4735","1","1","false"
"L11574","1","0","46","0","4735","1","1","true"
"L11575","16","0","78","1","4735","1","3","false"
"L11576","1","0","9","0","4735","1","2","false"
"L11577","1","0","17","0","4735","1","2","false"
"L11578","1","0","12","0","4735","1","2","false"
"L11579","1","0","9","0","4735","1","2","false"
"L11580","1","0","12","0","4735","1","2","false"
"L11581","1","0","14","0","4735","1","3","false"
"L11582","1","0","9","0","4735","1","2","false"
"L11583","1","0","4","0","4735","1","2","false"
"L11584","14","0","69","1","4735","2","4","true"
"L11585","53","0","278","0","4735","4","60","true"
"L11588","1","0","9","0","4735","2","6","true"
"L11589","1","0","15","0","4735","1","2","true"
"L11590","1","0","5","0","4735","1","2","true"
"L11591","5","0","222","0","762","6","17","true"
"L11592","1","0","31","0","811","2","5","true"
"L11593","1","0","44","0","4735","3","6","true"
"L11594","3","0","31","0","4735","1","2","true"
"L11595","1","0","15","0","4735","1","3","true"
"L11596","1","0","12","0","4735","1","2","true"
"L11597","1","0","24","0","4735","2","3","true"
"L11598","1","0","5","0","4735","1","2","true"
"L11599","1","0","19","1","4735","1","3","true"
"L11600","1","0","6","0","4735","1","2","true"
"L11601","1","0","7","0","4735","1","2","true"
"L11602","1","0","22","0","4735","1","2","true"
"L11603","1","0","10","0","762","2","3","true"
"L11604","15","0","70","0","4735","1","2","true"
"L11605","1","0","12","0","4735","1","2","true"
"L11606","2","0","54","0","811","3","6","true"
"L11607","2","0","20","0","11","2","4","true"
"L11608","2","0","10","0","11","2","2","true"
"L11609","9","0","39","0","4735","1","2","true"
"L34009","25","0","202","1","244","4","9","true"
"L34011","1","0","10","0","11","2","3","false"
"L34935","1","0","97","0","762","6","12","false"
"L34936","1","0","75","0","762","4","7","false"
"L34937","1","0","177","0","762","4","16","false"
"L34939","1","0","157","0","319","5","6","false"
"L37249","24","0","124","1","762","3","4","false"
"L37250","1","0","51","1","474","2","3","false"
"L37251","7","0","51","0","1466","1","1","false"
"L37253","1","0","26","0","762","3","4","true"
"L37254","43","0","441","1","4735","1","6","true"
"L37256","1","0","5","0","4735","1","1","true"
"L37257","1","0","6","0","0","0","1","false"
"L37258","1","0","4","0","4735","1","1","true"
"L37260","1","0","5","0","4735","1","3","true"
"L44269","124","0","940","0","4735","2","2","false"
"L44270","28","0","39","0","4735","1","1","false"
"L44272","1","0","15","0","4735","1","1","false"
"L44273","10","0","61","0","1466","1","2","false"
"L44275","1","0","72","0","4735","1","2","false"
"L44277","14","0","62","0","4735","2","2","false"
"L44279","11","0","136","0","1466","1","1","false"
"L44280","187","0","832","0","1466","3","5","false"
"L44281","10","0","86","0","91","2","2","true"
"L65230","1","0","20","0","4735","1","3","true"
"L65235","1","0","15","0","4735","1","2","false"
"L67034","16","0","130","0","1466","2","4","false"
"L67037","43","0","198","0","319","2","7","false"
"L67038","2","0","20","0","4735","1","1","false"
"L67151","1","0","14","0","4735","1","1","false"
"L67154","49","0","229","0","4735","2","11","true"
"L68249","1","0","65","0","4735","1","2","false"
"L68252","15","0","174","0","1466","3","9","false"
"L68255","1","0","9","0","4735","1","1","false"
"L68256","1","0","52","0","811","2","2","false"
"L68831","1","0","30","0","4735","1","1","false"
"L68833","1","0","5","0","4735","1","1","false"
"L68834","3","0","48","0","1466","2","3","false"
"L68837","1","0","15","0","4735","1","2","false"
"L68840","1","0","13","0","4735","1","1","false"
"L68843","16","0","63","1","479","1","1","false"
"L96262","1","0","9","0","762","1","1","false"
"L96264","1","0","13","1","36","1","1","false"
"L96267","1","0","33","0","4735","1","2","false"
"L96268","1","0","50","0","762","2","7","false"
"L96269","1","0","19","0","4735","1","3","false"
"L96270","11","0","74","0","4735","1","2","false"
"L96271","48","0","381","0","762","4","20","true"
"L96276","1","0","102","1","762","3","7","false"
"L98878","10","0","101","0","4735","1","2","false"
"L98879","1","0","58","0","4735","1","1","false"
"L101602","1","0","17","0","762","1","1","false"
"L101603","1","0","8","0","762","1","1","false"
"L101604","47","0","308","0","474","2","3","true"
"L101605","9","0","111","0","762","1","2","true"
"L101785","1","0","53","0","4735","1","2","false"
"L101786","2","0","35","0","4735","1","1","false"
"L101787","1","0","21","0","4735","1","3","false"
"L101788","78","0","337","2","244","5","9","true"
"L101789","5","0","20","0","811","1","1","false"
"L101790","2","0","36","0","4735","1","1","false"
"L101791","75","0","352","0","811","3","9","true"
"L101792","2","0","35","0","4735","1","1","false"
"L102105","3","0","48","0","244","2","2","false"
"L102107","1","0","34","0","319","1","1","false"
"L102108","1","0","10","0","811","1","1","false"
"L102110","24","0","172","0","9","2","3","false"
"L102111","1","0","12","0","4735","1","1","false"
"L102112","1","0","4","0","4735","1","1","false"
"L102115","1","0","30","0","4735","1","3","false"
"L102116","1","0","20","0","244","2","2","false"
"L102117","1","0","64","0","1466","1","1","false"
"L102118","1","0","16","0","4735","2","4","false"
"L102119","7","0","70","0","4735","2","2","false"
"L102120","8","0","103","0","1466","4","7","false"
"L105092","6","0","59","0","1466","1","1","false"
"L105099","23","0","221","0","4735","1","2","true"
"L105724","1","0","59","0","762","1","2","false"
"L105726","1","0","6","0","4735","1","1","false"
"L105727","1","0","5","0","18","2","2","false"
"L105733","24","0","195","0","1466","3","8","false"
"L105734","1","0","16","0","762","3","4","false"
"L106141","1","0","41","0","4735","1","3","false"
"L106142","1","0","11","0","4735","1","1","false"
"L106144","1","0","42","0","479","3","4","false"
"L106149","67","0","591","1","4735","4","16","true"
"L106150","16","0","103","0","4735","1","1","false"
"L118484","102","0","700","2","762","4","35","true"
"L118485","4","0","57","0","4735","1","2","false"
"L118487","10","0","148","0","4735","1","7","false"
"L118895","1","0","3","0","4735","1","1","true"
"L118896","1","0","3","0","4735","1","1","false"
"L118899","1","0","23","0","4735","1","1","false"
"L118901","1","0","14","0","4735","1","1","false"
"L118905","9","0","73","0","4735","1","3","false"
"L118911","1","0","18","0","4735","1","1","false"
"L118912","1","0","8","0","4735","1","1","false"
"L118916","1","0","50","0","4735","1","1","false"
"L118917","2","0","29","0","4735","1","2","false"
"L118918","6","0","60","0","4735","1","1","false"
"L118919","1","0","6","0","4735","1","1","true"
"L118920","5","0","71","0","4735","1","2","false"
"L118921","6","0","60","0","4735","1","1","false"
"L118922","1","0","7","0","4735","1","1","false"
"L118925","21","0","309","0","4735","1","7","true"
"L118927","1","0","99","0","4735","1","1","false"
"L8927","1","0","25","0","4735","2","3","true"
"L9032","7","0","73","2","1466","4","12","true"
"L9033","9","0","81","2","1466","4","13","true"
"L9143","16","0","91","0","3","2","3","true"
"L11003","9","0","168","0","319","3","4","true"
"L11004","6","0","57","1","1466","2","5","true"
"L11005","4","0","20","0","319","1","1","true"
"L12229","1","0","1","0","4735","1","2","false"
"L22297","1","0","27","0","4735","2","3","false"
"L22298","7","0","55","0","762","3","5","false"
"L22299","27","0","174","0","4735","4","6","true"
"L22300","17","0","204","0","4735","1","4","true"
"L22301","64","0","352","3","474","6","17","true"
"L22302","1","0","70","0","762","3","4","false"
"L22303","7","0","70","0","811","2","4","false"
"L22304","7","0","65","0","762","3","6","false"
"L22305","3","0","40","0","811","2","4","false"
"L22306","47","0","266","2","479","6","16","true"
"L22307","80","0","494","3","479","5","25","true"
"L23685","1","0","18","0","11","2","2","false"
"L23686","4","0","154","0","91","4","13","true"
"L23687","1","0","52","0","91","5","9","false"
"L23688","1","0","29","0","811","2","3","true"
"L23689","1","0","1","0","11","2","2","false"
"L23690","8","0","74","0","811","4","11","true"
"L23691","1","0","27","0","811","2","3","false"
"L23692","9","0","141","0","4735","5","17","true"
"L23976","1","0","18","0","11","2","2","false"
"L23977","6","0","127","1","4735","3","9","false"
"L23978","1","0","57","0","811","3","7","false"
"L23979","1","0","54","0","4735","2","5","false"
"L23980","1","0","1","0","4735","1","2","false"
"L23981","13","0","169","2","479","4","11","false"
"L24443","1","0","18","0","11","2","2","false"
"L24444","5","0","132","0","811","3","11","false"
"L24445","1","0","76","0","811","3","6","false"
"L24446","9","0","61","0","762","3","6","false"
"L24447","13","0","106","0","811","3","10","false"
"L24448","5","0","64","0","762","3","5","false"
"L24449","1","0","1","0","4735","1","2","false"
"L24450","11","0","113","0","811","3","10","false"
"L24451","1","0","15","0","4735","1","3","false"
"L24452","3","0","61","0","811","3","8","false"
"L24453","3","0","67","0","762","4","9","false"
"L24454","3","0","82","0","811","3","8","false"
"L24885","1","0","16","0","762","1","1","false"
"L24886","8","0","156","0","479","4","7","true"
"L24887","7","0","98","0","479","4","7","false"
"L24888","6","0","69","0","811","3","4","false"
"L24889","5","0","46","0","811","2","2","false"
"L24890","1","0","1","0","762","1","1","false"
"L24891","12","0","136","1","479","7","14","true"
"L25316","1","0","18","0","11","2","2","false"
"L25317","14","0","183","0","479","5","11","false"
"L25318","5","0","88","0","479","5","9","false"
"L25319","1","0","82","0","4735","2","7","false"
"L25320","1","0","18","0","11","2","2","false"
"L25321","6","0","66","0","811","2","3","false"
"L25322","68","0","339","1","479","8","16","true"
"L25323","3","0","47","0","811","3","5","false"
"L25324","5","0","116","0","811","2","4","false"
"L25325","14","0","149","0","479","4","8","false"
"L25326","7","0","71","0","4735","1","3","false"
"L25327","1","0","1","0","4735","1","2","false"
"L25328","4","0","76","0","479","5","12","false"
"L25329","12","0","119","1","479","7","14","false"
"L25330","7","0","94","0","479","5","13","false"
"L26148","1","0","18","0","11","2","2","false"
"L26149","36","0","400","1","4735","6","20","true"
"L26150","1","0","145","0","762","4","9","false"
"L26151","1","0","54","0","4735","4","8","false"
"L26152","1","0","1","0","4735","1","2","false"
"L26153","20","0","233","2","762","6","16","true"
"L26623","1","0","19","0","11","2","2","false"
"L26624","30","0","398","3","244","6","14","false"
"L26625","1","0","116","1","811","4","7","false"
"L26626","1","0","1","0","4735","1","2","false"
"L26627","34","0","291","4","511","7","19","true"
"L27226","1","0","18","0","11","2","2","false"
"L27227","12","0","180","0","762","4","16","false"
"L27228","3","0","108","0","762","4","12","false"
"L27229","3","0","109","0","762","3","7","true"
"L27230","1","0","49","0","762","1","4","false"
"L27231","1","0","41","0","762","1","2","false"
"L27232","8","0","110","0","762","1","2","false"
"L27233","16","0","172","0","4735","4","17","true"
"L27726","1","0","18","0","4735","1","1","false"
"L27727","38","0","172","0","4735","4","15","false"
"L27728","5","0","33","0","811","3","5","false"
"L27729","8","0","122","1","811","3","5","false"
"L27730","1","0","1","0","4735","1","2","false"
"L27731","1","0","9","0","4735","1","2","false"
"L27732","1","0","18","0","11","2","2","false"
"L27733","11","0","40","0","4735","1","2","false"
"L27734","9","0","53","1","4735","1","3","false"
"L27735","15","0","275","0","1466","5","15","false"
"L27736","4","0","417","0","479","8","19","false"
"L27737","16","0","178","0","4735","4","9","false"
"L27738","1","0","18","0","11","2","2","false"
"L27739","4","0","76","0","811","3","8","false"
"L27740","1","0","43","0","811","3","6","false"
"L27741","14","0","55","0","4735","1","2","false"
"L27742","10","0","98","2","4735","2","6","false"
"L27743","6","0","90","0","1466","3","4","false"
"L27744","16","0","111","0","1466","5","10","false"
"L27745","7","0","81","0","1466","4","9","false"
"L30008","1","0","1","0","22","1","1","false"
"L30009","1","0","28","0","22","1","1","false"
"L30010","1","0","29","0","22","1","1","false"
"L30011","1","0","19","0","22","1","1","false"
"L30012","3","0","94","0","22","1","1","false"
"L30013","2","0","49","0","4735","2","2","false"
"L30014","2","0","48","0","22","1","1","true"
"L30015","10","0","131","0","4735","4","5","true"
"L30262","13","0","101","0","4735","1","3","false"
