"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L109","CompletableFuture.java","src/main/java/jsr166e/CompletableFuture.java","L108","584","0","2225","0","4735","1","4","0"
"L110","CompletionException.java","src/main/java/jsr166e/CompletionException.java","L108","1","0","14","0","4735","1","1","0"
"L111","ConcurrentHashMapV8.java","src/main/java/jsr166e/ConcurrentHashMapV8.java","L108","1049","0","4244","0","4735","1","5","0"
"L112","CountedCompleter.java","src/main/java/jsr166e/CountedCompleter.java","L108","28","0","158","0","4735","1","3","0"
"L113","DoubleAdder.java","src/main/java/jsr166e/DoubleAdder.java","L108","13","0","88","0","4735","1","2","0"
"L114","DoubleMaxUpdater.java","src/main/java/jsr166e/DoubleMaxUpdater.java","L108","18","0","88","0","4735","1","2","0"
"L115","ForkJoinPool.java","src/main/java/jsr166e/ForkJoinPool.java","L108","524","0","1705","0","4735","1","4","0"
"L116","ForkJoinTask.java","src/main/java/jsr166e/ForkJoinTask.java","L108","160","0","723","0","4735","1","3","0"
"L117","ForkJoinWorkerThread.java","src/main/java/jsr166e/ForkJoinWorkerThread.java","L108","4","0","38","0","4735","1","2","0"
"L118","LongAdder.java","src/main/java/jsr166e/LongAdder.java","L108","13","0","85","0","4735","1","2","0"
"L119","LongAdderTable.java","src/main/java/jsr166e/LongAdderTable.java","L108","7","0","62","0","4735","1","2","0"
"L120","LongMaxUpdater.java","src/main/java/jsr166e/LongMaxUpdater.java","L108","18","0","83","0","4735","1","2","0"
"L121","RecursiveAction.java","src/main/java/jsr166e/RecursiveAction.java","L108","1","0","11","0","4735","1","1","0"
"L122","RecursiveTask.java","src/main/java/jsr166e/RecursiveTask.java","L108","1","0","16","0","4735","1","2","0"
"L123","StampedLock.java","src/main/java/jsr166e/StampedLock.java","L108","306","0","810","0","4735","1","4","0"
"L124","Striped64.java","src/main/java/jsr166e/Striped64.java","L108","35","0","174","0","4735","1","2","0"
"L7160","ConcurrentLinkedDeque.java","src/main/java/jsr166y/ConcurrentLinkedDeque.java","L7159","171","0","695","0","4735","1","2","0"
"L7161","CountedCompleter.java","src/main/java/jsr166y/CountedCompleter.java","L7159","27","0","157","0","4735","1","3","0"
"L7162","ForkJoinPool.java","src/main/java/jsr166y/ForkJoinPool.java","L7159","571","0","1755","0","4735","1","3","0"
"L7163","ForkJoinTask.java","src/main/java/jsr166y/ForkJoinTask.java","L7159","149","0","694","0","4735","1","3","0"
"L7164","ForkJoinWorkerThread.java","src/main/java/jsr166y/ForkJoinWorkerThread.java","L7159","4","0","38","0","4735","1","2","0"
"L7165","LinkedTransferQueue.java","src/main/java/jsr166y/LinkedTransferQueue.java","L7159","165","0","575","0","4735","1","2","0"
"L7166","package-info.java","src/main/java/jsr166y/package-info.java","L7159","1","0","1","0","4735","1","4","0"
"L7167","Phaser.java","src/main/java/jsr166y/Phaser.java","L7159","112","0","490","0","4735","1","2","0"
"L7168","RecursiveAction.java","src/main/java/jsr166y/RecursiveAction.java","L7159","1","0","11","0","4735","1","2","0"
"L7169","RecursiveTask.java","src/main/java/jsr166y/RecursiveTask.java","L7159","1","0","16","0","4735","1","3","0"
"L7170","ThreadLocalRandom.java","src/main/java/jsr166y/ThreadLocalRandom.java","L7159","10","0","67","0","4735","1","2","0"
"L7171","TransferQueue.java","src/main/java/jsr166y/TransferQueue.java","L7159","1","0","10","0","4735","1","1","0"
"L4602","AtomicDouble.java","src/main/java/jsr166e/extra/AtomicDouble.java","L4601","11","0","114","0","4735","1","4","0"
"L4603","AtomicDoubleArray.java","src/main/java/jsr166e/extra/AtomicDoubleArray.java","L4601","19","0","152","0","4735","1","4","0"
"L4604","ReadMostlyVector.java","src/main/java/jsr166e/extra/ReadMostlyVector.java","L4601","254","0","1346","0","4735","1","2","0"
"L4605","SequenceLock.java","src/main/java/jsr166e/extra/SequenceLock.java","L4601","20","0","158","0","4735","1","2","0"
"L11553","Build.java","src/main/java/org/elasticsearch/Build.java","L11552","1","0","60","1","1466","2","3","0"
"L11554","ElasticsearchException.java","src/main/java/org/elasticsearch/ElasticsearchException.java","L11552","16","0","78","1","1466","1","2","0"
"L11555","ElasticsearchGenerationException.java","src/main/java/org/elasticsearch/ElasticsearchGenerationException.java","L11552","1","0","9","1","1466","1","2","0"
"L11556","ElasticsearchIllegalArgumentException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalArgumentException.java","L11552","1","0","17","1","1466","1","2","0"
"L11557","ElasticsearchIllegalStateException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalStateException.java","L11552","1","0","12","1","1466","1","2","0"
"L11558","ElasticsearchNullPointerException.java","src/main/java/org/elasticsearch/ElasticsearchNullPointerException.java","L11552","1","0","12","1","1466","1","2","0"
"L11559","ElasticsearchParseException.java","src/main/java/org/elasticsearch/ElasticsearchParseException.java","L11552","1","0","14","1","1466","1","2","0"
"L11560","ElasticsearchTimeoutException.java","src/main/java/org/elasticsearch/ElasticsearchTimeoutException.java","L11552","1","0","9","1","1466","1","2","0"
"L11561","ElasticsearchWrapperException.java","src/main/java/org/elasticsearch/ElasticsearchWrapperException.java","L11552","1","0","4","1","1466","1","2","0"
"L11562","ExceptionsHelper.java","src/main/java/org/elasticsearch/ExceptionsHelper.java","L11552","16","0","81","3","1466","3","7","1"
"L11563","Version.java","src/main/java/org/elasticsearch/Version.java","L11552","66","0","336","1","1466","8","83","4"
"L11569","Action.java","src/main/java/org/elasticsearch/action/Action.java","L11568","1","0","9","1","1466","3","7","0"
"L11570","ActionFuture.java","src/main/java/org/elasticsearch/action/ActionFuture.java","L11568","1","0","15","1","31","3","6","0"
"L11571","ActionListener.java","src/main/java/org/elasticsearch/action/ActionListener.java","L11568","1","0","5","1","1466","2","3","0"
"L11572","ActionModule.java","src/main/java/org/elasticsearch/action/ActionModule.java","L11568","5","0","257","1","762","9","27","0"
"L11573","ActionRequest.java","src/main/java/org/elasticsearch/action/ActionRequest.java","L11568","1","0","31","1","1466","3","6","0"
"L11574","ActionRequestBuilder.java","src/main/java/org/elasticsearch/action/ActionRequestBuilder.java","L11568","1","0","44","1","1466","4","8","0"
"L11575","ActionRequestValidationException.java","src/main/java/org/elasticsearch/action/ActionRequestValidationException.java","L11568","3","0","31","1","1466","2","4","0"
"L11576","ActionResponse.java","src/main/java/org/elasticsearch/action/ActionResponse.java","L11568","1","0","15","1","1466","2","4","0"
"L11577","FailedNodeException.java","src/main/java/org/elasticsearch/action/FailedNodeException.java","L11568","1","0","12","1","1466","2","4","0"
"L11578","GenericAction.java","src/main/java/org/elasticsearch/action/GenericAction.java","L11568","1","0","24","1","1466","3","4","0"
"L11579","ListenableActionFuture.java","src/main/java/org/elasticsearch/action/ListenableActionFuture.java","L11568","1","0","5","1","1466","2","3","0"
"L11580","NoShardAvailableActionException.java","src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java","L11568","1","0","19","2","1466","2","4","0"
"L11581","NoSuchNodeException.java","src/main/java/org/elasticsearch/action/NoSuchNodeException.java","L11568","1","0","6","1","1466","2","3","0"
"L11582","PrimaryMissingActionException.java","src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java","L11568","1","0","7","1","1466","2","4","0"
"L11583","RoutingMissingException.java","src/main/java/org/elasticsearch/action/RoutingMissingException.java","L11568","1","0","27","1","1466","3","5","0"
"L11584","ShardOperationFailedException.java","src/main/java/org/elasticsearch/action/ShardOperationFailedException.java","L11568","1","0","10","1","1466","3","4","0"
"L11585","ThreadingModel.java","src/main/java/org/elasticsearch/action/ThreadingModel.java","L11568","15","0","70","1","1466","2","4","0"
"L11586","TimestampParsingException.java","src/main/java/org/elasticsearch/action/TimestampParsingException.java","L11568","1","0","12","1","1466","2","4","1"
"L11587","TransportActionNodeProxy.java","src/main/java/org/elasticsearch/action/TransportActionNodeProxy.java","L11568","3","0","59","1","1466","4","9","1"
"L11588","UnavailableShardsException.java","src/main/java/org/elasticsearch/action/UnavailableShardsException.java","L11568","2","0","20","1","1466","3","6","0"
"L11589","ValidateActions.java","src/main/java/org/elasticsearch/action/ValidateActions.java","L11568","2","0","10","1","1466","3","3","0"
"L11590","WriteConsistencyLevel.java","src/main/java/org/elasticsearch/action/WriteConsistencyLevel.java","L11568","9","0","39","1","1466","2","4","0"
"L39708","Bootstrap.java","src/main/java/org/elasticsearch/bootstrap/Bootstrap.java","L39707","25","0","201","2","244","5","11","0"
