"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L109","ConcurrentHashMapV8.java","src/main/java/jsr166e/ConcurrentHashMapV8.java","L108","1049","0","4244","0","12","4","11","0"
"L110","CountedCompleter.java","src/main/java/jsr166e/CountedCompleter.java","L108","28","0","158","0","12","3","8","0"
"L111","DoubleAdder.java","src/main/java/jsr166e/DoubleAdder.java","L108","13","0","88","0","4735","1","2","0"
"L112","DoubleMaxUpdater.java","src/main/java/jsr166e/DoubleMaxUpdater.java","L108","18","0","88","0","4735","1","2","0"
"L113","ForkJoinPool.java","src/main/java/jsr166e/ForkJoinPool.java","L108","524","0","1704","0","12","4","10","0"
"L114","ForkJoinTask.java","src/main/java/jsr166e/ForkJoinTask.java","L108","160","0","723","0","12","4","9","0"
"L115","ForkJoinWorkerThread.java","src/main/java/jsr166e/ForkJoinWorkerThread.java","L108","4","0","38","0","12","3","7","0"
"L116","LongAdder.java","src/main/java/jsr166e/LongAdder.java","L108","13","0","85","0","4735","1","2","0"
"L117","LongMaxUpdater.java","src/main/java/jsr166e/LongMaxUpdater.java","L108","18","0","83","0","4735","1","2","0"
"L118","Striped64.java","src/main/java/jsr166e/Striped64.java","L108","35","0","174","0","4735","1","2","0"
"L119","ThreadLocalRandom.java","src/main/java/jsr166e/ThreadLocalRandom.java","L108","10","0","67","0","12","2","4","0"
"L8640","Build.java","src/main/java/org/elasticsearch/Build.java","L8639","1","0","60","1","1466","2","3","0"
"L8641","ElasticsearchException.java","src/main/java/org/elasticsearch/ElasticsearchException.java","L8639","16","0","78","1","1466","1","2","0"
"L8642","ElasticsearchGenerationException.java","src/main/java/org/elasticsearch/ElasticsearchGenerationException.java","L8639","1","0","9","1","1466","1","2","0"
"L8643","ElasticsearchIllegalArgumentException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalArgumentException.java","L8639","1","0","17","1","1466","1","2","0"
"L8644","ElasticsearchIllegalStateException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalStateException.java","L8639","1","0","12","1","1466","1","2","0"
