@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","0","0","0","0","0","0","0","0","3","3","3","25","3","0","0","5","18","1","0.508571","89","89","11","0","0.508571","89","1","1","0","0","1","86","170","9","1","1","0","13","0","10","0","19","49","0","10","0","86","170","9","1","1","0","13","0","10","0","19","49","0","10","0","0","0","7","2","11","0","0","4","0","0","0","1","0","0","3","0","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L232","0","0","0","0","0","0","0","0","2","4","4","30","3","0","0","5","18","1","0.494118","84","84","11","0","0.494118","84","1","1","0","0","1","86","165","10","1","2","0","13","0","10","0","19","53","0","10","0","86","165","10","1","2","0","13","0","10","0","19","53","0","10","0","0","0","7","2","12","0","0","6","0","0","0","1","0","2","2","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L268","0","0","0","0","0","0","0","0","3","3","3","27","3","4","15","5","20","1","0.526012","91","91","13","0","0.526012","91","1","1","0","0","1","82","162","9","1","1","0","15","0","12","0","21","50","0","12","0","82","162","9","1","1","0","15","0","12","0","21","50","0","12","0","0","0","5","2","11","0","0","4","0","0","0","1","0","0","3","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L306","0","0","0","0","0","0","0","0","3","4","4","30","3","0","0","5","18","1","0.49375","79","79","11","0","0.49375","79","1","1","0","0","1","81","155","9","1","1","0","13","0","10","0","19","52","0","10","0","81","155","9","1","1","0","13","0","10","0","19","52","0","10","0","0","0","7","2","12","0","0","6","0","0","0","1","0","2","2","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","false"
"L116","0","0","0","0","0","0","0","0","1","11","7","38","3","4","12","2","9","1","0.36715","76","62","1","0","0.474006","155","0","0","4","4","0","131","282","8","1","8","1","7","0","0","0","7","79","0","0","0","172","327","27","1","27","1","12","0","2","0","12","91","0","2","0","0","2","29","7","57","0","1","15","0","0","0","0","0","5","17","0","0","19","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","7","5","0","1","0","0","false"
"L148","0","0","0","0","0","0","0","0","1","0","0","2","0","5","5","0","2","1","0.771739","71","71","1","0","0.771739","71","0","0","0","0","0","21","25","17","0","17","0","2","0","0","0","2","2","0","0","0","21","25","17","0","17","0","2","0","0","0","2","2","0","0","0","0","0","7","2","8","0","0","0","0","0","0","0","0","0","4","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","2","0","0","0","0","false"
"L152","0","0","0","0","0","0","0","0","0","0","0","2","0","6","1","0","1","1","0.384615","5","4","1","0","0.384615","5","0","0","0","0","0","8","8","2","0","2","0","1","0","0","0","1","2","0","0","0","8","8","2","0","2","0","1","0","0","0","1","2","0","0","0","0","1","2","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","false"
"L406","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","2","0.5","0.5","3","3","1","1","0.5","3","0","0","0","0","0","3","3","0","0","0","0","1","0","1","0","1","1","0","1","0","3","3","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L5281","0","0","0","0","0","0","0","0","1","0","0","6","2","7","7","2","8","0.166667","0.0377358","2","2","1","5","0.0377358","2","0","0","0","0","0","51","63","4","0","4","0","6","1","5","0","6","13","1","5","0","51","63","4","0","4","0","6","1","5","0","6","13","1","5","0","0","1","19","1","11","0","0","0","0","0","0","0","0","0","2","0","0","7","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","1","0","0","0","0","false"
"L84633","0","0","0","0","0","0","0","0","0","2","2","5","0","1","2","0","2","1","0.46875","15","15","3","0","0.46875","15","0","0","1","1","0","17","30","0","0","0","0","2","0","2","0","2","8","0","2","0","17","30","0","0","0","0","2","0","2","0","2","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L3274","0","0","0","0","0","0","0","0","2","3","3","23","2","410","264","1","9","1","0.382114","47","47","9","0","0.299401","50","0","0","63","163","0","76","133","0","3","0","3","8","0","8","0","8","43","0","8","0","117","182","1","7","1","4","15","0","13","0","23","62","0","21","0","0","0","28","0","4","0","0","0","0","0","0","2","0","0","0","0","0","3","23","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","true"
