"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of developer commits","Number of committers","Number of previous modifications","Number of bugs"
"L109","DoubleAdder.java","src/main/java/jsr166e/DoubleAdder.java","L108","13","0","88","0","4735","1","2","0"
"L110","DoubleMaxUpdater.java","src/main/java/jsr166e/DoubleMaxUpdater.java","L108","18","0","88","0","4735","1","2","0"
"L111","LongAdder.java","src/main/java/jsr166e/LongAdder.java","L108","13","0","85","0","4735","1","2","0"
"L112","LongMaxUpdater.java","src/main/java/jsr166e/LongMaxUpdater.java","L108","18","0","83","0","4735","1","2","0"
"L113","Striped64.java","src/main/java/jsr166e/Striped64.java","L108","35","0","174","0","4735","1","2","0"
"L3169","Build.java","src/main/java/org/elasticsearch/Build.java","L3168","1","0","60","1","1466","2","3","0"
"L3170","ElasticsearchCorruptionException.java","src/main/java/org/elasticsearch/ElasticsearchCorruptionException.java","L3168","4","0","19","0","374","2","2","0"
"L3171","ElasticsearchException.java","src/main/java/org/elasticsearch/ElasticsearchException.java","L3168","21","0","127","1","89","2","3","1"
"L3172","ElasticsearchGenerationException.java","src/main/java/org/elasticsearch/ElasticsearchGenerationException.java","L3168","1","0","9","1","1466","1","2","0"
"L3173","ElasticsearchIllegalArgumentException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalArgumentException.java","L3168","1","0","17","1","1466","1","2","0"
"L3174","ElasticsearchIllegalStateException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalStateException.java","L3168","1","0","12","1","1466","1","2","0"
"L3175","ElasticsearchNullPointerException.java","src/main/java/org/elasticsearch/ElasticsearchNullPointerException.java","L3168","1","0","12","1","1466","1","2","0"
"L3176","ElasticsearchParseException.java","src/main/java/org/elasticsearch/ElasticsearchParseException.java","L3168","1","0","14","1","1466","1","2","0"
"L3177","ElasticsearchTimeoutException.java","src/main/java/org/elasticsearch/ElasticsearchTimeoutException.java","L3168","1","0","9","1","1466","1","2","0"
"L3178","ElasticsearchWrapperException.java","src/main/java/org/elasticsearch/ElasticsearchWrapperException.java","L3168","1","0","4","1","1466","1","2","0"
"L3179","ExceptionsHelper.java","src/main/java/org/elasticsearch/ExceptionsHelper.java","L3168","31","0","157","5","1","8","14","0"
"L3180","Version.java","src/main/java/org/elasticsearch/Version.java","L3168","108","0","515","4","762","15","132","1"
"L3186","Action.java","src/main/java/org/elasticsearch/action/Action.java","L3185","1","0","9","1","12","5","11","0"
"L3187","ActionFuture.java","src/main/java/org/elasticsearch/action/ActionFuture.java","L3185","1","0","15","2","479","4","7","0"
"L3188","ActionListener.java","src/main/java/org/elasticsearch/action/ActionListener.java","L3185","1","0","5","1","1466","2","3","0"
"L3189","ActionModule.java","src/main/java/org/elasticsearch/action/ActionModule.java","L3185","6","0","295","1","1466","16","46","0"
"L3190","ActionRequest.java","src/main/java/org/elasticsearch/action/ActionRequest.java","L3185","1","0","31","1","1466","3","6","0"
