@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L109","13","0","88","0","4735","1","2","false"
"L110","18","0","88","0","4735","1","2","false"
"L111","13","0","85","0","4735","1","2","false"
"L112","18","0","83","0","4735","1","2","false"
"L113","35","0","174","0","4735","1","2","false"
"L3169","1","0","60","1","1466","2","3","false"
"L3170","4","0","19","0","374","2","2","false"
"L3171","21","0","127","1","89","2","3","true"
"L3172","1","0","9","1","1466","1","2","false"
"L3173","1","0","17","1","1466","1","2","false"
"L3174","1","0","12","1","1466","1","2","false"
"L3175","1","0","12","1","1466","1","2","false"
"L3176","1","0","14","1","1466","1","2","false"
"L3177","1","0","9","1","1466","1","2","false"
"L3178","1","0","4","1","1466","1","2","false"
"L3179","31","0","157","5","1","8","14","false"
"L3180","108","0","515","4","762","15","132","true"
"L3186","1","0","9","1","12","5","11","false"
"L3187","1","0","15","2","479","4","7","false"
"L3188","1","0","5","1","1466","2","3","false"
"L3189","6","0","295","1","1466","16","46","false"
"L3190","1","0","31","1","1466","3","6","false"
"L3191","1","0","50","1","12","5","11","false"
"L3192","3","0","31","1","234","3","6","false"
"L3193","1","0","15","1","12","4","6","false"
"L3194","1","0","11","1","1466","3","3","false"
"L3195","11","0","199","0","246","2","2","false"
"L3196","1","0","6","0","474","1","1","false"
"L3197","1","0","8","0","12","3","4","false"
"L3198","1","0","5","0","12","2","2","false"
"L3199","1","0","10","1","38","1","3","false"
"L3200","1","0","12","1","1466","2","4","false"
"L3201","1","0","24","1","1466","3","4","false"
"L3202","1","0","9","0","474","2","4","false"
"L3203","1","0","26","0","230","1","1","false"
"L3204","1","0","4","1","4735","2","4","false"
"L3205","1","0","19","2","1466","2","4","false"
"L3206","1","0","6","1","1466","2","3","false"
"L3207","1","0","32","1","474","2","6","false"
"L3208","1","0","7","1","1466","2","4","false"
"L3209","1","0","27","1","1466","3","5","false"
"L3210","1","0","10","1","1466","3","4","false"
"L3211","15","0","70","1","1466","2","4","false"
"L3212","1","0","12","1","1466","2","4","true"
"L3213","3","0","50","2","4735","6","12","false"
"L3214","2","0","20","1","1466","3","6","false"
"L3215","2","0","10","1","1466","3","3","false"
"L3216","9","0","39","1","1466","2","4","false"
"L37945","26","0","204","3","66","8","18","true"
"L37946","1","0","9","0","1466","1","1","false"
"L37947","1","0","10","0","1466","1","2","false"
"L38414","1","0","146","1","46","16","27","false"
"L38415","1","0","132","1","319","6","14","false"
"L38416","1","0","9","0","1466","1","1","false"
"L38417","1","0","92","0","1466","1","1","false"
"L38418","1","0","187","0","185","11","29","false"
"L38420","1","0","197","0","319","9","16","false"
"L41906","1","0","38","1","479","3","5","false"
"L41907","20","0","112","1","762","3","6","true"
"L41908","1","0","17","0","230","1","1","false"
"L41909","1","0","9","0","230","1","2","false"
"L41910","2","0","62","1","1466","4","11","false"
"L41911","7","0","51","0","1466","1","1","false"
"L41913","1","0","27","2","1466","5","12","false"
"L41914","46","0","506","5","1466","8","27","false"
"L41916","1","0","7","2","479","1","3","false"
