@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L110","13","0","88","0","1466","1","1","false"
"L111","18","0","88","0","1466","1","1","false"
"L112","13","0","85","0","1466","1","1","false"
"L113","18","0","83","0","1466","1","1","false"
"L114","35","0","174","0","1466","1","1","false"
"L2517","1","0","64","0","1466","1","1","false"
"L2518","4","0","19","0","1466","1","1","false"
"L2519","25","0","185","0","1466","1","1","false"
"L2520","1","0","9","0","1466","1","1","false"
"L2521","1","0","12","0","1466","1","1","false"
"L2522","1","0","14","0","1466","1","1","false"
"L2523","1","0","9","0","1466","1","1","false"
"L2524","1","0","4","0","1466","1","1","false"
"L2525","46","0","210","0","1466","1","1","false"
"L2526","115","0","545","0","1466","1","1","false"
"L2533","1","0","9","0","1466","1","1","false"
"L2534","1","0","15","0","1466","1","1","false"
"L2535","1","0","5","0","1466","1","1","false"
"L2536","1","0","23","0","1466","1","1","false"
"L2537","6","0","279","0","1466","1","1","false"
"L2538","1","0","22","0","1466","1","1","false"
"L2539","1","0","47","0","1466","1","1","false"
"L2540","3","0","31","0","1466","1","1","false"
"L2541","1","0","15","0","1466","1","1","false"
"L2542","1","0","12","0","1466","1","1","false"
"L2543","9","0","210","0","1466","1","1","false"
"L2544","1","0","6","0","1466","1","1","false"
"L2545","1","0","5","0","1466","1","1","false"
"L2546","1","0","10","0","1466","1","1","false"
"L2547","1","0","12","0","1466","1","1","false"
"L2548","1","0","24","0","1466","1","1","false"
"L2549","1","0","9","0","1466","1","1","false"
"L2550","1","0","26","0","1466","1","1","false"
"L2551","1","0","4","0","1466","1","1","false"
"L2552","1","0","19","0","1466","1","1","false"
"L2553","1","0","6","0","1466","1","1","false"
"L2554","1","0","32","0","1466","1","1","false"
"L2555","1","0","7","0","1466","1","1","false"
"L2556","1","0","27","0","1466","1","1","false"
"L2557","1","0","18","0","1466","1","1","false"
"L2558","15","0","69","0","1466","1","1","false"
"L2559","1","0","16","0","1466","1","1","false"
"L2560","2","0","31","0","1466","1","1","false"
"L2561","2","0","20","0","1466","1","1","false"
"L2562","2","0","10","0","1466","1","1","false"
"L2563","9","0","38","0","1466","1","1","false"
"L82436","66","0","532","0","231","1","2","true"
"L82955","86","0","432","1","479","1","1","false"
"L121560","68","0","572","0","474","1","1","false"
"L141412","119","0","954","0","185","1","1","false"
"L176291","11","0","125","0","244","1","1","false"
"L520","5","0","67","0","1466","1","1","false"
"L655","6","0","114","0","1466","1","1","false"
"L779","49","0","268","0","1466","1","1","false"
"L780","4","0","56","0","1466","1","1","false"
"L1482","10","0","59","0","1466","1","1","false"
"L2266","7","0","68","0","1466","1","1","false"
"L2267","6","0","56","0","1466","1","1","false"
"L2268","6","0","32","0","1466","1","1","false"
"L53479","3","0","34","0","244","1","1","false"
"L70240","15","0","97","0","17","1","1","false"
"L71119","141","0","832","0","17","1","1","false"
"L99736","146","0","589","0","234","1","1","false"
"L99738","1","0","38","0","234","1","1","false"
"L99741","17","0","261","0","234","1","1","false"
"L108414","8","0","66","0","244","1","1","false"
"L108416","27","0","248","0","474","1","1","false"
"L116262","141","0","1103","2","479","1","2","false"
"L116279","21","0","171","2","479","1","2","false"
"L118516","136","0","1030","1","319","1","1","false"
"L125265","3","0","78","0","474","1","1","false"
"L125266","3","0","26","0","474","1","1","false"
"L125409","61","0","748","2","479","1","2","false"
"L125411","38","0","399","2","479","1","2","true"
"L130445","29","0","138","0","17","1","1","false"
"L523","6","0","49","0","1466","1","1","false"
"L658","1","0","6","0","1466","1","1","false"
"L990","1","0","12","0","1466","1","1","false"
"L991","1","0","6","0","1466","1","1","false"
"L992","159","0","739","0","1466","1","1","false"
"L993","1","0","13","0","1466","1","1","false"
"L994","72","0","316","0","1466","1","1","false"
"L1485","7","0","47","0","1466","1","1","false"
"L1486","6","0","64","0","1466","1","1","false"
