"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L114","AsyncClientCall.java","hazelcast-client/src/main/java/com/hazelcast/client/AsyncClientCall.java","L113","13","0","74","1118","4","0","1","0"
"L115","AtomicNumberClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/AtomicNumberClientProxy.java","L113","1","0","62","86","3","0","2","0"
"L116","AuthenticationException.java","hazelcast-client/src/main/java/com/hazelcast/client/AuthenticationException.java","L113","1","0","10","86","1","0","1","0"
"L117","Call.java","hazelcast-client/src/main/java/com/hazelcast/client/Call.java","L113","10","0","70","1118","19","0","3","0"
"L118","ClientBinder.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientBinder.java","L113","1","0","5","575","2","0","1","0"
"L119","ClientMapEntry.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientMapEntry.java","L113","1","0","65","575","7","0","2","0"
"L120","ClientProperties.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientProperties.java","L113","7","0","81","86","3","0","1","0"
"L121","ClientRunnable.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientRunnable.java","L113","5","0","32","1118","6","0","2","0"
"L122","ClientSerializer.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientSerializer.java","L113","4","0","28","575","2","0","1","0"
"L123","ClientThreadContext.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientThreadContext.java","L113","6","0","53","1118","2","0","2","0"
"L124","ClusterClientException.java","hazelcast-client/src/main/java/com/hazelcast/client/ClusterClientException.java","L113","1","0","16","86","1","0","1","0"
"L125","ClusterClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/ClusterClientProxy.java","L113","7","0","77","575","22","0","3","0"
"L126","CollectionClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/CollectionClientProxy.java","L113","1","0","76","575","15","0","3","0"
"L127","Connection.java","hazelcast-client/src/main/java/com/hazelcast/client/Connection.java","L113","3","0","71","1118","20","0","3","0"
"L128","ConnectionManager.java","hazelcast-client/src/main/java/com/hazelcast/client/ConnectionManager.java","L113","33","0","237","1118","41","0","3","0"
"L129","Constants.java","hazelcast-client/src/main/java/com/hazelcast/client/Constants.java","L113","1","0","23","1118","4","0","2","0"
"L130","DefaultClientBinder.java","hazelcast-client/src/main/java/com/hazelcast/client/DefaultClientBinder.java","L113","4","0","56","575","10","0","2","0"
"L131","EntryHolder.java","hazelcast-client/src/main/java/com/hazelcast/client/EntryHolder.java","L113","1","0","8","1118","5","0","2","0"
"L132","ExecutorServiceClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/ExecutorServiceClientProxy.java","L113","27","0","188","575","12","0","2","0"
"L133","HazelcastClient.java","hazelcast-client/src/main/java/com/hazelcast/client/HazelcastClient.java","L113","22","0","289","1118","71","0","3","0"
"L134","IdGeneratorClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/IdGeneratorClientProxy.java","L113","1","0","27","86","5","0","3","0"
"L135","InRunnable.java","hazelcast-client/src/main/java/com/hazelcast/client/InRunnable.java","L113","15","0","77","1118","37","0","3","0"
"L136","IORunnable.java","hazelcast-client/src/main/java/com/hazelcast/client/IORunnable.java","L113","12","0","75","1118","22","0","3","0"
"L137","IOUtil.java","hazelcast-client/src/main/java/com/hazelcast/client/IOUtil.java","L113","1","0","9","575","1","0","1","0"
"L138","LifecycleServiceClientImpl.java","hazelcast-client/src/main/java/com/hazelcast/client/LifecycleServiceClientImpl.java","L113","4","0","95","1118","3","0","2","0"
"L139","LightEntrySet.java","hazelcast-client/src/main/java/com/hazelcast/client/LightEntrySet.java","L113","1","0","22","1118","7","0","2","0"
"L140","LightEntrySetSet.java","hazelcast-client/src/main/java/com/hazelcast/client/LightEntrySetSet.java","L113","1","0","23","575","1","0","1","0"
"L141","LightKeySet.java","hazelcast-client/src/main/java/com/hazelcast/client/LightKeySet.java","L113","1","0","34","1118","5","0","2","0"
"L142","LightMultiMapEntrySet.java","hazelcast-client/src/main/java/com/hazelcast/client/LightMultiMapEntrySet.java","L113","1","0","22","1118","4","0","2","0"
"L143","ListClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/ListClientProxy.java","L113","3","0","72","86","10","0","3","0"
"L144","LockClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/LockClientProxy.java","L113","3","0","57","575","8","0","2","0"
