@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L200","0","0","0","0","0","0","0","0","2","5","2","22","3","3","2","2","11","0","0","0","0","0","8","0","0","0","0","1","1","0","69","78","4","1","4","1","9","0","7","1","9","34","0","7","1","69","78","4","1","4","1","9","0","7","1","9","34","0","7","1","0","0","22","1","5","0","0","0","0","0","0","1","0","0","1","0","0","2","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","false"
"L290","0","0","0","0","0","0","0","0","1","0","0","16","7","1","1","3","19","0","0","0","0","0","17","0","0","2","2","0","0","1","55","71","2","6","2","6","16","0","16","0","16","17","0","16","0","55","71","2","6","2","6","16","0","16","0","16","17","0","16","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","false"
"L381","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","9","11","2","0","1","0","2","0","2","0","6","2","0","6","0","9","11","2","0","1","0","2","0","2","0","6","2","0","6","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L214","0","0","0","0","0","0","0","0","4","2","1","21","3","30","21","3","15","0","0","0","0","0","12","0","0","0","0","2","2","0","69","90","9","4","9","4","12","0","11","2","12","25","0","11","2","69","90","9","4","9","4","12","0","11","2","12","25","0","11","2","0","0","30","2","11","0","0","0","0","0","0","1","0","0","4","0","0","2","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","2","2","0","0","0","0","false"
"L467","0","0","0","0","0","0","0","0","1","0","0","14","3","1","1","11","25","0","0","0","0","0","15","0","0","1","1","0","0","1","62","76","3","10","3","10","14","0","14","1","14","28","0","14","1","62","76","3","10","3","10","14","0","14","1","14","28","0","14","1","0","0","33","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","11","0","0","0","false"
"L565","0","0","0","0","0","0","0","0","1","1","1","14","1","7","19","2","12","0","0","0","0","0","11","0","0","0","0","0","0","0","50","62","1","5","1","5","10","0","10","3","10","23","0","10","3","78","95","9","7","9","7","14","6","13","3","14","31","6","13","3","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","false"
"L678","0","0","0","0","0","0","0","0","1","3","3","9","0","11","5","0","4","0","0","0","0","0","3","0","0","0","0","4","6","0","39","44","3","0","3","0","4","0","2","0","4","16","0","2","0","39","44","3","0","3","0","4","0","2","0","4","16","0","2","0","0","0","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","false"
"L699","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","2","3","0","0","0","0","0","2","0","0","1","1","0","0","1","6","7","8","0","0","0","1","0","1","0","10","1","0","8","0","24","26","8","1","0","0","3","0","1","0","19","11","0","13","0","0","2","13","0","2","0","0","0","0","0","0","1","0","0","0","0","0","4","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L735","0","0","0","0","0","0","0","0","3","3","3","11","5","3","6","3","10","0","0","0","0","0","8","0","0","0","0","0","0","0","43","50","4","1","4","1","7","0","7","0","7","19","0","7","0","43","50","4","1","4","1","7","0","7","0","7","19","0","7","0","0","0","18","0","4","0","0","0","0","0","0","1","0","0","3","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
"L382","0","0","0","0","0","0","0","0","0","0","0","4","0","5","6","0","4","0","0","0","0","0","5","0","0","0","0","2","2","0","15","19","1","0","1","0","4","0","4","0","4","4","0","4","0","15","19","1","0","1","0","4","0","4","0","4","4","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L862","0.190332","1","3","1","0.175","0.202899","14","14","1","3","3","17","15","1","4","16","27","0","0","0","0","0","11","0","0","1","1","0","0","1","69","80","2","4","2","4","11","0","10","0","11","37","0","10","0","69","80","2","4","2","4","11","0","10","0","11","37","0","10","0","0","0","37","0","1","0","0","0","0","11","0","0","0","0","1","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
