@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","14","0","74","1118","5","0","1","false"
"L115","1","0","60","2899","7","0","3","false"
"L116","1","0","10","86","1","0","1","false"
"L117","10","0","74","575","22","0","3","false"
"L118","1","0","6","2899","3","0","2","false"
"L119","1","0","65","575","7","0","2","false"
"L120","7","0","82","2899","6","0","3","false"
"L121","6","0","40","2053","7","0","3","false"
"L122","4","0","28","1118","3","0","2","false"
"L123","5","0","48","1118","3","0","2","false"
"L124","1","0","16","86","1","0","1","false"
"L125","7","0","77","575","22","0","3","false"
"L126","1","0","77","575","16","0","3","false"
"L127","3","0","70","2899","21","0","4","false"
"L128","41","0","278","2899","50","0","4","false"
"L129","1","0","23","1118","4","0","2","false"
"L130","6","0","64","2899","3","0","1","false"
"L131","4","0","54","2899","11","0","3","false"
"L132","1","0","8","1118","5","0","2","false"
"L133","27","0","189","575","13","0","2","false"
"L134","24","0","315","2899","85","0","4","false"
"L135","1","0","27","86","5","0","3","false"
"L136","14","0","79","2899","39","0","4","false"
"L137","12","0","75","1118","23","0","3","false"
"L138","1","0","9","575","1","0","1","false"
"L139","4","0","95","1118","3","0","2","false"
"L140","1","0","22","1118","7","0","2","false"
"L141","1","0","23","575","1","0","1","false"
"L142","1","0","34","1118","5","0","2","false"
"L143","1","0","22","1118","4","0","2","false"
"L144","4","0","102","1118","12","0","3","false"
"L145","4","0","70","2899","11","0","3","false"
"L146","12","0","300","1118","55","0","3","false"
"L147","5","0","68","1118","6","0","2","false"
"L148","4","0","67","575","1","0","1","false"
"L149","5","0","168","1118","16","0","3","false"
"L150","8","0","34","575","5","0","2","false"
"L151","1","0","9","86","4","0","3","false"
"L152","41","0","202","2899","63","0","4","false"
"L153","21","0","237","1118","30","0","3","false"
"L154","1","0","11","86","5","0","3","false"
"L155","3","0","22","1118","12","0","3","false"
"L156","4","0","27","1118","12","0","3","false"
"L157","1","0","28","575","4","0","2","false"
"L158","23","0","188","2899","35","0","4","false"
"L159","15","0","157","2899","17","0","4","false"
"L160","4","0","36","575","1","0","1","false"
"L161","5","0","136","2899","4","0","3","false"
"L162","3","0","47","1118","12","0","3","false"
"L163","4","0","73","575","15","0","4","false"
"L164","1","0","25","575","9","0","2","false"
"L165","10","0","82","1118","10","0","3","false"
"L166","2","0","22","1118","8","0","2","false"
"L815","1","0","25","1118","7","0","2","false"
"L1564","15","0","102","1118","4","0","2","false"
