@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L260","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0.333333","2","0","0","2","0.333333","2","0","0","0","0","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L277","0","0","0","0","0","0","0","0","0","1","1","5","10","0","0","13","15","0","0","0","0","0","2","0","0","3","3","0","0","1","25","28","13","5","3","1","2","0","1","0","18","12","0","7","0","25","28","13","5","3","1","2","0","1","0","18","12","0","7","0","0","0","7","1","5","0","0","0","0","0","0","0","0","0","3","0","0","1","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","false"
"L362","0","0","0","0","0","0","0","0","2","0","0","2","9","0","0","16","18","0","0.12","3","0","0","3","0.12","3","0","0","0","0","0","22","27","0","0","0","0","2","0","2","0","2","13","0","2","0","22","27","0","0","0","0","2","0","2","0","2","13","0","2","0","0","0","7","3","0","0","0","0","0","0","0","1","0","0","0","1","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","false"
"L424","0","0","0","0","0","0","0","0","1","6","5","34","20","5","7","31","38","0","0.0205479","3","0","0","4","0.0194805","3","1","1","2","3","1","143","153","6","0","6","0","7","0","3","0","8","88","0","4","0","151","161","6","0","6","0","8","0","4","0","9","93","0","5","0","0","0","32","3","37","0","1","2","0","0","0","0","0","6","1","3","0","8","22","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","3","20","0","0","0","false"
"L626","0","0","0","0","0","0","0","0","3","4","3","139","12","3","4","18","91","0.0136986","0.0114943","4","4","1","72","0.0194986","7","3","3","1","1","2","344","425","18","31","13","24","73","0","72","22","89","160","0","88","24","352","434","24","31","19","24","73","0","72","22","89","160","0","88","24","0","1","172","5","54","0","1","20","0","0","0","1","0","1","6","2","0","16","148","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","14","2","19","0","0","0","0","0","true"
"L627","0","0","0","0","0","0","0","0","20","0","0","80","11","3","7","1","78","0","0","0","0","0","78","0","0","2","2","2","3","1","213","290","5","31","5","28","77","0","77","22","87","52","0","87","24","213","290","5","31","5","28","77","0","77","22","87","52","0","87","24","0","0","174","54","28","0","0","0","0","0","0","1","0","0","0","2","0","82","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","false"
"L1086","0","0","0","0","0","0","0","0","1","5","5","27","14","5","7","21","25","0","0.119403","16","0","0","4","0.119403","16","0","0","0","0","0","118","140","3","0","3","0","4","0","3","0","4","78","0","3","0","118","140","3","0","3","0","4","0","3","0","4","78","0","3","0","0","0","19","9","8","0","3","0","0","0","0","0","0","4","3","2","0","2","11","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","2","3","0","1","0","0","true"
"L2518","0","0","0","0","0","0","0","0","4","2","1","16","2","8","6","3","12","0","0","0","0","0","8","0","0","0","0","5","5","0","54","63","4","0","4","0","9","0","7","1","9","25","0","7","1","54","63","4","0","4","0","9","0","7","1","9","25","0","7","1","0","1","22","1","5","0","1","2","0","0","0","1","0","0","0","0","0","2","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","false"
"L2588","0","0","0","0","0","0","0","0","1","1","1","31","11","2","6","21","45","0","0","0","0","0","22","0","0","3","7","0","0","2","107","132","5","11","2","9","24","0","21","0","33","48","1","27","2","175","220","6","19","3","17","44","0","40","1","53","71","1","46","3","0","0","110","0","15","0","0","4","0","0","0","0","0","0","5","2","0","4","94","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","12","0","0","0","0","0","false"
"L4049","0.0309508","6","8","8","0.0398551","0.040378","55","47","4","10","6","134","44","175","269","65","119","0","0.029724","14","8","0","27","0.0234899","28","0","0","6","6","0","457","547","11","10","11","10","54","0","26","0","54","260","0","26","0","1164","1380","22","89","22","37","167","0","102","6","370","586","0","246","18","0","1","520","25","153","0","4","7","0","78","0","8","0","19","21","12","0","109","374","1","0","0","7","0","0","2","6","0","0","0","0","0","0","1","9","0","22","12","7","0","1","0","true"
"L4880","0.077278","4","13","9","0.0666667","0.0737463","75","75","3","4","4","112","39","19","42","51","98","0","0.00220751","1","0","0","23","0.000982318","1","1","1","0","0","1","452","509","14","21","3","11","47","0","22","0","101","267","0","48","0","1017","1125","57","43","32","15","115","3","60","2","298","563","3","189","9","0","3","484","21","154","0","3","2","0","133","0","1","0","6","61","5","0","92","314","3","0","0","3","0","0","0","0","0","0","0","0","0","0","4","6","0","22","4","0","6","0","0","true"
