@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","1","0","5","1118","1","0","1","false"
"L122","4","0","34","2899","15","0","3","false"
"L30721","1","0","19","575","3","0","1","false"
"L30740","1","0","9","1118","2","0","2","false"
"L30741","1","0","59","1118","6","0","3","false"
"L30808","4","0","56","1118","5","0","3","false"
"L30809","2","0","25","1118","6","0","3","false"
"L30872","2","0","14","1118","2","0","2","false"
"L30873","35","0","154","1118","11","0","3","false"
"L128","1","0","32","1118","10","0","3","false"
"L30876","1","0","187","1118","2","0","2","false"
"L136","29","0","165","831","15","1","5","false"
"L137","67","0","362","831","20","2","4","true"
"L138","4","0","223","2899","9","1","2","false"
"L139","24","0","128","2899","37","0","5","true"
"L140","8","0","56","1118","6","0","1","false"
"L141","1","0","11","2899","3","0","1","false"
"L142","8","0","185","1118","2","0","2","false"
"L143","158","0","1192","831","205","1","6","true"
"L144","146","0","1038","831","87","2","6","true"
"L145","2","0","47","1118","12","0","3","false"
"L146","1","0","43","575","5","0","2","false"
"L147","46","0","317","575","28","0","3","true"
"L148","131","0","1475","831","8","0","4","true"
"L149","6","0","61","2899","34","0","3","false"
"L150","4","0","42","2899","4","0","3","false"
"L151","4","0","48","2899","2","0","2","false"
"L152","1","0","141","1118","62","0","3","true"
"L153","376","0","1659","831","256","3","6","true"
"L154","594","0","3554","831","368","3","6","true"
"L155","1","0","52","1118","11","0","1","false"
"L156","1","0","17","1118","5","0","2","false"
"L157","11","0","176","1118","2","0","2","false"
"L158","7","0","50","2899","3","0","2","false"
"L159","1","0","19","1118","1","0","1","false"
"L160","1","0","18","1118","1","0","1","false"
"L161","3","0","39","1118","2","0","2","false"
"L162","1","0","62","1118","3","0","2","false"
"L163","15","0","94","831","11","0","4","true"
"L164","3","0","58","575","2","0","2","false"
"L165","1","0","5","1118","3","0","1","false"
"L166","30","0","178","2899","6","0","2","true"
"L167","1","0","46","1118","3","0","2","false"
"L168","1","0","6","1118","1","0","1","false"
"L169","1","0","8","1118","5","0","2","false"
"L170","65","0","561","831","76","2","6","true"
"L171","12","0","96","1118","22","0","3","false"
"L172","3","0","25","1118","4","0","1","false"
"L173","110","0","787","831","227","0","6","true"
"L174","2","0","10","1118","6","0","2","false"
"L175","4","0","235","2899","70","0","5","true"
"L176","1","0","5","1118","3","0","1","false"
"L177","1","0","4","2899","2","0","1","false"
"L178","9","0","103","1118","3","0","3","false"
"L179","1","0","4","1118","2","0","1","false"
"L180","1","0","20","1118","6","0","1","false"
"L181","1","0","4","1118","2","0","1","false"
"L182","1","0","6","575","1","0","1","true"
"L183","6","0","52","1118","13","0","3","false"
"L184","9","0","127","831","15","0","5","false"
"L185","85","0","415","2899","71","0","4","false"
"L186","1","0","4","2899","1","0","1","false"
"L187","4","0","102","1118","5","0","2","false"
"L188","1","0","4","1118","1","0","1","false"
"L189","1","0","7","2899","2","0","1","false"
"L190","10","0","174","831","6","0","4","false"
"L191","4","0","36","1118","6","0","1","false"
"L192","1","0","6","831","6","1","3","false"
"L193","16","0","167","2899","28","1","4","false"
"L194","1","0","18","2899","8","0","3","true"
"L195","48","0","854","2899","20","1","2","true"
"L196","34","0","160","831","17","1","5","true"
"L197","1","0","4","1118","1","0","1","false"
"L198","19","0","149","2899","33","0","3","false"
"L199","1","0","5","2899","2","0","2","false"
"L200","7","0","264","1118","2","0","2","true"
"L201","1","0","27","1118","5","0","1","false"
"L202","42","0","232","831","15","1","4","false"
"L203","1","0","10","1118","2","0","2","false"
"L204","56","0","527","831","178","1","6","true"
"L205","1","0","21","1118","14","0","3","false"
"L206","18","0","50","2899","8","0","4","true"
