"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L114","PlaceHolder.java","hazelcast-all/src/main/java/com/hazelcast/impl/PlaceHolder.java","L113","1","0","5","1118","1","0","1","0"
"L122","TcpIpJoinerOverAWS.java","hazelcast-cloud/src/main/java/com/hazelcast/impl/TcpIpJoinerOverAWS.java","L121","4","0","34","575","18","0","3","0"
"L32368","AWSClient.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/AWSClient.java","L32367","1","0","20","1118","9","0","3","0"
"L32387","Constants.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/impl/Constants.java","L32386","1","0","8","1118","6","0","3","0"
"L32388","DescribeInstances.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/impl/DescribeInstances.java","L32386","1","0","59","1118","6","0","3","0"
"L32455","EC2RequestSigner.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/security/EC2RequestSigner.java","L32454","4","0","56","1118","5","0","3","0"
"L32456","RFC2104HMAC.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/security/RFC2104HMAC.java","L32454","2","0","25","1118","6","0","3","0"
"L32517","AwsURLEncoder.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/utility/AwsURLEncoder.java","L32516","2","0","14","1118","2","0","2","0"
"L32518","CloudyUtility.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/utility/CloudyUtility.java","L32516","35","0","154","1118","15","0","3","0"
"L128","TcpIpJoinerOverAWSTest.java","hazelcast-cloud/src/test/java/com/hazelcast/impl/TcpIpJoinerOverAWSTest.java","L127","1","0","32","1118","13","0","3","0"
"L32521","CloudyUtilityTest.java","hazelcast-cloud/src/test/java/com/hazelcast/aws/utility/CloudyUtilityTest.java","L32520","1","0","187","1118","2","0","2","0"
"L136","AbstractJoiner.java","hazelcast/src/main/java/com/hazelcast/impl/AbstractJoiner.java","L135","27","0","182","2899","35","1","5","0"
"L137","AbstractRecord.java","hazelcast/src/main/java/com/hazelcast/impl/AbstractRecord.java","L135","69","0","382","575","34","8","6","2"
"L138","AbstractSimpleRecord.java","hazelcast/src/main/java/com/hazelcast/impl/AbstractSimpleRecord.java","L135","4","0","226","2899","15","1","2","0"
"L139","AddressPicker.java","hazelcast/src/main/java/com/hazelcast/impl/AddressPicker.java","L135","64","0","317","575","71","2","7","0"
"L140","AsyncCall.java","hazelcast/src/main/java/com/hazelcast/impl/AsyncCall.java","L135","7","0","53","2899","10","0","3","0"
"L141","AtomicNumberProxy.java","hazelcast/src/main/java/com/hazelcast/impl/AtomicNumberProxy.java","L135","1","0","11","1118","6","0","2","0"
"L142","AtomicNumberProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/AtomicNumberProxyImpl.java","L135","8","0","185","1118","5","0","2","0"
"L143","BaseManager.java","hazelcast/src/main/java/com/hazelcast/impl/BaseManager.java","L135","180","0","1278","575","245","6","6","1"
"L144","BlockingQueueManager.java","hazelcast/src/main/java/com/hazelcast/impl/BlockingQueueManager.java","L135","148","0","1048","575","121","7","6","1"
"L145","CallContext.java","hazelcast/src/main/java/com/hazelcast/impl/CallContext.java","L135","2","0","47","1118","12","0","3","0"
"L146","ClassLoaderAwareAsyncCall.java","hazelcast/src/main/java/com/hazelcast/impl/ClassLoaderAwareAsyncCall.java","L135","2","0","22","2899","5","0","2","0"
"L147","ClientDistributedTask.java","hazelcast/src/main/java/com/hazelcast/impl/ClientDistributedTask.java","L135","1","0","43","1118","6","0","2","0"
"L148","ClientEndpoint.java","hazelcast/src/main/java/com/hazelcast/impl/ClientEndpoint.java","L135","48","0","326","575","55","5","5","1"
"L149","ClientHandlerService.java","hazelcast/src/main/java/com/hazelcast/impl/ClientHandlerService.java","L135","127","0","1482","2899","61","3","5","2"
"L150","ClientRequestHandler.java","hazelcast/src/main/java/com/hazelcast/impl/ClientRequestHandler.java","L135","6","0","61","1118","42","0","3","1"
"L151","ClientServiceException.java","hazelcast/src/main/java/com/hazelcast/impl/ClientServiceException.java","L135","4","0","42","1118","9","0","3","0"
"L152","ClientServiceImpl.java","hazelcast/src/main/java/com/hazelcast/impl/ClientServiceImpl.java","L135","4","0","48","1118","5","0","3","0"
"L153","ClusterOperation.java","hazelcast/src/main/java/com/hazelcast/impl/ClusterOperation.java","L135","1","0","145","2899","73","1","4","0"
"L154","CMap.java","hazelcast/src/main/java/com/hazelcast/impl/CMap.java","L135","405","0","1714","575","314","16","7","2"
"L155","ConcurrentMapManager.java","hazelcast/src/main/java/com/hazelcast/impl/ConcurrentMapManager.java","L135","629","0","3807","2899","461","24","8","4"
"L156","Constants.java","hazelcast/src/main/java/com/hazelcast/impl/Constants.java","L135","3","0","77","1118","15","0","2","0"
"L157","CountDownLatchProxy.java","hazelcast/src/main/java/com/hazelcast/impl/CountDownLatchProxy.java","L135","1","0","17","1118","8","0","2","0"
"L158","CountDownLatchProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/CountDownLatchProxyImpl.java","L135","11","0","176","1118","8","0","2","0"
"L159","DataAwareEntryEvent.java","hazelcast/src/main/java/com/hazelcast/impl/DataAwareEntryEvent.java","L135","7","0","50","2899","9","0","2","0"
"L160","DataAwareItemEvent.java","hazelcast/src/main/java/com/hazelcast/impl/DataAwareItemEvent.java","L135","1","0","20","2899","10","0","4","0"
"L161","DataMessage.java","hazelcast/src/main/java/com/hazelcast/impl/DataMessage.java","L135","1","0","18","2899","7","0","2","0"
"L162","DefaultNearCacheRecord.java","hazelcast/src/main/java/com/hazelcast/impl/DefaultNearCacheRecord.java","L135","3","0","39","2899","3","0","2","0"
"L163","DefaultProxyFactory.java","hazelcast/src/main/java/com/hazelcast/impl/DefaultProxyFactory.java","L135","1","0","62","1118","8","0","2","0"
"L164","DefaultRecord.java","hazelcast/src/main/java/com/hazelcast/impl/DefaultRecord.java","L135","15","0","96","2899","21","2","5","0"
"L165","DestroyEndpointThreadsCallable.java","hazelcast/src/main/java/com/hazelcast/impl/DestroyEndpointThreadsCallable.java","L135","3","0","58","2899","6","0","3","0"
"L166","DistributedRunnableAdapter.java","hazelcast/src/main/java/com/hazelcast/impl/DistributedRunnableAdapter.java","L135","1","0","6","575","7","0","4","0"
"L167","Entries.java","hazelcast/src/main/java/com/hazelcast/impl/Entries.java","L135","30","0","176","2899","15","2","3","0"
"L168","EvictLocalMapEntriesCallable.java","hazelcast/src/main/java/com/hazelcast/impl/EvictLocalMapEntriesCallable.java","L135","1","0","46","2899","7","0","2","0"
"L169","ExecutionLoadBalancer.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutionLoadBalancer.java","L135","1","0","6","1118","4","0","2","0"
"L170","ExecutionManagerCallback.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutionManagerCallback.java","L135","1","0","8","1118","8","0","3","0"
"L171","ExecutorManager.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutorManager.java","L135","70","0","623","575","99","5","6","1"
"L172","ExecutorServiceProxy.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutorServiceProxy.java","L135","12","0","96","1118","25","0","3","0"
"L173","ExecutorThreadFactory.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutorThreadFactory.java","L135","5","0","39","575","16","0","3","0"
"L174","FactoryImpl.java","hazelcast/src/main/java/com/hazelcast/impl/FactoryImpl.java","L135","111","0","799","575","257","2","6","1"
"L175","FallThroughRunnable.java","hazelcast/src/main/java/com/hazelcast/impl/FallThroughRunnable.java","L135","2","0","10","2899","11","0","4","0"
"L176","GroupProperties.java","hazelcast/src/main/java/com/hazelcast/impl/GroupProperties.java","L135","4","0","277","575","108","2","6","1"
"L177","HazelcastInstanceAwareInstance.java","hazelcast/src/main/java/com/hazelcast/impl/HazelcastInstanceAwareInstance.java","L135","1","0","5","1118","3","0","1","0"
"L178","IdGeneratorProxy.java","hazelcast/src/main/java/com/hazelcast/impl/IdGeneratorProxy.java","L135","1","0","4","1118","5","0","2","0"
"L179","IdGeneratorProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/IdGeneratorProxyImpl.java","L135","9","0","103","1118","6","0","3","0"
"L180","IGetAwareProxy.java","hazelcast/src/main/java/com/hazelcast/impl/IGetAwareProxy.java","L135","1","0","4","1118","2","0","1","0"
"L181","InnerFutureTask.java","hazelcast/src/main/java/com/hazelcast/impl/InnerFutureTask.java","L135","1","0","20","2899","10","0","2","0"
"L182","IRemoveAwareProxy.java","hazelcast/src/main/java/com/hazelcast/impl/IRemoveAwareProxy.java","L135","1","0","4","1118","2","0","1","0"
"L183","Joiner.java","hazelcast/src/main/java/com/hazelcast/impl/Joiner.java","L135","1","0","10","2899","14","1","3","0"
"L184","Keys.java","hazelcast/src/main/java/com/hazelcast/impl/Keys.java","L135","6","0","52","1118","13","0","3","0"
"L185","LifecycleServiceImpl.java","hazelcast/src/main/java/com/hazelcast/impl/LifecycleServiceImpl.java","L135","9","0","128","575","33","0","5","0"
"L186","ListenerManager.java","hazelcast/src/main/java/com/hazelcast/impl/ListenerManager.java","L135","86","0","416","575","94","0","6","0"
"L187","ListProxy.java","hazelcast/src/main/java/com/hazelcast/impl/ListProxy.java","L135","1","0","4","1118","4","0","2","0"
"L188","ListProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/ListProxyImpl.java","L135","4","0","121","1118","16","0","4","0"
"L189","LocalUpdateListener.java","hazelcast/src/main/java/com/hazelcast/impl/LocalUpdateListener.java","L135","1","0","4","1118","1","0","1","0"
"L190","LockProxy.java","hazelcast/src/main/java/com/hazelcast/impl/LockProxy.java","L135","1","0","7","1118","5","0","2","0"
"L191","LockProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/LockProxyImpl.java","L135","10","0","181","575","18","0","5","0"
"L192","LogFormatter.java","hazelcast/src/main/java/com/hazelcast/impl/LogFormatter.java","L135","4","0","36","1118","6","0","1","0"
"L193","MapMaxSizePolicy.java","hazelcast/src/main/java/com/hazelcast/impl/MapMaxSizePolicy.java","L135","1","0","6","831","6","1","3","0"
"L194","MemberImpl.java","hazelcast/src/main/java/com/hazelcast/impl/MemberImpl.java","L135","16","0","167","1118","31","1","4","0"
