@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L114","1","0","5","1118","1","0","1","false"
"L122","4","0","34","575","18","0","3","false"
"L32368","1","0","20","1118","9","0","3","false"
"L32387","1","0","8","1118","6","0","3","false"
"L32388","1","0","59","1118","6","0","3","false"
"L32455","4","0","56","1118","5","0","3","false"
"L32456","2","0","25","1118","6","0","3","false"
"L32517","2","0","14","1118","2","0","2","false"
"L32518","35","0","154","1118","15","0","3","false"
"L128","1","0","32","1118","13","0","3","false"
"L32521","1","0","187","1118","2","0","2","false"
"L136","27","0","182","2899","35","1","5","false"
"L137","69","0","382","575","34","8","6","true"
"L138","4","0","226","2899","15","1","2","false"
"L139","64","0","317","575","71","2","7","false"
"L140","7","0","53","2899","10","0","3","false"
"L141","1","0","11","1118","6","0","2","false"
"L142","8","0","185","1118","5","0","2","false"
"L143","180","0","1278","575","245","6","6","true"
"L144","148","0","1048","575","121","7","6","true"
"L145","2","0","47","1118","12","0","3","false"
"L146","2","0","22","2899","5","0","2","false"
"L147","1","0","43","1118","6","0","2","false"
"L148","48","0","326","575","55","5","5","true"
"L149","127","0","1482","2899","61","3","5","true"
"L150","6","0","61","1118","42","0","3","true"
"L151","4","0","42","1118","9","0","3","false"
"L152","4","0","48","1118","5","0","3","false"
"L153","1","0","145","2899","73","1","4","false"
"L154","405","0","1714","575","314","16","7","true"
"L155","629","0","3807","2899","461","24","8","true"
"L156","3","0","77","1118","15","0","2","false"
"L157","1","0","17","1118","8","0","2","false"
"L158","11","0","176","1118","8","0","2","false"
"L159","7","0","50","2899","9","0","2","false"
"L160","1","0","20","2899","10","0","4","false"
"L161","1","0","18","2899","7","0","2","false"
"L162","3","0","39","2899","3","0","2","false"
"L163","1","0","62","1118","8","0","2","false"
"L164","15","0","96","2899","21","2","5","false"
"L165","3","0","58","2899","6","0","3","false"
"L166","1","0","6","575","7","0","4","false"
"L167","30","0","176","2899","15","2","3","false"
"L168","1","0","46","2899","7","0","2","false"
"L169","1","0","6","1118","4","0","2","false"
"L170","1","0","8","1118","8","0","3","false"
"L171","70","0","623","575","99","5","6","true"
"L172","12","0","96","1118","25","0","3","false"
"L173","5","0","39","575","16","0","3","false"
"L174","111","0","799","575","257","2","6","true"
"L175","2","0","10","2899","11","0","4","false"
"L176","4","0","277","575","108","2","6","true"
"L177","1","0","5","1118","3","0","1","false"
"L178","1","0","4","1118","5","0","2","false"
"L179","9","0","103","1118","6","0","3","false"
"L180","1","0","4","1118","2","0","1","false"
"L181","1","0","20","2899","10","0","2","false"
"L182","1","0","4","1118","2","0","1","false"
"L183","1","0","10","2899","14","1","3","false"
"L184","6","0","52","1118","13","0","3","false"
"L185","9","0","128","575","33","0","5","false"
"L186","86","0","416","575","94","0","6","false"
"L187","1","0","4","1118","4","0","2","false"
"L188","4","0","121","1118","16","0","4","false"
"L189","1","0","4","1118","1","0","1","false"
"L190","1","0","7","1118","5","0","2","false"
"L191","10","0","181","575","18","0","5","false"
"L192","4","0","36","1118","6","0","1","false"
"L193","1","0","6","831","6","1","3","false"
"L194","16","0","167","1118","31","1","4","false"
"L195","4","0","46","1118","9","0","2","false"
"L196","1","0","19","2899","14","1","4","false"
"L197","47","0","870","575","61","2","5","true"
"L198","34","0","170","2899","41","4","5","false"
"L199","1","0","4","1118","1","0","1","false"
"L200","21","0","149","575","36","0","4","false"
"L201","1","0","6","1118","7","0","3","false"
"L202","7","0","283","575","14","1","4","false"
"L203","1","0","27","1118","8","0","2","false"
"L204","42","0","232","2899","19","1","4","false"
"L205","1","0","10","2899","3","0","2","false"
"L206","56","0","521","575","239","3","7","false"
"L207","1","0","24","2899","27","0","4","false"
"L208","23","0","74","2899","16","1","5","false"
"L209","5","0","28","1118","3","0","1","false"
"L210","18","0","97","575","5","0","2","false"
"L211","192","0","945","575","186","8","5","true"
"L212","27","0","174","575","42","0","4","false"
"L213","1","0","4","1118","5","0","2","false"
"L214","1","0","19","1118","7","0","2","false"
"L215","1","0","7","1118","10","0","3","false"
"L216","25","0","306","1118","14","0","3","false"
"L217","1","0","100","2899","72","1","4","false"
"L218","7","0","246","575","61","4","5","false"
"L219","1","0","11","1118","8","0","2","false"
"L220","1","0","14","1118","6","0","2","false"
"L221","24","0","389","575","9","0","4","false"
"L222","1","0","5","1118","10","2","3","false"
"L223","7","0","178","1118","12","2","4","false"
"L224","1","0","37","2899","12","0","3","false"
"L225","8","0","48","575","28","1","5","false"
"L226","1","0","4","1118","3","0","1","false"
"L227","77","0","391","575","67","5","5","false"
"L228","27","0","523","575","29","1","3","false"
"L229","17","0","194","575","61","0","3","false"
"L230","14","0","127","1118","31","2","5","false"
"L231","1","0","8","1118","9","0","3","false"
"L232","7","0","128","1118","13","0","3","false"
"L233","84","0","405","575","78","9","4","false"
"L234","1","0","15","2899","8","0","2","false"
"L235","17","0","109","575","19","0","4","false"
"L236","6","0","32","2899","11","0","2","false"
"L30190","1","0","18","1118","8","0","3","false"
"L30191","1","0","6","2899","2","0","2","false"
"L30192","1","0","6","1118","4","0","3","false"
"L30193","1","0","7","2899","2","0","2","false"
"L30194","1","0","5","575","1","0","1","false"
"L30195","1","0","9","1118","7","0","2","false"
"L30196","33","0","255","575","30","0","4","false"
"L30197","1","0","9","2899","5","0","2","false"
"L30198","1","0","11","1118","3","0","2","false"
"L30199","1","0","59","1118","21","0","4","false"
"L30200","3","0","22","1118","5","0","1","false"
"L30201","1","0","8","1118","8","0","1","false"
"L30202","1","0","5","1118","4","0","1","false"
"L30203","9","0","179","575","56","0","5","true"
"L30204","1","0","15","2899","2","0","1","false"
"L30205","1","0","34","2899","32","0","3","false"
"L30206","1","0","4","1118","4","0","1","false"
"L30207","1","0","23","2899","14","0","2","false"
"L30208","1","0","6","1118","7","0","1","false"
"L30209","1","0","12","1118","5","0","2","false"
"L30210","1","0","5","1118","7","0","1","false"
"L30211","1","0","4","1118","5","0","1","false"
"L30212","1","0","9","1118","15","0","3","false"
"L30213","1","0","62","575","48","0","4","false"
"L30214","12","0","78","575","16","0","3","false"
"L30215","1","0","30","575","3","0","2","false"
"L30216","1","0","30","1118","6","0","2","false"
"L30217","1","0","6","1118","5","0","1","false"
"L30218","1","0","6","1118","7","0","1","true"
"L30219","1","0","36","1118","5","0","3","false"
"L30220","1","0","4","1118","7","0","2","false"
"L30221","1","0","33","2899","9","0","5","false"
"L30222","3","0","20","1118","2","0","1","false"
"L30223","1","0","6","1118","6","0","1","false"
"L30224","1","0","9","1118","7","0","2","false"
"L30225","5","0","43","575","11","0","5","false"
"L30226","1","0","5","1118","4","0","2","false"
"L30227","1","0","11","1118","3","0","1","false"
"L30228","1","0","4","575","9","0","4","false"
"L30229","1","0","13","1118","7","0","2","false"
"L30230","1","0","9","1118","9","0","1","false"
"L30231","1","0","6","1118","3","0","1","false"
"L30232","1","0","9","1118","8","0","1","false"
"L30233","1","0","5","1118","2","0","2","false"
"L30234","1","0","16","2899","17","0","3","false"
"L30235","1","0","28","2899","10","0","3","false"
"L30236","2","0","28","1118","6","0","1","false"
"L30237","1","0","6","1118","7","0","1","false"
"L30238","1","0","12","1118","2","0","1","false"
"L30239","1","0","5","1118","8","0","2","false"
"L30240","1","0","35","2899","19","0","3","false"
"L30241","1","0","25","1118","5","0","1","false"
"L30242","1","0","8","2899","3","0","1","false"
"L30243","1","0","14","575","8","0","3","false"
"L30244","1","0","17","575","6","0","2","false"
"L30245","1","0","4","1118","3","0","1","false"
"L30246","1","0","28","1118","23","2","5","false"
"L30247","1","0","8","2899","8","0","3","false"
"L30248","1","0","4","1118","3","0","1","false"
"L30249","1","0","16","2899","7","0","3","false"
"L35823","1","0","12","2899","14","0","2","false"
"L35824","1","0","21","1118","8","0","2","false"
"L35825","1","0","18","1118","10","0","2","false"
"L35826","1","0","34","1118","16","0","2","false"
"L35827","3","0","33","2899","8","0","2","false"
"L35828","3","0","47","2899","18","1","2","false"
"L35829","18","0","129","2899","52","1","4","false"
"L35830","174","0","935","2899","154","6","5","true"
"L35831","37","0","273","2899","93","2","5","false"
"L35832","4","0","14","2899","15","0","2","false"
"L35833","1","0","7","2899","15","0","2","false"
"L35834","2","0","73","2899","20","0","4","false"
"L35835","6","0","98","2899","29","0","3","false"
"L35836","1","0","36","2899","17","0","2","false"
"L35837","10","0","74","2899","11","0","2","false"
"L35838","4","0","31","831","18","0","3","false"
"L35839","10","0","80","575","26","2","4","false"
"L35840","1","0","6","2899","6","0","2","false"
"L35841","1","0","7","1118","8","0","2","false"
"L35842","1","0","30","575","20","0","3","false"
"L36681","19","0","130","1118","8","0","4","false"
"L36682","3","0","99","1118","8","0","2","false"
"L36683","1","0","72","1118","11","0","3","false"
"L36684","2","0","20","1118","3","0","2","false"
"L36685","83","0","707","2899","68","0","5","false"
"L36686","1","0","4","1118","6","0","1","false"
"L36687","10","0","55","831","2","0","2","false"
"L36688","60","0","354","2899","29","2","5","false"
"L36689","1","0","43","2899","7","0","2","false"
"L36690","1","0","49","2899","8","0","2","false"
"L36691","4","0","85","2899","17","0","3","false"
"L36692","1","0","20","1118","3","0","2","false"
"L36693","11","0","73","1118","7","0","2","false"
"L36694","3","0","18","1118","3","0","2","false"
"L36695","6","0","68","2899","14","0","3","false"
"L36696","1","0","38","2899","8","0","2","false"
"L36697","1","0","45","1118","12","0","3","false"
"L36698","1","0","42","1118","8","0","3","false"
"L36699","2","0","53","2899","7","0","2","false"
"L36700","1","0","43","831","4","0","2","false"
"L36701","54","0","389","2899","50","0","4","false"
"L36702","1","0","38","1118","3","0","2","false"
