"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L114","PlaceHolder.java","hazelcast-all/src/main/java/com/hazelcast/impl/PlaceHolder.java","L113","1","0","5","1118","12","0","6","0"
"L122","TcpIpJoinerOverAWS.java","hazelcast-cloud/src/main/java/com/hazelcast/impl/TcpIpJoinerOverAWS.java","L121","4","0","34","1118","24","0","5","0"
"L33022","AWSClient.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/AWSClient.java","L33021","1","0","20","1118","21","0","6","1"
"L33041","Constants.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/impl/Constants.java","L33040","1","0","8","1118","17","0","6","0"
"L33042","DescribeInstances.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/impl/DescribeInstances.java","L33040","1","0","59","1118","17","0","6","1"
"L33109","EC2RequestSigner.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/security/EC2RequestSigner.java","L33108","4","0","56","1118","16","0","7","1"
"L33110","RFC2104HMAC.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/security/RFC2104HMAC.java","L33108","2","0","25","1118","17","0","6","0"
"L33171","AwsURLEncoder.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/utility/AwsURLEncoder.java","L33170","2","0","14","1118","13","0","6","1"
"L33172","CloudyUtility.java","hazelcast-cloud/src/main/java/com/hazelcast/aws/utility/CloudyUtility.java","L33170","35","0","154","575","30","0","6","0"
"L128","TcpIpJoinerOverAWSTest.java","hazelcast-cloud/src/test/java/com/hazelcast/impl/TcpIpJoinerOverAWSTest.java","L127","1","0","32","1733","27","0","6","0"
"L33175","CloudyUtilityTest.java","hazelcast-cloud/src/test/java/com/hazelcast/aws/utility/CloudyUtilityTest.java","L33174","1","0","187","1118","13","0","6","0"
"L136","AbstractJoiner.java","hazelcast/src/main/java/com/hazelcast/impl/AbstractJoiner.java","L135","27","0","182","2899","35","1","5","0"
"L137","AbstractRecord.java","hazelcast/src/main/java/com/hazelcast/impl/AbstractRecord.java","L135","71","0","384","1733","56","10","8","0"
