@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L208","0","0","0","0","0","0","0","0","0","0","0","4","2","1","1","0","4","0","0","0","0","0","5","0","0","2","2","0","0","1","20","25","2","3","2","3","4","0","4","0","4","5","0","4","0","20","25","2","3","2","3","4","0","4","0","4","5","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L236","0","0","0","0","0","0","0","0","1","2","2","3","4","0","0","1","2","0.5","0.214286","3","3","1","1","0.06","3","1","1","0","0","1","11","13","0","0","0","0","1","0","1","0","5","4","0","1","0","47","55","0","0","0","0","6","0","3","0","10","19","0","3","0","0","3","18","3","2","0","3","0","0","0","0","0","0","0","0","0","0","1","18","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","false"
"L262","0","0","0","0","0","0","0","0","1","2","2","62","81","96","256","60","110","0.0208333","0.0322581","10","7","1","47","0.0322581","10","1","1","0","0","1","300","356","18","37","18","37","50","1","47","0","50","119","1","47","0","300","356","18","37","18","37","50","1","47","0","50","119","1","47","0","0","2","123","3","20","0","2","0","0","0","0","0","0","0","1","4","0","19","103","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","3","0","0","0","0","true"
"L3237","0","0","0","0","0","0","0","0","1","1","1","4","3","1","1","2","4","0","0","0","0","0","3","0","0","1","1","0","0","1","20","24","3","0","3","0","2","0","2","0","2","8","0","2","0","20","24","3","0","3","0","2","0","2","0","2","8","0","2","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L3151","0","0","0","0","0","0","0","0","1","1","1","42","34","4","4","39","78","0","0","0","0","0","38","0","0","1","1","0","0","1","163","203","1","31","1","31","39","0","37","0","39","43","0","37","0","163","203","1","31","1","31","39","0","37","0","39","43","0","37","0","0","0","91","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","false"
"L3167","0","0","0","0","0","0","0","0","1","3","3","15","12","2","3","13","22","0","0","0","0","0","8","0","0","1","1","0","0","1","57","68","4","1","4","1","9","0","7","1","9","26","0","7","1","57","68","4","1","4","1","9","0","7","1","9","26","0","7","1","0","0","22","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L10000","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.5","0.2","4","3","1","1","0.2","4","0","0","0","0","0","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","0","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L10010","0","0","0","0","0","0","0","0","1","1","1","4","12","1","0","20","22","0","0","0","0","0","2","0","0","0","0","0","0","0","56","80","2","0","2","0","2","0","1","0","2","43","0","1","0","75","105","4","1","4","1","7","0","6","1","12","49","0","11","1","0","1","26","1","15","0","0","2","0","0","0","1","0","0","0","2","0","7","23","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","false"
"L10066","0.0722611","1","4","2","0.0661479","0.0793651","34","30","16","2","2","20","29","0","0","56","72","0.235294","0.0494297","13","12","4","13","0.0332481","13","1","1","0","0","1","250","355","2","1","0","0","16","0","16","0","49","188","0","45","0","378","514","9","9","2","2","47","1","45","0","106","230","1","98","4","0","1","190","30","49","0","1","0","0","36","0","5","0","0","1","4","0","14","133","1","0","0","1","0","34","0","3","0","0","0","0","0","0","2","0","0","11","0","8","6","11","0","false"
"L10243","0.71712","9","82","28","0.61794","0.62069","186","144","4","2","2","27","17","0","0","32","39","0","0.0136986","3","0","0","8","0.012766","3","1","1","0","0","1","216","281","2","1","0","0","7","0","7","0","40","178","0","36","0","232","301","3","1","1","0","11","0","10","0","44","180","0","39","0","0","0","80","15","58","0","5","10","0","43","0","2","0","0","0","7","0","2","28","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","1","0","false"
