"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L112","PlaceHolder.java","hazelcast-all/src/main/java/com/hazelcast/PlaceHolder.java","L111","1","0","3","2053","7","0","6","0"
"L129","ClientImpl.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientImpl.java","L128","1","0","24","8","7","0","6","0"
"L130","ClientOutOfMemoryHandler.java","hazelcast-client/src/main/java/com/hazelcast/client/ClientOutOfMemoryHandler.java","L128","9","0","51","15","10","0","7","0"
"L131","HazelcastClient.java","hazelcast-client/src/main/java/com/hazelcast/client/HazelcastClient.java","L128","13","0","382","15","385","12","17","6"
"L132","HazelcastClientManagedContext.java","hazelcast-client/src/main/java/com/hazelcast/client/HazelcastClientManagedContext.java","L128","3","0","24","15","14","0","9","0"
"L133","HazelcastClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/HazelcastClientProxy.java","L128","4","0","199","15","57","0","11","0"
"L134","LifecycleServiceImpl.java","hazelcast-client/src/main/java/com/hazelcast/client/LifecycleServiceImpl.java","L128","7","0","75","15","57","1","11","0"
"L135","LoadBalancer.java","hazelcast-client/src/main/java/com/hazelcast/client/LoadBalancer.java","L128","1","0","8","8","16","0","7","0"
"L136","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/package-info.java","L128","1","0","1","15","6","0","4","0"
"L297","ClientConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientConfig.java","L296","8","0","255","15","122","1","16","0"
"L298","ClientNetworkConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientNetworkConfig.java","L296","2","0","88","15","15","0","9","2"
"L299","ClientProperties.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientProperties.java","L296","5","0","71","15","11","0","8","1"
"L300","ClientSecurityConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ClientSecurityConfig.java","L296","1","0","18","8","9","0","7","2"
"L301","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/config/package-info.java","L296","1","0","1","15","6","0","4","0"
"L302","ProxyFactoryConfig.java","hazelcast-client/src/main/java/com/hazelcast/client/config/ProxyFactoryConfig.java","L296","1","0","23","8","20","1","8","3"
"L303","SocketOptions.java","hazelcast-client/src/main/java/com/hazelcast/client/config/SocketOptions.java","L296","1","0","43","15","36","1","11","0"
"L304","XmlClientConfigBuilder.java","hazelcast-client/src/main/java/com/hazelcast/client/config/XmlClientConfigBuilder.java","L296","73","0","328","15","71","1","15","2"
"L1120","Authenticator.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/Authenticator.java","L1119","1","0","7","8","14","0","6","0"
"L1121","ClientConnectionManager.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/ClientConnectionManager.java","L1119","1","0","10","15","45","2","11","2"
"L1122","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/package-info.java","L1119","1","0","1","15","6","0","4","0"
"L1123","Router.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/Router.java","L1119","2","0","18","15","23","0","9","0"
"L2278","ClientTestApp.java","hazelcast-client/src/main/java/com/hazelcast/client/examples/ClientTestApp.java","L2277","243","0","1378","51","7","0","7","0"
"L2279","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/examples/package-info.java","L2277","1","0","1","15","6","0","4","0"
"L3839","ClientNearCache.java","hazelcast-client/src/main/java/com/hazelcast/client/nearcache/ClientNearCache.java","L3838","35","0","259","15","85","4","12","4"
"L3840","ClientNearCacheType.java","hazelcast-client/src/main/java/com/hazelcast/client/nearcache/ClientNearCacheType.java","L3838","1","0","5","15","15","0","9","0"
"L3841","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/nearcache/package-info.java","L3838","1","0","1","15","6","0","4","0"
"L4107","AbstractClientCollectionProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/AbstractClientCollectionProxy.java","L4106","8","0","158","15","28","1","9","4"
"L4108","ClientAtomicLongProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientAtomicLongProxy.java","L4106","2","0","105","15","37","1","11","2"
"L4109","ClientAtomicReferenceProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientAtomicReferenceProxy.java","L4106","2","0","94","15","28","1","10","2"
"L4110","ClientClusterProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientClusterProxy.java","L4106","2","0","37","8","9","0","6","0"
"L4111","ClientConditionProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientConditionProxy.java","L4106","2","0","89","288","10","0","6","2"
"L4112","ClientCountDownLatchProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientCountDownLatchProxy.java","L4106","3","0","53","15","34","1","11","2"
"L4113","ClientExecutorServiceProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientExecutorServiceProxy.java","L4106","34","0","480","753","75","8","11","5"
"L4114","ClientIdGeneratorProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientIdGeneratorProxy.java","L4106","5","0","57","15","25","1","11","2"
"L4115","ClientListProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientListProxy.java","L4106","3","0","84","15","35","1","11","2"
"L4116","ClientLockProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientLockProxy.java","L4106","4","0","99","15","52","9","13","5"
"L4117","ClientMapProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientMapProxy.java","L4106","67","0","812","15","160","10","14","7"
"L4118","ClientMapReduceProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientMapReduceProxy.java","L4106","11","0","199","15","37","1","10","2"
"L4119","ClientMultiMapProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientMultiMapProxy.java","L4106","14","0","254","15","67","5","13","4"
"L4120","ClientQueueProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientQueueProxy.java","L4106","13","0","236","15","55","3","10","9"
"L4121","ClientReplicatedMapProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientReplicatedMapProxy.java","L4106","12","0","206","15","46","3","10","2"
"L4122","ClientSemaphoreProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientSemaphoreProxy.java","L4106","4","0","97","15","33","1","11","2"
"L4123","ClientSetProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientSetProxy.java","L4106","1","0","11","288","29","1","8","2"
"L4124","ClientTopicProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientTopicProxy.java","L4106","2","0","76","15","38","1","12","3"
"L4125","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/package-info.java","L4106","1","0","1","15","7","0","5","0"
"L4126","PartitionServiceProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/proxy/PartitionServiceProxy.java","L4106","2","0","42","2053","19","0","6","0"
"L7110","ClientClusterService.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientClusterService.java","L7109","1","0","12","8","19","0","6","0"
"L7111","ClientContext.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientContext.java","L7109","1","0","43","15","26","0","8","3"
"L7112","ClientExecutionService.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientExecutionService.java","L7109","1","0","17","51","25","0","7","2"
"L7113","ClientInvocationService.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientInvocationService.java","L7109","1","0","12","2899","14","0","4","0"
"L7114","ClientPartitionService.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientPartitionService.java","L7109","1","0","11","2053","8","0","3","0"
"L7115","ClientProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientProxy.java","L7109","14","0","146","753","81","9","10","7"
"L7116","ClientProxyFactory.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientProxyFactory.java","L7109","1","0","4","831","11","0","4","0"
"L7117","EventHandler.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/EventHandler.java","L7109","1","0","5","15","11","0","6","1"
"L7118","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/package-info.java","L7109","1","0","1","15","6","0","4","0"
"L7119","ProxyManager.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ProxyManager.java","L7109","26","0","244","15","133","8","12","5"
"L7120","ResponseHandler.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ResponseHandler.java","L7109","1","0","4","2053","5","0","4","0"
"L7121","ResponseStream.java","hazelcast-client/src/main/java/com/hazelcast/client/spi/ResponseStream.java","L7109","1","0","6","2053","9","0","4","0"
"L8230","ClientTransactionManager.java","hazelcast-client/src/main/java/com/hazelcast/client/txn/ClientTransactionManager.java","L8229","11","0","128","15","16","0","8","2"
"L8231","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/txn/package-info.java","L8229","1","0","1","15","6","0","4","0"
"L8232","TransactionContextProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/txn/TransactionContextProxy.java","L8229","15","0","147","15","70","0","12","2"
"L8233","TransactionProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/txn/TransactionProxy.java","L8229","19","0","149","15","48","0","9","2"
"L8234","XAResourceProxy.java","hazelcast-client/src/main/java/com/hazelcast/client/txn/XAResourceProxy.java","L8229","30","0","208","15","10","0","6","4"
"L9678","AbstractLoadBalancer.java","hazelcast-client/src/main/java/com/hazelcast/client/util/AbstractLoadBalancer.java","L9677","2","0","42","8","16","0","8","0"
"L9679","AddressHelper.java","hazelcast-client/src/main/java/com/hazelcast/client/util/AddressHelper.java","L9677","11","0","58","15","31","1","12","0"
"L9680","ClientCancellableDelegatingFuture.java","hazelcast-client/src/main/java/com/hazelcast/client/util/ClientCancellableDelegatingFuture.java","L9677","8","0","73","288","13","0","9","0"
"L9681","ListenerUtil.java","hazelcast-client/src/main/java/com/hazelcast/client/util/ListenerUtil.java","L9677","5","0","46","15","23","0","9","1"
"L9682","package-info.java","hazelcast-client/src/main/java/com/hazelcast/client/util/package-info.java","L9677","1","0","1","15","6","0","4","0"
"L9683","RandomLB.java","hazelcast-client/src/main/java/com/hazelcast/client/util/RandomLB.java","L9677","3","0","15","8","11","0","5","0"
"L9684","RoundRobinLB.java","hazelcast-client/src/main/java/com/hazelcast/client/util/RoundRobinLB.java","L9677","3","0","22","15","28","0","11","0"
"L9685","StaticLB.java","hazelcast-client/src/main/java/com/hazelcast/client/util/StaticLB.java","L9677","1","0","18","8","9","0","5","0"
"L1148","ClientAbstractIOSelector.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/nio/ClientAbstractIOSelector.java","L1147","17","0","121","15","12","0","9","4"
"L1149","ClientAbstractSelectionHandler.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/nio/ClientAbstractSelectionHandler.java","L1147","7","0","60","15","18","0","10","0"
"L1150","ClientConnection.java","hazelcast-client/src/main/java/com/hazelcast/client/connection/nio/ClientConnection.java","L1147","37","0","370","1733","71","2","12","5"
