@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L112","1","0","3","2053","7","0","6","false"
"L129","1","0","24","8","7","0","6","false"
"L130","9","0","51","15","10","0","7","false"
"L131","13","0","382","15","385","12","17","true"
"L132","3","0","24","15","14","0","9","false"
"L133","4","0","199","15","57","0","11","false"
"L134","7","0","75","15","57","1","11","false"
"L135","1","0","8","8","16","0","7","false"
"L136","1","0","1","15","6","0","4","false"
"L297","8","0","255","15","122","1","16","false"
"L298","2","0","88","15","15","0","9","true"
"L299","5","0","71","15","11","0","8","true"
"L300","1","0","18","8","9","0","7","true"
"L301","1","0","1","15","6","0","4","false"
"L302","1","0","23","8","20","1","8","true"
"L303","1","0","43","15","36","1","11","false"
"L304","73","0","328","15","71","1","15","true"
"L1120","1","0","7","8","14","0","6","false"
"L1121","1","0","10","15","45","2","11","true"
"L1122","1","0","1","15","6","0","4","false"
"L1123","2","0","18","15","23","0","9","false"
"L2278","243","0","1378","51","7","0","7","false"
"L2279","1","0","1","15","6","0","4","false"
"L3839","35","0","259","15","85","4","12","true"
"L3840","1","0","5","15","15","0","9","false"
"L3841","1","0","1","15","6","0","4","false"
"L4107","8","0","158","15","28","1","9","true"
"L4108","2","0","105","15","37","1","11","true"
"L4109","2","0","94","15","28","1","10","true"
"L4110","2","0","37","8","9","0","6","false"
"L4111","2","0","89","288","10","0","6","true"
"L4112","3","0","53","15","34","1","11","true"
"L4113","34","0","480","753","75","8","11","true"
"L4114","5","0","57","15","25","1","11","true"
"L4115","3","0","84","15","35","1","11","true"
"L4116","4","0","99","15","52","9","13","true"
"L4117","67","0","812","15","160","10","14","true"
"L4118","11","0","199","15","37","1","10","true"
"L4119","14","0","254","15","67","5","13","true"
"L4120","13","0","236","15","55","3","10","true"
"L4121","12","0","206","15","46","3","10","true"
"L4122","4","0","97","15","33","1","11","true"
"L4123","1","0","11","288","29","1","8","true"
"L4124","2","0","76","15","38","1","12","true"
"L4125","1","0","1","15","7","0","5","false"
"L4126","2","0","42","2053","19","0","6","false"
"L7110","1","0","12","8","19","0","6","false"
"L7111","1","0","43","15","26","0","8","true"
"L7112","1","0","17","51","25","0","7","true"
"L7113","1","0","12","2899","14","0","4","false"
"L7114","1","0","11","2053","8","0","3","false"
"L7115","14","0","146","753","81","9","10","true"
"L7116","1","0","4","831","11","0","4","false"
"L7117","1","0","5","15","11","0","6","true"
"L7118","1","0","1","15","6","0","4","false"
"L7119","26","0","244","15","133","8","12","true"
"L7120","1","0","4","2053","5","0","4","false"
"L7121","1","0","6","2053","9","0","4","false"
"L8230","11","0","128","15","16","0","8","true"
"L8231","1","0","1","15","6","0","4","false"
"L8232","15","0","147","15","70","0","12","true"
"L8233","19","0","149","15","48","0","9","true"
"L8234","30","0","208","15","10","0","6","true"
"L9678","2","0","42","8","16","0","8","false"
"L9679","11","0","58","15","31","1","12","false"
"L9680","8","0","73","288","13","0","9","false"
"L9681","5","0","46","15","23","0","9","true"
"L9682","1","0","1","15","6","0","4","false"
"L9683","3","0","15","8","11","0","5","false"
"L9684","3","0","22","15","28","0","11","false"
"L9685","1","0","18","8","9","0","5","false"
"L1148","17","0","121","15","12","0","9","true"
"L1149","7","0","60","15","18","0","10","false"
"L1150","37","0","370","1733","71","2","12","true"
"L1151","71","0","580","15","79","3","13","true"
"L1152","3","0","14","8","6","0","6","true"
"L1153","3","0","16","8","6","0","6","false"
"L1154","11","0","70","15","22","0","10","true"
"L1155","15","0","94","15","22","0","10","false"
"L1156","1","0","1","15","6","0","4","false"
"L7302","40","0","228","15","55","1","11","true"
"L7303","59","0","403","15","216","11","14","true"
"L7304","2","0","110","15","61","1","12","true"
"L7305","7","0","136","15","49","1","10","true"
"L7306","14","0","147","15","38","0","8","true"
"L7307","1","0","1","15","6","0","4","false"
"L8356","2","0","17","15","13","0","6","false"
"L8357","1","0","35","2899","20","3","6","false"
"L8358","7","0","143","15","48","4","11","false"
"L8359","5","0","81","15","35","5","9","false"
"L8360","3","0","53","15","33","0","9","false"
"L8361","4","0","66","753","25","3","6","false"
"L8362","1","0","35","2899","20","3","6","false"
"L8363","1","0","1","15","6","0","4","false"
"L142","1","0","24","288","20","0","6","false"
"L143","4","0","82","288","29","3","11","false"
"L144","17","0","423","15","117","24","14","false"
"L145","21","0","250","51","20","1","6","false"
"L146","1","0","56","51","12","0","6","false"
"L147","37","0","373","15","71","6","11","false"
"L148","1","0","72","288","8","1","4","false"
"L149","4","0","120","288","10","0","3","false"
"L150","1","0","23","51","5","3","3","false"
"L151","2","0","103","51","15","0","8","false"
