@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L138","0","0","0","0","0","0","0","0","1","5","2","19","0","2","3","0","4","0.666667","0.25","16","16","2","1","0.25","16","0","0","0","0","0","48","71","0","0","0","0","4","0","2","0","4","35","0","2","0","48","71","0","0","0","0","4","0","2","0","4","35","0","2","0","0","0","10","0","5","0","0","0","0","0","0","0","0","1","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","false"
"L212","0.22255","4","22","6","0.177711","0.197802","59","54","3","2","2","38","3","1","0","5","15","0.2","0.0425532","8","6","1","4","0.0284698","8","0","0","0","0","0","180","225","15","0","15","0","10","0","4","0","10","101","0","4","0","273","332","21","0","21","0","21","0","9","0","21","145","0","9","0","0","1","85","0","14","0","0","0","0","31","0","1","0","0","0","0","0","10","51","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","false"
"L479","0","0","0","0","0","0","0","0","1","2","2","4","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","24","32","0","0","0","0","1","0","1","0","1","16","0","1","0","24","32","0","0","0","0","1","0","1","0","1","16","0","1","0","0","0","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","false"
"L2183","0","0","0","0","0","0","0","0","1","2","2","3","4","0","0","1","2","0.5","0.214286","3","3","1","1","0.0566038","3","1","1","0","0","1","11","13","0","0","0","0","1","0","1","0","5","4","0","1","0","50","58","0","0","0","0","6","0","3","0","10","22","0","3","0","0","0","18","3","2","0","0","0","0","0","0","0","0","0","0","0","0","1","18","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","false"
"L5015","0","0","0","0","0","0","0","0","1","2","2","15","7","89","213","9","17","0.75","0.446154","58","58","6","2","0.446154","58","0","0","0","0","0","72","123","1","2","1","2","8","0","7","0","8","37","0","7","0","72","123","1","2","1","2","8","0","7","0","8","37","0","7","0","0","0","7","3","9","0","0","0","0","0","0","0","0","0","0","0","0","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","true"
"L13754","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.5","0.2","4","3","1","1","0.2","4","0","0","0","0","0","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","0","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L13762","0","0","0","0","0","0","0","0","1","1","1","4","12","1","0","20","22","0","0","0","0","0","2","0","0","0","0","0","0","0","56","80","2","0","2","0","2","0","1","0","2","43","0","1","0","75","105","4","1","4","1","7","0","6","1","15","49","0","14","1","0","1","26","1","15","0","0","2","0","0","0","1","0","0","0","2","0","7","23","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","false"
"L13814","0.48855","1","3","3","0.48","0.484848","60","48","2","0","0","7","19","0","0","20","27","0","0","0","0","0","8","0","0","1","1","0","0","1","63","83","3","1","1","0","7","0","7","0","51","31","1","48","0","99","125","3","1","1","0","16","0","16","0","68","39","1","65","0","0","1","132","5","11","0","0","0","0","71","0","4","0","0","1","1","0","5","53","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","3","0","0","5","0","0","false"
"L13891","0.711174","9","82","28","0.615385","0.617284","192","150","4","2","2","27","18","0","0","34","41","0","0.0130435","3","0","0","8","0.0121951","3","1","1","0","0","1","227","292","2","1","0","0","7","0","7","0","51","188","1","48","0","243","312","3","1","1","0","11","0","10","0","55","190","1","51","0","0","0","83","15","58","0","5","10","0","43","0","2","0","0","0","7","0","2","28","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","3","0","3","6","1","0","false"
"L13947","0.955882","1","3","3","0.864407","0.913043","51","42","3","0","0","3","2","0","0","4","7","0","0","0","0","0","4","0","0","0","0","0","0","0","46","59","0","0","0","0","3","0","3","0","3","33","0","3","0","46","59","0","0","0","0","3","0","3","0","3","33","0","3","0","0","0","36","0","12","0","0","0","0","26","0","1","0","0","0","0","0","0","9","0","0","0","0","0","9","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","false"
"L13952","0","0","0","0","0","0","0","0","2","0","0","3","11","0","0","16","19","0","0","0","0","0","4","0","0","1","1","0","0","1","44","53","2","1","0","0","3","0","3","0","47","26","1","44","0","61","70","2","1","0","0","7","0","7","0","59","32","1","56","0","0","0","34","5","4","0","0","0","0","0","0","1","0","0","0","2","0","0","29","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","1","4","0","0","false"
"L13830","0.0585458","1","4","2","0.0528771","0.0628931","34","30","18","2","2","28","30","2","0","67","89","0.181818","0.0460123","15","12","4","18","0.0304878","15","1","1","0","0","1","311","432","2","1","0","0","22","0","21","0","66","233","1","62","0","477","643","11","9","4","2","61","1","58","0","142","281","2","134","4","0","1","228","34","59","0","1","0","0","36","0","5","0","0","5","4","0","15","167","1","0","0","1","0","37","0","2","0","0","0","0","0","0","7","0","0","15","1","8","7","11","0","false"
"L14175","0.114754","2","8","4","0.0990991","0.0980392","33","25","10","2","2","23","21","0","0","35","49","0","0.0253807","5","0","0","14","0.0192308","5","1","1","0","0","1","192","261","2","1","0","0","14","0","13","0","58","126","1","54","0","255","333","2","1","0","0","29","0","28","0","73","141","1","69","0","0","4","119","8","34","0","4","0","0","17","0","4","0","0","0","3","0","2","91","4","0","0","0","0","27","0","0","0","0","0","0","0","0","7","0","0","4","0","0","5","1","0","false"
